window,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,mean_res_accel,x_tm_peaks,y_tm_peaks,z_tm_peaks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,user
0,0.011518723173499994,0.00027256061899999794,0.0005019079605000021,0.9340274292194747,0.8622755965191159,1.5369003939383201,6.661338147750939e-18,6.661338147750939e-18,6.661338147750939e-18,1.5090593858310717,25.0,3100.0,3000.0,6,5,8,15,37,61,35,21,7,5,7,14,48,59,43,17,5,5,0,2,2,0,2,17,109,50,17,1,0,2,5
1,0.00971087601499998,0.011633848113500014,-0.068032388576,1.0938816321311795,1.485446037504814,2.3702931155793205,2.6090241078691177e-17,2.6090241078691177e-17,2.6090241078691177e-17,2.4428883670105592,25.0,1075.0,50.0,7,9,13,26,58,42,21,15,6,3,10,25,72,62,13,8,5,4,0,1,11,9,17,47,65,25,20,2,3,1,5
2,0.0014119587435000068,-0.010781425268500002,0.022149215477000026,1.2616273772237538,1.8213960787249421,2.9675035418852955,1.582067810090848e-17,1.582067810090848e-17,1.582067810090848e-17,3.3560661995294523,25.0,4300.0,4300.0,6,18,20,33,30,34,27,19,9,4,17,45,55,37,18,12,7,8,0,1,15,18,26,32,40,25,30,7,6,1,5
3,-0.024669925096000016,0.021805222090500002,0.01071560150600004,1.3507019737008,1.8921750113745408,3.000241548398864,5.717648576819556e-17,5.717648576819556e-17,5.717648576819556e-17,3.421481553595787,325.0,3325.0,3375.0,8,21,29,19,32,33,26,19,9,4,12,32,43,40,26,25,10,4,6,2,10,16,26,35,51,21,27,6,6,2,5
4,0.0024634828389999896,-0.007687778076499968,0.036305751601999996,1.2943060395330581,1.8629190620973342,3.013658902809666,4.024558464266192e-18,4.024558464266192e-18,4.024558464266192e-18,3.385773631735068,325.0,2150.0,4425.0,9,16,29,19,30,33,40,15,6,3,11,10,35,60,36,21,14,7,3,3,10,15,24,30,50,32,26,6,5,2,5
5,0.02409059167650002,-0.031045942928499982,-0.03385210375050002,1.2724643721732682,1.617265979414398,2.8386452775911506,8.326672684688674e-18,8.326672684688674e-18,8.326672684688674e-18,3.1714992076141657,25.0,25.0,3850.0,9,6,17,23,29,25,42,34,12,3,7,6,32,73,42,19,12,5,2,2,4,15,21,27,49,29,22,21,7,5,5
6,0.008109804568500013,0.07005494112300002,-0.044838664439,1.4401044498742095,1.8374189892704258,2.8320241601284195,4.9960036108132046e-17,4.9960036108132046e-17,4.9960036108132046e-17,3.3679781813249408,2175.0,3275.0,1075.0,11,9,19,18,26,26,38,27,19,7,7,20,41,55,38,15,13,6,4,1,13,19,24,44,29,26,21,14,3,7,5
7,0.036390787639,0.02205971040199999,0.10080319875250003,1.5383996150460915,1.9573378569873359,2.7361463778502384,2.55351295663786e-17,2.55351295663786e-17,2.55351295663786e-17,3.4079658779284694,25.0,3675.0,3200.0,9,12,21,18,29,27,30,29,21,4,30,29,37,41,26,17,9,5,5,1,12,8,24,38,22,33,31,17,6,9,5
8,-0.0048154736765000025,-0.05067066770299997,-0.062317238635499955,1.6209843440923533,1.9722288096840201,2.6204261371534137,7.355227538141662e-18,7.355227538141662e-18,7.355227538141662e-18,3.359631770208165,4325.0,3725.0,1125.0,5,12,18,26,27,27,23,34,21,7,9,36,34,63,31,12,7,5,2,1,10,14,23,31,34,31,33,12,6,6,5
9,-0.029640908400500016,0.038729796451499994,0.0008491740220000333,1.6466169734088527,2.2525663418306023,2.844993658886696,4.218847493575595e-17,4.218847493575595e-17,4.218847493575595e-17,3.6375377916989398,1050.0,1500.0,1575.0,6,14,18,26,29,25,23,37,17,5,12,35,35,59,25,13,8,5,6,2,6,17,25,36,45,32,23,6,7,3,5
10,0.00029526922549998226,0.015165642488500004,0.05998653713550008,1.6073850083054364,2.1540696948303237,2.9281790021330214,2.3314683517128286e-17,2.3314683517128286e-17,2.3314683517128286e-17,3.5901805992376006,2150.0,3650.0,1050.0,14,12,20,24,28,29,26,33,10,4,12,36,43,55,18,16,8,4,6,2,10,9,27,41,37,34,26,5,5,6,5
11,0.013253195307499998,-0.05638469723749998,-0.06971147885600008,1.5878819070187158,1.8793129042923522,2.8167006243220025,2.7478019859472624e-17,2.7478019859472624e-17,2.7478019859472624e-17,3.403109800273546,1075.0,1075.0,4825.0,16,12,19,25,29,28,41,20,6,4,25,34,37,54,13,15,12,3,2,5,11,11,18,41,28,40,31,10,2,8,5
12,-0.012068026826999976,0.021151944570999986,0.002744582267500033,1.4989476306200296,2.010876033155978,2.794246696846218,7.16093850883226e-17,7.16093850883226e-17,7.16093850883226e-17,3.446623703348936,1075.0,3650.0,2700.0,13,11,22,24,32,39,33,17,4,5,32,31,42,46,20,9,9,2,4,5,10,17,30,28,33,34,24,14,2,8,5
13,-0.021992667906999993,0.024788331529499948,0.024082530166499992,1.4019676662600882,2.00872990509414,2.6127836766105204,3.552713678800501e-17,3.552713678800501e-17,3.552713678800501e-17,3.2757443357605793,1075.0,1050.0,4325.0,10,14,16,24,35,36,29,24,5,7,17,38,34,50,29,10,12,3,4,3,10,17,33,32,31,26,31,7,4,9,5
14,0.010311083706999982,-0.04159307952249994,-0.036044766494500016,1.4915765430816874,1.8934086335625622,2.6231442448486675,1.27675647831893e-17,1.27675647831893e-17,1.27675647831893e-17,3.246309600565795,2125.0,2150.0,4350.0,14,12,12,27,27,33,32,24,10,9,19,34,40,50,32,9,7,5,2,2,11,12,32,36,39,29,30,2,6,3,5
15,0.009013790623999986,0.0012423959515000128,0.04729937432450004,1.4719664930882486,1.9346908858826708,2.7138686348876453,1.0824674490095277e-17,1.0824674490095277e-17,1.0824674490095277e-17,3.3320569861146017,3200.0,4675.0,3200.0,12,11,14,30,29,30,28,28,11,7,26,38,44,39,28,5,9,7,1,3,10,15,33,29,43,27,28,5,6,4,5
16,-0.020537928940000016,0.008077836065000014,-0.007726277385999991,1.407857634897849,1.964045790310756,2.6086076622346623,4.5519144009631415e-17,4.5519144009631415e-17,4.5519144009631415e-17,3.2613041174697512,1075.0,4175.0,1075.0,9,14,17,29,30,32,20,31,12,6,23,35,54,31,18,15,6,10,4,4,11,14,33,41,40,18,22,9,7,5,5
17,0.007585141395500008,-0.019730244813500022,0.015764744308500014,1.3928320095413105,1.9359023585582458,2.506465942244422,2.6645352591003756e-17,2.6645352591003756e-17,2.6645352591003756e-17,3.167454765387431,25.0,4300.0,3800.0,4,14,21,22,29,23,24,29,25,9,24,34,55,31,17,17,9,6,2,5,7,15,30,31,37,27,23,19,5,6,5
18,0.021291834287,-0.033596725941999965,0.04565817669899997,1.26787767311078,1.9201154862616314,2.6818682339792534,3.3306690738754695e-17,3.3306690738754695e-17,3.3306690738754695e-17,3.247441650847136,2650.0,4200.0,4875.0,10,14,26,24,35,16,28,30,12,5,13,36,35,46,27,18,10,9,4,2,9,18,23,24,36,27,37,11,10,5,5
19,-0.0340820237705,0.0027281833535000135,-0.0879907260295,1.337085559464589,1.953705239203038,2.8429102112142743,2.6922908347160045e-17,2.6922908347160045e-17,2.6922908347160045e-17,3.3991766279222797,1050.0,975.0,2025.0,4,16,32,41,35,33,26,7,5,1,10,23,34,33,36,27,12,10,9,6,10,16,26,29,31,26,36,11,10,5,5
20,-0.015236324385,0.03284066770449993,0.07100420269149996,1.3368513955930246,1.8544077999226725,2.9471910678926445,3.608224830031759e-18,3.608224830031759e-18,3.608224830031759e-18,3.3976367181835236,1050.0,975.0,2150.0,4,13,36,37,38,34,21,12,4,1,8,22,29,36,40,31,13,5,9,7,11,12,33,27,25,31,40,11,4,6,5
21,0.03801057156850001,-0.04982677331300001,0.06306338414400002,1.255299060007701,1.8432700434779725,3.25286444960004,3.053113317719181e-17,3.053113317719181e-17,3.053113317719181e-17,3.5601761459268455,1075.0,1075.0,4850.0,4,7,35,35,34,33,26,16,7,3,8,14,29,24,50,31,19,9,8,8,12,14,19,30,23,30,51,10,3,8,5
22,-0.019849211291499996,0.011308249426999957,-0.13257806331750008,1.2316308666431548,1.885722258416208,3.15314106473889,1.944625016570001e-17,1.944625016570001e-17,1.944625016570001e-17,3.495073092726177,2150.0,4300.0,4300.0,4,10,28,44,40,25,28,11,5,5,7,15,27,24,52,29,18,10,12,6,10,13,24,33,28,31,41,9,5,6,5
23,-0.016230634052000013,0.042182418496499945,0.05677923093749999,1.1018515499032988,1.7579266839741832,2.830642444268564,1.6653345369377347e-18,1.6653345369377347e-18,1.6653345369377347e-18,3.1597227955157883,625.0,4325.0,2325.0,6,22,36,43,30,30,18,8,5,2,15,26,26,46,33,19,11,9,8,7,9,9,22,29,38,30,47,5,7,4,5
24,0.0245411519505,-0.061448014395999985,0.04222183784649998,1.141764053199585,1.6476042059509022,3.0186498179140355,2.1094237467877975e-17,2.1094237467877975e-17,2.1094237467877975e-17,3.268424157699032,1525.0,1700.0,2650.0,3,6,21,24,40,36,30,20,12,8,4,9,25,42,51,27,18,11,7,6,12,9,19,32,31,21,52,9,8,7,5
25,-0.009498591227499999,0.022080636508499993,-0.10076669971150004,1.183051641071039,1.7632909895249347,2.9301466676561474,1.1657341758564143e-17,1.1657341758564143e-17,1.1657341758564143e-17,3.310399000850913,3850.0,4325.0,2775.0,3,8,22,31,32,34,28,24,9,9,5,26,26,48,45,22,14,11,2,1,9,13,27,32,26,21,51,10,5,6,5
26,0.004067344526000001,0.019822151231500017,0.04595487126600002,1.1372554639516204,1.8724001697808026,2.658333471627547,7.771561172376097e-18,7.771561172376097e-18,7.771561172376097e-18,3.1166265957327686,1075.0,2100.0,4300.0,3,15,21,30,29,30,35,26,5,6,20,30,39,53,25,16,8,4,3,2,11,8,27,24,29,32,47,11,6,5,5
27,0.010095804268499991,-0.068863548288,-0.037698183665499936,1.1424249254894154,1.948887665582002,2.7634083670449496,2.2204460492503132e-17,2.2204460492503132e-17,2.2204460492503132e-17,3.2031874707323222,3225.0,4325.0,3200.0,7,12,17,28,37,28,39,20,7,5,27,30,41,49,25,12,6,3,4,3,9,11,22,24,27,30,53,14,3,7,5
28,-0.020180736623499996,0.057407449608000045,-0.04917338287650003,1.1892010874624215,1.97977443150954,2.8663190838928414,2.220446049250313e-18,2.220446049250313e-18,2.220446049250313e-18,3.3397394657134267,2175.0,2150.0,3250.0,8,12,23,25,42,23,28,25,9,5,21,29,42,46,28,14,9,6,3,2,9,13,24,32,31,44,31,6,7,3,5
29,0.011787365750499995,0.03644944780549992,0.10355863622499996,1.2031744745625006,1.8271690136871561,2.7978552679811117,4.5519144009631415e-17,4.5519144009631415e-17,4.5519144009631415e-17,3.2101152520252527,3200.0,4300.0,2150.0,10,11,20,28,39,27,27,29,4,5,10,33,24,43,37,21,11,10,6,5,9,12,25,34,28,51,25,5,5,6,5
30,0.008186105068999987,-0.08421133077449999,-0.05082983707850005,1.1800961432139216,1.7546434447451695,2.9194461010170936,1.9359513991901167e-17,1.9359513991901167e-17,1.9359513991901167e-17,3.2542418837137497,2150.0,3200.0,3650.0,10,12,19,34,34,27,33,20,6,5,11,31,27,39,45,18,15,6,5,3,13,13,28,22,29,43,37,5,5,5,5
31,-0.019360553341000016,0.024221296690999993,-0.0703439271645,1.1757149899554178,1.7946084317334305,3.102539685088553,3.3306690738754695e-18,3.3306690738754695e-18,3.3306690738754695e-18,3.4270658186080123,3150.0,3075.0,4225.0,8,14,25,36,27,28,28,19,10,5,12,22,25,31,35,30,19,11,7,8,12,12,30,21,30,30,45,8,5,7,5
32,-0.013023907819499993,0.046236544835999975,0.13530109558650005,1.1891028903736256,1.809281316156561,2.8802251293927137,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,3.254533847424719,2600.0,4150.0,1050.0,10,16,25,29,31,38,22,19,8,2,13,27,39,52,34,15,11,6,2,1,7,12,22,28,32,28,53,9,4,5,5
33,0.01052491800900001,-0.05240419972850002,0.06326591189849994,1.2432803975638682,1.7205010668250549,3.0324052871836726,4.163336342344337e-18,4.163336342344337e-18,4.163336342344337e-18,3.329295790935483,2100.0,2100.0,2700.0,9,13,21,25,48,38,21,14,7,4,11,33,33,61,32,15,7,5,2,1,8,13,20,29,28,29,50,9,9,5,5
34,-0.004841301445500001,0.023587391561999987,-0.12001238315249994,1.266678320529901,1.7380699687182464,3.086721218212666,2.5257573810222312e-17,2.5257573810222312e-17,2.5257573810222312e-17,3.3910639600540833,600.0,3200.0,1025.0,8,16,17,33,45,36,18,14,10,3,20,27,45,52,23,15,9,5,2,2,9,13,21,34,26,32,41,10,10,4,5
35,-0.011750214509000005,0.01839177726199996,0.07137017890549997,1.254573683048235,1.8471809947794167,2.767116710393978,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,3.2062723025705497,3650.0,25.0,2275.0,2,3,15,18,32,45,37,24,18,6,5,15,34,59,40,22,10,6,5,4,6,5,20,28,24,32,24,37,16,8,5
36,0.024784370237999967,-0.014400795626999953,0.07275729323799997,1.4036377010628285,1.8193270117903917,2.9790618933941913,9.992007221626408e-18,9.992007221626408e-18,9.992007221626408e-18,3.361458304246479,25.0,1125.0,25.0,2,15,29,47,46,37,21,1,0,2,8,19,27,65,45,14,12,5,3,2,9,10,21,19,31,26,34,28,12,10,5
37,-0.0005334578839999998,0.0350473764745,-0.147046201014,1.4501438742627821,1.8383782055489128,3.080005517362329,1.8318679906315084e-17,1.8318679906315084e-17,1.8318679906315084e-17,3.4609428158171536,25.0,3375.0,3175.0,5,20,37,46,42,30,17,0,1,2,11,25,34,58,37,13,10,7,3,2,18,14,20,31,27,32,30,13,11,4,5
38,0.01588122531300001,-0.001190143271000008,-0.020270269423000063,1.3544090295850384,1.8814155051641215,3.1800467202960645,2.4424906541753444e-17,2.4424906541753444e-17,2.4424906541753444e-17,3.545384371110862,3750.0,3125.0,3750.0,6,15,19,24,45,36,27,21,5,2,6,23,25,46,43,26,14,8,6,3,5,15,11,35,29,25,48,19,8,5,5
39,-0.006405431386999992,-0.0017954183014999858,0.07799604042700001,1.2800992223901704,1.8047948507104532,3.3018578562584846,2.2898349882893852e-17,2.2898349882893852e-17,2.2898349882893852e-17,3.595151169577603,2150.0,3075.0,4875.0,4,14,29,28,28,37,28,14,10,8,7,19,27,45,46,26,15,8,6,1,6,13,17,30,22,23,51,24,8,6,5
40,-0.007204392146000006,0.002441282257500016,-0.03901182133599988,1.3025207023498704,1.6529155945543754,3.051160666970625,3.1086244689504386e-17,3.1086244689504386e-17,3.1086244689504386e-17,3.3691749113634986,1075.0,1050.0,4300.0,7,9,37,41,43,30,21,7,4,1,13,20,26,45,44,19,13,10,5,5,8,12,25,27,25,25,40,24,6,8,5
41,0.03655943811250001,-0.011326602193000008,-0.07296029837649999,1.2775055796345982,1.4800503030976728,2.9915537407203057,1.6792123247455492e-17,1.6792123247455492e-17,1.6792123247455492e-17,3.2345552315111497,1075.0,4175.0,4825.0,7,11,26,39,57,27,19,11,2,1,10,20,36,54,37,19,11,6,4,3,3,9,13,29,26,25,28,42,16,9,5
42,0.005596073848999989,0.06183996109550003,0.045220756623,1.2099494193154479,1.7046466984063882,3.150841965456433,2.6645352591003756e-17,2.6645352591003756e-17,2.6645352591003756e-17,3.4030001191477233,1050.0,2525.0,1025.0,6,13,21,34,34,41,22,11,13,5,19,21,44,56,26,14,10,6,1,3,4,10,17,29,26,29,44,24,10,7,5
43,0.002523002209499965,0.003741302954500041,0.055214537842000026,1.345480387411435,1.871764444701444,3.0841404534333727,8.215650382226158e-17,8.215650382226158e-17,8.215650382226158e-17,3.4433860533740894,600.0,4300.0,1050.0,9,13,22,46,40,39,18,9,3,1,14,25,33,58,27,18,13,4,4,4,4,7,12,31,29,37,40,22,11,7,5
44,-0.01556879815950002,-0.10983098407899998,-0.10402945248400003,1.4196558276024434,1.7990196193749648,3.139901627015572,1.582067810090848e-17,1.582067810090848e-17,1.582067810090848e-17,3.4776551957598234,2725.0,3175.0,3375.0,6,19,23,47,35,34,20,13,2,1,10,18,26,42,47,27,15,6,4,5,6,10,10,26,26,29,33,37,13,10,5
45,-0.03950885369399999,0.041425929139499995,-0.02703569125050006,1.328642934157493,1.7898880404669117,3.162979645423333,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,3.4925595951468575,1525.0,3625.0,3175.0,8,18,29,35,33,31,21,10,11,4,8,17,23,37,54,27,15,9,4,6,6,9,20,28,23,27,48,22,10,7,5
46,-0.00744125614749998,0.02960250907100002,0.1451032307455,1.289266555238409,1.6676116591342687,3.0047115864147464,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,3.3139717530054416,1075.0,4100.0,4225.0,7,13,19,25,34,36,31,20,9,6,15,25,36,51,30,21,11,2,4,5,10,11,24,23,25,35,45,13,7,7,5
47,0.020291557221999986,-0.09623713092749994,0.0029512811500000424,1.2719748196247058,1.7634488132777202,3.0992845396314515,4.3298697960381107e-17,4.3298697960381107e-17,4.3298697960381107e-17,3.395609402953627,2100.0,3625.0,4775.0,6,15,19,23,41,36,27,17,13,3,20,28,57,55,17,13,1,3,3,3,13,11,22,25,24,35,43,14,4,9,5
48,-0.008039866716000016,0.03045557931299999,-0.09560018795649997,1.3334805047144067,1.7112554602547883,3.0606739278680313,6.956241138666996e-18,6.956241138666996e-18,6.956241138666996e-18,3.3830343550126645,3650.0,1050.0,4225.0,8,16,19,35,38,40,19,13,9,3,17,23,60,55,23,10,3,5,1,3,11,8,27,27,26,27,42,17,5,10,5
49,-0.017550905265500006,0.048885532529999984,0.09298399517750001,1.3395079678730524,1.4029828507406856,2.815241241608467,6.661338147750939e-18,6.661338147750939e-18,6.661338147750939e-18,3.0968446450793543,1075.0,4200.0,2150.0,9,17,19,30,41,36,25,9,12,2,15,15,49,40,41,22,4,4,3,7,5,8,27,26,28,26,49,20,3,8,5
50,0.02284540583250001,-0.06710075209650002,0.04825219244099999,1.270343137666088,1.3919680942148631,2.9141225484220272,9.992007221626408e-18,9.992007221626408e-18,9.992007221626408e-18,3.1266729966931024,3175.0,525.0,2700.0,5,16,12,23,51,32,23,20,15,3,15,25,45,43,42,15,4,4,3,4,10,10,29,19,25,30,48,16,5,8,5
