window,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,mean_res_accel,x_tm_peaks,y_tm_peaks,z_tm_peaks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,user
0,0.004219502404999997,0.001972570519499992,-0.04465225813350001,0.6644638566299287,0.6778601230811231,1.0650384298845887,7.771561172376097e-18,7.771561172376097e-18,7.771561172376097e-18,1.208111798665191,775.0,4975.0,4700.0,5,9,30,44,71,28,10,2,0,1,4,9,13,29,36,44,33,16,11,5,5,3,17,34,93,25,14,3,4,2,12
1,-0.019819607102999976,-0.005095849964499989,0.053999280687500005,1.1928851862533478,0.9124594829979263,1.928512624669518,4.218847493575595e-17,4.218847493575595e-17,4.218847493575595e-17,1.836361488777268,25.0,725.0,25.0,2,9,11,17,60,71,21,3,4,2,3,2,12,47,70,48,10,4,3,1,9,13,61,93,13,7,1,1,0,2,12
2,0.022682617161500017,-0.04759262875599999,0.07533471390999998,1.778231683224896,1.569696025027891,3.665016073759173,5.773159728050814e-17,5.773159728050814e-17,5.773159728050814e-17,3.6078869800007833,2475.0,1525.0,2725.0,5,20,19,19,39,39,28,15,11,5,1,1,2,6,13,50,72,33,12,10,6,9,13,31,75,42,9,6,2,7,12
3,0.026740224607000016,0.006880999915500027,-0.01062804916150005,2.229672108879216,2.024984904895468,4.20620276637611,2.4424906541753444e-17,2.4424906541753444e-17,2.4424906541753444e-17,4.552777140517006,25.0,2150.0,2025.0,3,3,28,40,36,37,27,16,8,2,2,2,4,11,22,50,35,38,21,15,10,16,13,24,59,52,8,7,3,8,12
4,-0.03571109503800004,0.09640861083199993,-0.06657029495150006,2.361079677996569,2.0718245922969807,3.9240212178737566,9.270362255620057e-17,9.270362255620057e-17,9.270362255620057e-17,4.490072150779399,25.0,4600.0,4650.0,3,7,31,36,36,30,30,16,9,2,2,2,6,16,27,44,41,34,21,7,15,15,14,24,53,54,11,5,4,5,12
5,-0.00600560123200001,-0.04046962784150003,-0.09119312662000001,2.0258251421892886,2.027385411669686,3.7673784959279044,3.8857805861880476e-17,3.8857805861880476e-17,3.8857805861880476e-17,4.1693347972290935,475.0,1025.0,4225.0,14,19,26,16,23,32,28,25,11,6,2,7,6,11,31,40,51,32,16,4,15,15,15,53,44,37,7,4,4,6,12
6,-0.03115297852000002,0.004157634111499915,0.11574442519299993,1.9211101749852073,1.9805983279069226,3.6876085242807566,2.6645352591003756e-17,2.6645352591003756e-17,2.6645352591003756e-17,4.04115917691746,25.0,4475.0,3200.0,21,16,24,14,18,26,30,24,16,11,2,8,5,11,30,38,50,38,12,6,6,13,20,55,47,41,5,4,6,3,12
7,-8.349581499981218e-06,-0.034179346794,0.06263552508099984,2.24089767663306,1.9835247677371621,4.220834805400089,4.773959005888173e-17,4.773959005888173e-17,4.773959005888173e-17,4.5351991938973955,25.0,4650.0,4725.0,3,12,30,24,21,34,44,22,6,4,7,7,9,21,39,33,44,20,13,7,12,9,17,45,48,50,5,4,6,4,12
8,0.06481214628900003,-0.06740299954299993,-0.036900436520499895,2.28050229427169,2.012474981709584,4.128226743644104,1.1657341758564143e-17,1.1657341758564143e-17,1.1657341758564143e-17,4.481120924755029,25.0,4950.0,4625.0,4,17,22,22,24,33,43,27,3,5,2,7,4,15,25,51,45,32,11,8,15,8,13,51,47,48,5,5,5,3,12
9,-0.021195216549999996,0.09007075292600002,-0.11783518522750003,1.9977801488698212,2.0144045135829476,3.7710745437691617,7.327471962526034e-17,7.327471962526034e-17,7.327471962526034e-17,4.166024233565062,1050.0,4425.0,4700.0,8,19,18,26,26,31,25,28,16,3,2,4,6,14,19,50,47,39,11,8,14,11,12,36,52,52,11,1,6,5,12
