window,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,mean_res_accel,x_tm_peaks,y_tm_peaks,z_tm_peaks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,user
0,0.017368165582499998,0.0171696328295,0.04831825823800001,1.1038271449933665,1.084044630103282,2.1654092231802426,8.604228440844963e-18,8.604228440844963e-18,8.604228440844963e-18,2.2161949348584984,1150.0,1775.0,1775.0,1,6,15,30,24,67,32,13,9,3,8,34,46,65,24,10,5,3,3,2,4,10,16,40,69,31,17,6,4,3,19
1,-0.0280495450775,0.03010275878499997,0.003951063090499965,1.236972171077313,1.2735538881206894,2.8115594677473874,9.436895709313831e-18,9.436895709313831e-18,9.436895709313831e-18,2.956170969191511,875.0,4450.0,2250.0,11,22,22,27,29,31,31,20,6,1,14,44,55,42,21,8,5,6,2,3,14,14,17,22,49,43,22,5,7,7,19
2,-0.0285527763035,-0.032864558882999974,0.002827862176499968,1.3033743400031814,1.1409344470913532,2.9841313788812354,1.8873791418627663e-17,1.8873791418627663e-17,1.8873791418627663e-17,3.034341285746127,25.0,3350.0,1250.0,3,10,16,13,29,33,46,29,17,4,6,36,68,48,19,12,4,4,2,1,1,9,16,16,16,61,43,20,8,10,19
3,0.02610735637700001,-0.023706161327999995,-0.06511602304799993,1.3111592371875838,1.0684431564391128,3.0099544673542504,1.0547118733938987e-17,1.0547118733938987e-17,1.0547118733938987e-17,3.0096625223532607,25.0,3300.0,3450.0,3,10,14,17,22,31,53,30,15,5,7,14,42,60,35,21,10,5,3,3,1,4,22,18,26,60,31,20,9,9,19
4,-0.017468795553499974,0.03992226409950004,-0.08582693220350007,1.5729680116098703,1.4390738099282196,3.3060872915912762,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,3.462305280886689,25.0,2075.0,3200.0,5,13,16,30,29,49,32,19,3,4,4,18,57,66,35,10,6,2,0,2,2,0,11,22,44,53,32,23,9,4,19
5,0.01508288009499998,0.0022922790075000144,0.15082729523350002,1.7181793758451387,1.5770186524783452,3.2452752487945173,2.6645352591003756e-17,2.6645352591003756e-17,2.6645352591003756e-17,3.576074426384237,25.0,3225.0,4425.0,6,20,13,26,32,28,42,24,5,4,4,22,67,54,31,9,6,3,2,2,2,0,7,22,40,54,41,21,8,5,19
6,0.022591725801000006,-0.05388383872699998,-0.0518957147935,1.819467954521235,1.3083045253106809,3.054976603434931,1.2490009027033011e-17,1.2490009027033011e-17,1.2490009027033011e-17,3.3986849650074773,25.0,25.0,525.0,6,16,20,21,33,31,43,27,1,2,9,43,67,44,22,5,0,5,1,4,8,20,16,27,64,36,18,2,5,4,19
7,0.007976712542499988,0.0681987772925,-0.050794807296499975,1.8655519035385089,1.3318197051096996,3.398704678035212,1.1102230246251566e-17,1.1102230246251566e-17,1.1102230246251566e-17,3.6599697197783945,25.0,3225.0,1075.0,9,15,19,20,31,39,34,29,2,2,4,34,61,51,25,8,7,2,3,5,10,19,21,26,57,38,15,0,10,4,19
8,0.020887196431499992,-0.0024776006605000235,0.13454625237799994,1.6505055148555678,1.4671661682383255,3.4026087652322183,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,3.5867944006192216,25.0,4275.0,25.0,8,11,15,16,27,25,31,37,23,7,4,10,50,48,45,19,6,9,3,6,11,18,19,34,58,34,11,6,5,4,19
9,-0.0328926237555,-0.10495456409850001,-0.12723983153650004,1.7641213393934103,1.5612333842301223,3.269050780044131,3.8857805861880476e-17,3.8857805861880476e-17,3.8857805861880476e-17,3.5999299407262737,25.0,1075.0,950.0,4,20,35,20,27,26,35,22,7,4,2,10,20,51,53,37,9,6,8,4,7,16,19,34,51,46,17,4,2,4,19
10,-0.039195857252000005,0.07266096764300004,-0.07503121135100001,1.830924211341892,1.7271891817966276,3.5742897236886044,4.218847493575595e-17,4.218847493575595e-17,4.218847493575595e-17,3.9286383591823064,25.0,4225.0,4125.0,9,29,23,20,27,31,20,28,9,4,2,14,32,65,46,17,9,8,5,2,14,10,20,21,43,54,25,5,2,6,19
11,-0.010321854953000007,0.016802694140000022,0.16864179277500002,1.7022652953844915,1.761135995477034,3.8074801699919916,3.7747582837255325e-17,3.7747582837255325e-17,3.7747582837255325e-17,4.035956347329185,25.0,1025.0,3075.0,11,15,13,22,22,32,37,19,18,11,16,34,60,47,16,10,7,2,4,4,14,14,18,21,36,51,30,4,5,7,19
12,0.03399067323950002,0.019694455375000013,0.026362039334500008,1.6206767768774195,1.8792192757528168,4.158129832154563,3.9968028886505634e-17,3.9968028886505634e-17,3.9968028886505634e-17,4.283505807866434,25.0,3825.0,4675.0,9,12,10,23,23,36,37,26,14,10,24,39,61,42,10,9,5,5,2,3,13,18,12,26,37,49,28,4,6,7,19
13,-0.010886899137999992,0.01310047260949997,0.003878867837500076,1.6838580038767528,1.905986345928563,4.1335092822674095,5.329070518200751e-17,5.329070518200751e-17,5.329070518200751e-17,4.285773565778043,1025.0,25.0,1175.0,9,11,13,15,23,36,30,29,19,15,24,43,65,34,10,9,4,5,3,3,14,16,11,24,41,53,23,6,3,9,19
14,0.0036913808029999744,-0.10697174036450004,0.016620400041000002,1.6093861508438263,1.7657275929142513,3.7739072605739814,2.6367796834847467e-17,2.6367796834847467e-17,2.6367796834847467e-17,3.950759283923149,1025.0,3725.0,3725.0,7,10,13,18,20,35,37,28,19,13,18,54,63,36,10,6,3,3,3,4,11,20,9,24,34,53,31,6,3,9,19
15,0.0202150913875,0.035516950947999976,-0.0798561072690001,1.4165072414496083,1.8542643124489666,3.7469404846356045,4.662936703425657e-17,4.662936703425657e-17,4.662936703425657e-17,3.897636725005019,1300.0,975.0,2900.0,3,11,15,17,29,31,35,31,18,10,15,53,56,38,11,13,2,4,5,3,17,16,13,22,41,46,27,7,2,9,19
16,-0.023041494748500004,0.027699518009499942,-0.0011498920679999802,1.4877811720813758,1.7589390038108066,3.5249774453893683,1.2212453270876722e-17,1.2212453270876722e-17,1.2212453270876722e-17,3.707735718841292,25.0,3100.0,1175.0,4,14,17,18,30,33,28,33,18,5,11,48,53,47,14,12,4,3,5,3,16,12,13,22,39,57,28,4,2,7,19
17,0.020484113311499998,0.020711000446999965,-0.017040963864000034,1.5933899067855508,1.6927860220890993,3.6735666594503686,3.441691376337985e-17,3.441691376337985e-17,3.441691376337985e-17,3.839255034776327,25.0,3925.0,3750.0,2,5,14,19,19,33,39,34,26,9,7,37,64,53,15,8,5,1,3,7,23,14,19,23,64,33,10,4,5,5,19
18,0.024843822003499997,0.016611898433500003,0.03278045800599994,1.5146007655227491,1.7344856141623632,3.75934714657333,4.4408920985006264e-17,4.4408920985006264e-17,4.4408920985006264e-17,3.865832068738855,1050.0,3600.0,4225.0,2,5,8,22,19,32,37,40,28,7,11,37,70,46,13,8,5,1,1,8,4,23,12,24,55,38,29,4,6,5,19
19,-0.014640690377999994,-0.07477488481750003,-0.05769672609149995,1.301835388905642,1.6183995750746747,3.5603458581296024,2.7894353493707055e-17,2.7894353493707055e-17,2.7894353493707055e-17,3.56782582049041,3175.0,975.0,4375.0,4,5,13,15,36,32,28,38,20,9,15,48,66,42,10,6,5,1,1,6,4,21,12,23,53,44,29,5,4,5,19
20,0.003696188582000023,0.061182856617499976,-0.09275087086500004,1.245635632728264,1.7120212408921716,3.568626198379662,3.885780586188048e-18,3.885780586188048e-18,3.885780586188048e-18,3.598830055336523,25.0,4225.0,1075.0,7,8,13,11,31,32,42,31,19,6,24,48,67,31,8,6,6,1,3,6,6,21,18,16,55,46,23,4,4,7,19
21,0.03276830352550001,0.03722966321549999,0.14530425517850004,1.6637416537668746,1.615533066142703,3.536852057844009,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,3.72763221502087,950.0,1075.0,4300.0,2,1,0,14,16,21,41,55,35,15,21,42,61,40,13,12,3,1,2,5,7,15,20,21,58,44,23,2,6,4,19
22,-0.026077283986000045,-0.10116521832900002,-0.06159580343099995,1.9438653415120046,1.553481599995839,3.468396800846448,3.663735981263017e-17,3.663735981263017e-17,3.663735981263017e-17,3.840931575977253,25.0,2625.0,3225.0,2,3,7,16,17,35,34,41,34,11,7,22,56,49,29,13,8,4,8,4,4,13,22,23,55,46,24,5,5,3,19
23,-0.01481382249799999,0.05897179035250004,-0.06534727529649997,1.7987222453658005,1.9362031606630508,3.527815072981909,6.661338147750939e-18,6.661338147750939e-18,6.661338147750939e-18,3.9607479748380574,25.0,4750.0,4250.0,2,3,16,17,24,30,45,28,27,8,14,46,54,34,23,6,7,8,5,3,3,16,18,21,48,55,23,5,6,5,19
24,0.008121344684999999,0.0519413619285001,0.1641013422995,1.6937479385553076,1.9593568810837554,3.2736695720644398,5.10702591327572e-17,5.10702591327572e-17,5.10702591327572e-17,3.7468790560580403,1025.0,2150.0,1050.0,14,15,14,18,23,32,35,22,18,9,12,50,52,36,26,4,8,2,5,5,9,17,16,21,48,57,16,6,4,6,19
25,-0.04570966672300002,-0.0858931433435,-0.07588063373350003,1.8560567684596803,1.9307627027909544,3.367763551482713,4.052314039881821e-17,4.052314039881821e-17,4.052314039881821e-17,3.8720919175195,25.0,25.0,925.0,5,10,16,21,28,27,43,30,18,2,3,29,62,43,30,11,10,6,2,4,8,15,17,17,37,60,29,6,7,4,19
