12,13,20,8,y_signal_changes,rv_signal_changes,18,x_max,rv_std,29,25,x_min,28,14,7,z_max,17,x_signal_changes,30,z_signal_changes,16,19,11,37,10,39,y_min,y_rms,4,5,1,38
8,22,6,14,24,0,18,1.881806664975892,0.868963251369886,6,59,-2.886275123324108,11,31,43,3.4009584734522504,30,30,19,35,35,7,4,11,2,7,-2.33332471523803,0.3058316474170285,32,37,8,5
7,14,5,44,28,0,17,1.2574267951758915,0.8355599487207086,5,64,-3.000221329524108,8,24,52,3.3063046242522502,31,26,19,33,39,6,5,7,4,7,-2.33332471523803,0.296164937201668,9,25,1,7
3,23,4,30,32,0,9,1.7232630535758915,0.7888816637645439,6,73,-3.000221329524108,5,44,45,3.3063046242522502,21,26,19,33,41,4,3,5,4,4,-2.03245643653803,0.1927806762321748,24,29,1,6
5,22,1,12,30,0,19,1.7232630535758915,0.7653749870375907,6,76,-2.0390118669241084,5,31,22,3.4585957813522503,31,32,22,32,38,7,5,3,2,2,-2.13987065423803,0.2260103194800498,21,49,4,3
9,23,1,17,27,0,12,1.824075729275892,0.7973476238694289,5,55,-3.092692541524108,10,39,55,3.4585957813522503,35,30,14,24,31,5,9,9,4,3,-2.13987065423803,0.3172059310590555,30,25,3,2
6,16,13,18,32,0,15,1.944603530375892,0.7930135881132736,5,44,-3.092692541524108,7,40,52,3.4700866130522505,28,28,7,26,28,11,6,15,3,3,-2.44135628543803,0.3512466174517266,16,24,6,3
9,16,8,11,32,0,17,1.988687247275892,0.7970468931777289,6,56,-2.862276337024108,7,32,34,3.4700866130522505,21,35,9,34,35,12,9,14,2,5,-2.44135628543803,0.3710357258560535,16,34,5,3
17,31,3,9,25,0,7,2.2303504263758915,0.7801934359234216,4,50,-2.862276337024108,11,38,38,3.2642516046522503,12,33,6,32,20,3,15,12,9,5,-2.11971494053803,0.4194186440547913,26,41,5,12
24,35,3,9,26,0,8,2.2303504263758915,0.7425177127235874,8,48,-2.6168262152241084,17,34,36,2.95806222505225,14,26,5,23,25,4,9,13,5,3,-2.27932744113803,0.4438874348075446,24,28,6,11
16,33,2,15,33,0,13,1.885739929375892,0.7904550734944069,4,54,-2.6168262152241084,10,37,44,3.5735199443522503,16,28,4,23,28,3,5,11,4,2,-2.27932744113803,0.3449167395603084,17,31,4,4
