1,22,3,27,rv_max,y_std,z_rms,7,6,19,y_rms,5,z_min,x_min,rv_signal_changes,rv_rms,11,13,y_max,z_max,y_mean,21,39,16,9,8,z_signal_changes,x_signal_changes,38,37,2,x_max
3,25,16,8,12.206656109499985,1.7291523977371517,5.648387428616572,51,41,4,1.4951389381572786,31,-10.688155564447747,-8.48886847912411,0,10.501239067063254,33,55,5.601042712861971,9.82194187565225,0.01760288937697,3,1,10,3,22,35,26,3,5,7,5.539694190175892
8,13,14,4,9.920796200283354,1.955829821882656,3.9482872700056113,45,38,5,1.9127338110076624,25,-7.66060107544775,-6.311522489024108,0,8.318242905582615,4,42,5.89609709956197,9.57857619295225,-0.0140474143450298,18,2,11,9,16,36,29,6,4,11,4.461172703375892
3,20,28,4,8.927529709171564,2.102180609385252,2.991735146383903,10,37,5,2.2102532724539445,53,-6.73396601094775,-8.02552713982411,0,8.161422018347778,5,45,5.89609709956197,8.467318565052251,-0.0366501082200298,12,6,18,3,1,33,33,5,3,14,8.076171017275891
6,13,23,9,9.335426872347472,1.738972337338268,4.09729471189821,11,34,1,1.5122910777823682,52,-8.05670472894775,-8.02552713982411,0,8.838755751008007,16,46,5.7134414520619705,8.181462297252251,-0.0236085903225299,12,6,19,3,1,37,32,2,10,15,8.076171017275891
10,14,22,6,9.928828365745982,1.6527846254963947,4.723598621375399,37,42,4,1.365898384286398,34,-8.05670472894775,-6.208319129924108,0,8.712109125727332,10,45,4.70858072636197,8.88870079085225,0.0099875069729701,18,5,18,4,19,44,26,2,3,11,4.689080082175892
2,9,15,10,9.928828365745982,1.5800264720902066,4.176526178549465,55,54,3,1.2483087050089618,24,-6.72052299604775,-7.525218642124108,0,8.051098956349287,16,46,4.70858072636197,8.88870079085225,-0.0115653582780299,18,3,9,4,12,37,23,1,5,10,4.924930446675892
5,13,12,8,9.999519929814689,1.774415630325875,4.148064471427896,68,43,2,1.5742769119028608,24,-7.041051466247749,-8.544256009224108,0,8.865343360090378,4,60,7.465530479661971,8.707484541752251,-0.0017305088715298,20,2,8,5,22,28,24,2,10,5,4.924930446675892
7,16,14,4,11.1021575517181,2.1122299641550883,5.411816950903057,50,27,2,2.231428895896033,22,-7.901406562047749,-8.544256009224108,0,11.82454521365755,4,62,7.465530479661971,10.01555607285225,0.0366383721999701,15,4,4,15,38,32,24,3,2,12,4.691461297475891
13,10,10,5,11.912369171087525,2.243978306314963,6.041497244932641,45,30,2,2.517719781660304,27,-7.901406562047749,-7.174397598824108,0,12.4356556640859,8,60,7.40541472796197,10.32027553155225,-0.0009613055890298,16,2,8,12,26,36,30,4,4,14,4.691461297475891
9,18,6,9,11.912369171087525,2.136174225993712,6.506938482390108,34,30,2,2.282836819756516,23,-9.833972206747749,-6.779443712024109,0,12.126314214725044,6,59,7.40541472796197,10.52823794315225,-0.0493286500240298,11,3,10,17,42,33,31,3,6,12,3.938381243275892
12,19,19,10,11.365015969645835,1.7433044618660098,6.111970383075987,37,37,4,1.5205210240017586,28,-9.833972206747749,-6.779443712024109,0,11.56271692138577,24,38,5.11221882416197,10.52823794315225,0.0439499856834701,9,3,19,3,16,33,27,5,4,15,5.827847467175892
15,14,17,3,10.286678774568005,1.7242267246052796,4.712577909724465,38,25,2,1.4866623288196874,37,-6.798929372747749,-6.411906926124108,0,9.99638303872433,23,36,5.58690754106197,9.31687652025225,0.0191535844249701,18,7,13,3,16,38,28,0,6,17,5.827847467175892
8,12,16,2,10.286678774568005,1.9646461638869972,4.4108212332516,30,25,3,1.9299172878015456,29,-6.70671127944775,-7.010455135424109,0,10.083965923273755,21,41,6.603979410461971,9.27128708045225,-0.0001622565780298,18,4,10,10,45,40,28,2,7,17,4.668848808275892
6,18,17,4,12.985820674745227,2.306394624738347,4.974064326097087,34,42,4,2.659813648282685,24,-6.88735033524775,-7.010455135424109,0,10.903547181570834,2,48,8.11957981176197,10.56240233985225,0.01308172555247,17,1,11,6,35,42,32,1,5,16,4.668848808275892
3,16,16,2,12.985820674745227,2.2092146472105774,5.6945154787538925,57,38,2,2.4429032189761952,28,-7.505870730947749,-8.212419295224109,0,10.924475911826889,2,45,8.11957981176197,10.56240233985225,-0.0719519318895298,15,1,15,6,31,38,35,1,3,5,4.611895273575891
3,19,15,5,11.000205057828516,2.106831902034716,5.700671841654898,48,37,3,2.22152464788546,29,-7.505870730947749,-8.212419295224109,0,10.819347464841517,13,71,7.82890328856197,10.16190154525225,-0.0656401732150298,17,4,7,5,36,39,33,2,6,4,4.611895273575891
4,13,22,6,11.000205057828516,2.334867796962653,5.963709714582416,39,36,4,2.725869969181195,24,-7.741361079947749,-7.279187958224108,0,12.411782542413269,11,62,7.82890328856197,10.16190154525225,-0.0115025679375298,15,6,7,10,26,36,31,2,10,13,5.030048041575892
10,11,16,17,11.63020455616379,2.2832781455420896,6.985249651049607,28,43,9,2.616934995623025,23,-9.82474286404775,-9.64401658532411,0,15.868059689950035,3,51,6.361079810561971,9.28040092665225,0.1432162746894702,18,4,11,6,38,30,27,6,14,11,6.665435933775892
13,13,12,7,11.63020455616379,2.1989508609561845,7.128714864573643,33,36,8,2.422343368037598,23,-9.82474286404775,-9.64401658532411,0,16.324229010523933,35,37,6.2271191336619705,10.61815968355225,0.0964460842919701,17,4,9,7,35,33,26,5,11,14,6.665435933775892
8,10,14,3,11.347613715112134,2.2561613832887013,6.145752542398218,34,35,3,2.547717510603904,21,-8.33872855364775,-7.798409569124108,0,13.234473481973025,42,35,7.07366396216197,10.61815968355225,-0.0719085096815298,14,2,5,12,37,34,27,3,8,11,5.055472309275892
10,11,14,9,10.33856747884946,2.3709282036045907,6.209972321237505,36,36,8,2.811678486753662,29,-7.945649200147749,-6.236986773624109,0,12.271518871136031,0,51,7.07366396216197,9.86774838305225,-0.0453478429435298,15,5,8,10,28,30,31,5,16,5,4.526347048275892
13,15,11,8,10.774528823667458,2.077486247945021,5.698600489493879,37,40,4,2.15801518857728,37,-7.945649200147749,-7.250262299324108,0,11.645259211092991,1,43,6.70019001286197,10.03320045315225,-0.0090148074785298,15,5,7,4,13,30,33,2,10,14,5.885394190375892
11,13,16,6,10.774528823667458,1.767290430390143,4.086854732623596,40,32,4,1.5618017429793378,35,-7.08746277224775,-7.250262299324108,0,9.657938004943388,32,34,5.36426645706197,10.03320045315225,0.0169711699684701,21,2,10,7,13,36,27,0,8,21,5.885394190375892
10,16,21,4,10.131627261305557,1.7731343676892224,3.972096167884806,28,40,9,1.572353023871566,39,-6.82869726384775,-8.15266978662411,0,9.99698879404541,25,42,4.53151868626197,8.30156057675225,0.0264681291834701,13,2,16,4,10,38,23,3,9,17,7.086379321375892
13,15,13,5,11.047046502897306,1.856247942688376,5.055200275078342,29,41,3,1.7228917219486235,36,-9.30745760824775,-8.15266978662411,0,11.766527409180403,29,57,5.846570236161971,9.696391505452253,-0.0112702778325298,13,4,14,2,15,34,28,3,8,18,7.086379321375892
8,15,12,4,11.047046502897306,1.988690369856738,5.369661120210802,43,31,5,1.9777157480425964,26,-9.30745760824775,-7.8333797390241084,0,11.430591388949615,27,52,6.23206017976197,9.696391505452253,-0.0232832326850298,14,3,8,15,29,36,31,4,6,16,4.870852159575891
15,12,16,5,10.732966003453557,1.9944419238897155,4.725110708509156,41,28,5,1.989415951283418,32,-6.8920539922477495,-6.455028694824108,0,10.647502452269304,9,45,6.248943390661971,9.33313963715225,-0.0321452142305298,12,3,7,9,15,36,30,4,2,9,5.269493630275892
9,12,17,6,10.732966003453557,1.8521280138656329,4.256749541315664,31,39,2,1.7152091562575706,31,-7.661302117047749,-8.027413265024109,0,10.370224472128935,9,43,6.248943390661971,9.00816340215225,0.0063350429584701,19,2,19,8,17,34,29,5,5,18,6.151413994175892
3,18,21,3,10.024560837196136,1.9021667318818527,4.499877737622783,38,43,7,1.809455723851796,39,-7.661302117047749,-8.343274204924109,0,10.070754798463168,15,39,4.87050618886197,9.951394566652253,0.0259455550239701,15,4,16,5,11,41,32,9,4,9,6.151413994175892
2,19,8,3,10.520721500602493,1.9954454468363556,4.856815867791578,40,42,8,1.9909926292738245,31,-7.37366248534775,-8.343274204924109,0,9.482400258250692,19,36,5.511977846561971,10.184134485852251,0.0135176642844701,19,4,9,12,42,47,32,4,4,5,4.169655013975892
5,17,11,1,10.520721500602493,1.9641181372740164,5.164458759930304,39,40,2,1.9290049852912812,37,-7.108115914247749,-6.850996268724108,0,10.440087960371084,25,46,6.38086404776197,10.184134485852251,0.0158086499679701,21,4,13,2,23,44,30,3,6,12,5.064030867075892
12,15,12,4,10.450768039158156,1.780672723946689,5.282603977693618,41,28,1,1.5854057345009198,28,-7.108115914247749,-7.8734685458241085,0,11.4166572607089,35,55,6.38086404776197,9.781767139552253,-0.0040148716190299,17,4,13,7,40,37,30,3,12,15,5.064030867075892
15,13,14,5,11.326411948765005,1.7906600733335674,5.051044377152459,54,28,5,1.603373081994026,36,-6.985371378047749,-7.8734685458241085,0,11.955276207597873,27,57,6.06770764276197,9.781767139552253,0.0168126665664701,12,3,12,3,7,38,28,3,6,16,6.714838915675892
15,10,19,4,11.326411948765005,2.047148849691183,5.465642424159538,45,33,7,2.0954909161693545,39,-8.96108955594775,-7.438319362224108,0,12.17081743545625,33,45,6.06770764276197,10.128909379052253,-0.0127835654955298,21,4,8,3,5,37,30,4,7,12,6.714838915675892
13,11,15,1,11.690333211689492,2.156432627813988,5.956269655144422,37,31,10,2.325456410473443,29,-8.96108955594775,-7.0396443299241085,0,11.657512836605196,26,52,5.893186612361971,11.02428954305225,-0.0266672579420298,21,3,10,14,34,35,31,3,5,6,4.419377941275892
10,11,17,6,11.690333211689492,2.248485622410869,6.607197803089711,33,52,13,2.528335590769077,34,-8.762308916447749,-7.922784707124109,0,13.266841755098293,8,40,5.893186612361971,11.02428954305225,0.0313621961884701,17,4,14,3,4,34,30,6,6,13,6.720797996575891
9,14,15,9,10.913942350451642,2.19125410715336,6.98061224918758,31,52,7,2.400811327556519,40,-8.762308916447749,-7.922784707124109,0,13.546111007039906,7,42,6.35873799406197,9.79254942865225,-0.0053002826875298,15,8,13,4,4,33,29,8,13,14,6.720797996575891
9,15,13,6,10.48390367804489,2.067150307110283,6.939906716093649,38,45,5,2.1403762169973586,35,-8.398860188247749,-7.253958579224109,0,12.437958336195244,31,43,6.35873799406197,9.94614155895225,-0.0874187726325298,14,7,6,2,15,38,29,8,8,13,5.698420158575892
6,12,7,6,10.887369117809069,2.072225586062425,7.0714282308138925,47,29,4,2.149731486803197,21,-8.398860188247749,-6.999419244524108,0,12.567176306912572,24,46,6.51680444616197,10.521672933352251,-0.0731033109690298,17,4,10,13,34,33,28,10,3,13,4.227382863075892
5,10,9,3,10.887369117809069,2.0843648501079657,6.605380533892964,35,27,5,2.1732080899873,25,-7.91050145614775,-7.0898816936241085,0,12.199093832770336,21,41,6.51680444616197,10.521672933352251,0.0428876626664701,16,3,9,22,38,28,29,7,7,12,4.093015160075892
17,14,27,3,10.072506916245688,2.0848792718050047,4.900028163048856,2,44,4,2.179346055276353,39,-7.91050145614775,-7.718463806624109,0,12.077116407142206,14,41,6.06701156316197,9.73479837865225,0.1094099289394701,15,4,15,2,4,33,30,11,19,18,9.09011070537589
18,15,22,5,11.102379664315125,2.133413473147416,4.483413886021102,4,43,7,2.2791609597977907,38,-6.96492525994775,-7.718463806624109,0,12.191305950380295,12,47,6.208856448361971,10.44290038505225,0.0828786594284701,16,2,15,2,5,35,28,3,7,19,9.09011070537589
11,16,22,3,11.102379664315125,1.9493672092855272,5.088555168053903,45,34,5,1.900225954784372,34,-6.96492525994775,-7.700829716624108,0,10.784424221558668,54,26,6.208856448361971,10.44290038505225,0.0204790852114701,10,2,6,1,8,36,30,4,4,9,6.612723980375892
7,13,10,5,9.491696714944457,1.7559813387824703,5.224652036481785,38,32,8,1.5423427453777157,29,-8.19310008624775,-7.469384242524108,0,10.1417858746908,42,36,5.2853007533619705,9.42759104495225,-0.0348572604080298,19,7,5,8,38,38,34,5,10,12,4.523751525075892
4,11,9,4,10.306793438142904,1.7777224204810187,6.008130428934514,26,23,3,1.5803505502142705,21,-8.19310008624775,-7.651164796924109,0,11.353542468379084,29,43,5.656324282861971,10.10064745905225,-0.0201021428620299,19,5,3,38,47,33,29,4,16,10,3.5897176808758915
4,10,7,4,10.767495007656658,1.852299379098949,6.166993292709446,36,18,4,1.7160654324699736,24,-7.400486730847749,-7.651164796924109,0,11.774290758919886,28,48,5.656324282861971,10.47586259405225,-0.0334346396660299,11,4,3,30,46,29,25,3,11,11,3.974308335675892
10,11,9,4,10.767495007656658,1.9467028195771952,6.54335826604809,44,18,4,1.8968651924918167,23,-8.20170834094775,-8.09215397502411,0,12.85789337107407,17,45,5.573926963961971,10.47586259405225,-0.0638632698335299,14,5,12,15,44,34,26,6,10,12,4.576139632975892
8,13,9,5,11.656073217413857,1.9149848225691333,7.7876210788266995,40,19,4,1.8336221657178449,20,-8.552212447947749,-8.465887189824109,0,14.433466103423363,13,40,5.29705568786197,11.36303529775225,-0.0088011797820298,14,1,14,20,48,35,25,7,12,12,4.576139632975892
5,13,8,4,11.656073217413857,1.842940314369416,8.065875314096287,49,25,2,1.6983398809466093,20,-8.552212447947749,-9.89465298982411,0,14.653955605023354,22,43,5.70096761286197,11.36303529775225,-0.0158353896440298,15,1,10,8,48,31,26,8,14,8,5.394552891075891
5,13,10,4,10.69961002945994,1.9570822635538256,7.126147220731845,51,27,4,1.9184483183655583,21,-8.19864215204775,-9.89465298982411,0,13.733385557319652,23,46,5.70096761286197,10.43212556795225,0.0820100628834701,15,5,10,8,43,36,28,10,16,8,5.394552891075891
10,10,18,2,10.69961002945994,2.0272901484861343,6.231235129589712,36,28,8,2.058099153338485,15,-8.19864215204775,-7.070262694524108,0,12.472245286245723,22,46,5.59892162916197,10.43212556795225,0.0793281824324701,18,4,10,14,41,38,28,2,16,9,4.597445182575892
