36,18,y_signal_changes,34,20,4,17,37,y_rms,23,15,33,16,21,x_signal_changes,30,z_std,24,9,8,5,14,22,26,7,39,x_rms,x_max,z_rms,32,x_min,3
13,1,42,24,2,27,9,12,1.2533482903193305,19,13,35,3,17,36,11,2.769804441315813,69,7,10,31,25,21,18,36,7,4.163043102905862,6.228380953175892,3.837853037504479,32,-8.843768466024109,18
13,5,42,28,1,22,8,14,1.5944907673002944,12,29,32,10,6,36,10,2.8054520463038704,56,7,10,23,72,28,25,31,10,4.299388321804662,6.228380953175892,3.937094018740284,30,-8.58787548312411,18
10,7,40,28,1,21,8,8,1.4860999637921417,17,64,33,19,6,36,14,2.8344953340454366,48,4,9,44,46,34,21,25,8,4.384695273033362,6.839249916775891,4.019217328796528,36,-8.31030817672411,20
9,6,37,30,2,21,9,9,1.229153436668745,20,30,28,10,23,35,18,2.985764162000545,80,3,9,47,73,23,11,22,7,3.901129911918042,6.839249916775891,4.457546671044637,41,-8.06930831382411,23
16,10,31,29,4,28,18,8,1.66318051439072,24,60,34,26,14,36,17,2.943555970830144,69,3,9,39,28,20,14,28,6,3.4117964658437008,6.318900040375892,4.3392070450930245,37,-7.715206018324109,20
18,14,31,36,3,37,24,7,1.8416931792646587,16,45,33,37,13,40,10,2.7143012587622724,61,1,9,45,20,25,15,23,1,3.4387140978236648,6.696267509975892,3.685295054693668,41,-7.042463517924109,24
15,9,33,27,8,33,17,7,1.4502081145322847,32,55,41,35,28,34,11,2.669091208528205,66,3,9,50,21,15,13,27,4,3.646447775750944,6.696267509975892,3.562952645625137,39,-7.521354718224108,23
13,2,39,27,9,30,8,8,1.248816689617827,36,31,41,13,27,30,13,2.4668423927633625,60,3,6,44,74,20,13,30,5,3.76815637002096,6.691074946175892,3.043165706738256,38,-7.749702486524108,19
8,6,41,29,2,25,6,13,1.319857186126913,25,32,47,15,5,35,10,2.611737375075526,41,8,28,29,72,29,27,39,1,3.8741543522789703,5.289453259675891,3.411671483025588,32,-8.36440796112411,16
11,12,35,25,2,25,19,14,1.663106265581474,18,54,38,51,15,37,20,2.9491984576258816,60,9,14,45,29,29,13,38,4,3.728016613301814,5.919716080075892,4.3490099163771205,40,-8.36440796112411,23
15,13,35,19,18,41,18,9,1.7314407450393443,64,54,34,43,24,39,20,2.888818623648405,47,7,10,41,29,13,7,21,4,3.4714263558002294,6.149563618775892,4.1730876790764135,42,-7.297246371824108,18
14,5,32,22,4,28,11,9,1.456890498736904,38,42,36,26,17,33,22,2.649989824718898,73,5,6,37,46,28,8,30,1,3.4078734638201227,6.149563618775892,3.5112230973736214,45,-7.297246371824108,27
13,8,28,32,5,19,18,10,1.1230792640193945,15,50,40,36,4,29,15,2.47074319842154,51,6,25,32,39,30,22,43,7,3.489682894635945,5.107810519475891,3.0541319522648878,39,-7.330599437124108,25
14,1,31,32,5,24,4,11,0.9459214580711904,12,14,44,10,10,34,10,2.276594055768149,44,6,17,30,47,34,23,50,2,3.2094390243077062,5.080016023575892,2.5915136701067847,44,-7.330599437124108,22
19,1,34,26,4,24,4,7,0.8630453706200165,23,8,39,11,3,32,11,2.486060520927719,26,5,16,32,40,30,23,49,2,2.798574982178191,5.080016023575892,3.0957593870109794,37,-7.284814662624108,20
19,11,31,21,7,25,12,11,0.7526051282540566,15,31,33,17,9,31,11,2.810339820061816,48,4,11,41,41,31,19,38,6,2.7975435747710997,5.460441384875892,3.949147158436624,42,-7.284814662624108,21
11,1,36,26,1,32,7,13,1.160428315831522,21,20,28,17,5,33,13,2.9671960957308894,18,8,7,27,44,18,33,47,1,3.132833261971301,5.460441384875892,4.4029715698418,43,-7.724323280124108,16
11,1,37,26,1,29,11,11,1.206482207354555,23,14,24,13,4,27,22,2.8508841379351835,14,7,13,23,45,16,34,48,1,3.3464791241071405,5.440437332375891,4.063773880309851,38,-7.783719993024108,18
16,8,30,21,3,28,13,10,0.932183710745894,14,22,31,21,3,27,18,2.629268152558725,34,6,20,25,44,29,24,48,5,3.652852123818243,5.440437332375891,3.4584841492340006,37,-8.668957975324108,10
15,10,31,29,2,24,15,9,1.01981037120088,23,27,34,25,3,28,16,2.5444272748975814,34,6,29,27,44,27,28,49,6,3.825337171478952,5.186778771875892,3.237847991975534,33,-8.770175409624109,7
10,12,26,33,9,27,36,10,1.168707056674001,15,44,33,51,22,27,15,2.4766094985688265,51,5,14,32,29,24,17,36,4,3.870672503497513,6.180520381975891,3.0688427947761943,35,-8.77880848652411,18
16,12,24,26,17,21,36,9,1.147113711635415,31,38,29,56,21,32,7,2.7116418976781524,56,7,12,44,31,15,16,35,5,3.8468895575343054,6.180520381975891,3.676922892099418,44,-8.77880848652411,20
22,7,30,25,3,19,11,8,1.0383149532078824,10,27,26,21,11,33,10,2.940280161113458,43,5,15,37,46,28,20,45,8,3.833185212980228,5.8141024729758914,4.322658989942073,47,-8.16652773292411,22
15,8,29,21,3,30,19,11,1.0101487050824542,21,44,30,30,4,28,16,3.049906894448045,34,6,17,18,33,20,26,52,3,3.800071460980901,5.436673989675891,4.651742723444294,33,-8.199826756824109,16
13,7,30,25,2,23,16,10,0.9893186738259788,26,47,33,23,2,26,11,2.90785982561062,29,8,21,24,38,20,29,43,3,3.998528564440104,5.382282703875892,4.227826251060816,31,-8.199826756824109,18
12,11,33,25,6,24,12,8,1.0016315596149046,15,35,36,25,8,29,22,2.7463932321547797,35,6,19,38,57,29,27,42,1,3.710547122131142,5.868434649475891,3.7729549560741713,38,-9.26815131482411,13
11,1,33,22,3,27,7,9,1.1574543440929324,25,18,28,10,4,36,28,2.927198325516418,35,4,18,47,36,18,26,41,3,3.0665543229348566,5.868434649475891,4.287188721185479,46,-9.26815131482411,6
18,2,33,25,3,27,17,6,1.5066467882245107,22,45,30,19,6,37,9,3.0052107444225205,42,6,18,36,57,17,31,51,2,3.041531168942889,5.543621019275892,4.516092034036508,46,-9.00076764102411,8
17,17,35,33,4,28,19,11,1.2277878229525727,21,56,29,38,15,33,11,2.8693662630247325,61,5,12,34,39,17,20,32,2,2.8722006863558533,5.543621019275892,4.119624352349983,39,-7.401887286724108,21
10,15,37,24,6,22,13,7,0.8979850970369903,44,34,31,25,11,30,21,3.1338339143471856,77,4,26,31,41,22,9,43,1,3.1081108543514646,4.978340443575892,4.910465608761253,44,-7.695663662024108,15
5,15,36,13,6,21,17,7,0.9625279270843204,41,30,30,29,8,29,28,3.0989409057584862,71,3,24,26,31,30,11,55,1,3.239620900481352,4.990894540475892,4.801762284873958,52,-8.11849656822411,15
18,9,32,22,6,17,16,7,0.8918828967496596,16,29,24,31,13,31,22,2.917387796705386,68,7,21,36,42,22,16,42,2,3.5778828325015506,5.131850327775892,4.257903233811688,44,-8.192055733924109,11
22,14,30,24,5,20,21,9,0.952594522675532,22,42,28,23,14,30,10,3.157654182742358,54,7,24,32,50,26,19,38,4,3.818625700385209,5.428103704575892,4.986787516328498,39,-8.61812328172411,12
16,7,33,25,6,35,27,18,1.0334835823028736,20,30,28,28,12,26,10,3.156698522800124,42,4,4,38,56,28,19,29,4,3.843219297325175,6.960957281775892,4.984424175510121,42,-8.61812328172411,16
17,2,37,20,10,36,2,10,1.1664298608700123,21,29,32,22,14,31,13,3.107362928838063,56,4,9,37,71,18,22,29,1,4.01824839331193,6.960957281775892,4.834042449930744,30,-9.125055285324107,14
17,1,39,18,8,31,8,9,1.2966016094046808,22,28,38,18,18,35,15,3.0776345396202296,70,9,13,40,62,20,16,46,2,3.782315818774208,6.028417174075892,4.7359230814762325,38,-9.125055285324107,10
11,17,35,25,6,35,22,16,1.3771710538483477,16,37,34,20,8,31,14,2.9826615693046983,71,7,13,32,42,30,10,37,2,3.670936236803803,5.942372085875892,4.450609682271391,46,-8.609419528124109,13
9,23,31,26,5,32,23,10,1.2011772569041574,15,45,31,19,4,28,12,2.8653763484899417,63,6,9,31,39,31,13,31,4,3.917071374024727,6.433361603675892,4.106031202589799,47,-8.57990799442411,17
7,13,34,29,9,24,12,6,0.7291355946601716,32,22,24,24,34,30,31,3.025373030134885,67,8,13,29,54,12,11,38,4,4.729465759080588,6.433361603675892,4.577434734179616,30,-9.39606507482411,16
18,5,37,30,10,17,8,3,0.7966975447267158,36,28,25,22,36,31,21,3.2445562824880043,51,10,25,35,76,14,14,38,4,4.67809935643076,5.808878675675892,5.263573673897029,30,-9.39606507482411,18
12,5,37,26,21,24,5,11,0.9407880685491395,43,40,35,20,22,31,12,2.9165128957952726,43,9,13,35,62,17,14,37,4,3.368084536252073,5.432243556275892,4.254103256903942,32,-8.06526410312411,19
