z_min,16,3,rv_max,x_std,y_max,7,x_rms,11,6,y_min,1,25,z_std,2,0,z_mean,rv_std,x_signal_changes,29,14,y_rms,8,y_signal_changes,y_std,z_rms,z_max,13,26,31,5,34
-6.3445037262477495,24,20,9.044199138784595,1.6159777602063168,3.34416448956197,33,1.305758995376022,2,30,-3.28320773113803,11,47,3.026793867246682,13,15,-0.0520993189367496,1.5150748922305866,27,6,61,0.7471161264335341,20,38,1.2221247306657377,4.582097726917898,9.03047044015225,24,10,43,30,29
-6.188887180247749,29,23,8.508363894299807,1.5053222245188915,3.34416448956197,42,1.1363567053818755,4,25,-3.28320773113803,9,44,3.016698315771119,12,9,-0.0875215628097495,1.491330917688094,28,7,64,0.6036158306225893,12,48,1.0986884921353468,4.554064376166486,8.48710793205225,14,7,49,39,31
-7.603846022247749,10,36,8.166244872945562,1.7831723325662328,4.29014233196197,3,1.5899496601109138,16,28,-2.51416006793803,17,43,2.8363634731510023,24,15,0.0543838220092503,1.505277860389773,31,7,36,0.6334753352166098,0,48,1.12514092780507,4.023957675960775,8.160794327652251,68,29,32,37,29
-7.603846022247749,8,27,8.482311673222569,2.03445202834438,4.29014233196197,12,2.0741656033912164,20,30,-2.36344756933803,20,57,2.7192472625793034,26,15,0.0811877507992503,1.473287785797422,28,6,29,0.6732274326635316,2,40,1.160177360978632,3.7004485629624377,8.44481611865225,70,23,27,31,36
-5.18547258624775,2,22,8.482311673222569,2.014082097675371,4.968349674861971,15,2.0286901047868127,23,36,-2.58419831843803,18,35,2.757723390502349,28,12,-0.0578604036227496,1.453869584915577,27,6,26,0.758917883927581,6,32,1.2315301369075349,3.804193062415581,8.44481611865225,69,6,20,30,47
-5.528888468547749,4,24,9.071034584600875,1.820514934955618,5.1531359104619705,10,1.6610833859204588,21,41,-2.58419831843803,14,23,2.9672399363934225,24,11,-0.0846314923062495,1.608206968823609,27,6,30,1.014457523408817,3,30,1.423653466001107,4.405837664809014,8.99048264915225,54,7,27,38,42
-5.528888468547749,4,17,9.071034584600875,1.744615018150587,5.1531359104619705,40,1.5220178139517038,23,35,-2.55041025553803,13,31,2.9598128151775285,12,8,0.0569746663487503,1.626881012564679,26,7,27,0.9578913558998278,25,31,1.3834625469847248,4.381869006747338,8.99048264915225,56,4,22,23,42
-5.448157426847749,9,15,8.990284616160453,1.7951061213832125,4.5690310513619705,35,1.6129198773544864,19,41,-2.70566599323803,12,37,2.7124667360120345,12,7,0.0729881894442503,1.4969096533120796,26,5,37,0.8393754346230656,24,32,1.2946266887207505,3.681401534885071,8.88899239775225,66,3,24,24,43
-5.36505875224775,4,22,8.990284616160453,1.7488851068608642,4.5690310513619705,34,1.5293417964743314,17,44,-2.70566599323803,9,26,2.6851331483366425,13,7,-0.0239801454827496,1.445043351387641,28,4,33,0.7804554504286823,13,36,1.2492010865291785,3.6052575358368135,8.88899239775225,74,4,42,28,33
-5.36505875224775,1,27,9.302932315160188,1.7527202334157228,6.25624924676197,28,1.5364545287033786,46,36,-2.14372470083803,11,14,2.834998713285213,20,8,-0.0155051246217496,1.5654111174594825,29,5,7,0.8134360070898444,9,40,1.2754052774189917,4.018729056609176,9.22197480345225,33,5,45,37,28
-5.61598195534775,5,27,9.302932315160188,1.710606743566922,6.25624924676197,31,1.4631564515893407,36,37,-2.62429345773803,12,20,2.7024732525174544,23,7,0.0367164255462503,1.526910345646112,27,3,11,0.8906641419298998,7,38,1.3339641319562978,3.652354888238581,9.22197480345225,57,7,40,36,30
-5.61598195534775,9,32,7.918599922852107,1.6534038778945297,4.340473156161971,19,1.3668727522403867,15,44,-2.77345560463803,16,34,2.425174660556307,19,6,-0.0591335978127496,1.3888192441005327,26,5,48,0.7521879449790202,5,32,1.2260279316761686,2.942484458297342,7.91124978175225,62,8,30,26,31
-5.14412433344775,11,34,7.918599922852107,1.563203743733994,3.81388271376197,11,1.2220771506349104,13,40,-2.93376561263803,14,36,2.465339572523105,22,3,0.0672049093217503,1.3509095208352309,30,5,68,0.6605155097304702,5,35,1.1483906717649566,3.041207853842677,7.91124978175225,42,5,31,32,37
-5.920136973147749,19,30,7.949297936275639,1.3419387789204913,3.41367266696197,11,0.900401544249128,12,32,-2.93376561263803,21,52,2.6004780125872515,13,17,-0.0345041185277496,1.2788871795488326,30,5,61,0.6582286664032689,4,42,1.1473398452264036,3.3818382140725616,7.932914952052251,33,8,28,37,34
-5.920136973147749,13,25,8.47074623472975,1.2514915522471273,3.3031655627619703,17,0.7831843385906503,19,28,-2.84061343663803,14,39,2.8073436256114985,13,16,-0.0207870634762495,1.4945981215414283,30,7,62,0.645579142927128,6,47,1.1360513857982353,3.9408051671347386,8.44776974775225,31,5,45,42,17
-5.10163280484775,6,21,8.47074623472975,1.209002834886142,3.5739141883619703,21,0.7308552898129181,18,31,-2.0761037127380297,13,26,2.773360170844467,13,15,0.0362279583137503,1.5211863017241103,32,7,42,0.6720575131617404,3,44,1.1588018022289202,3.846419551095018,8.44776974775225,56,6,52,31,14
-5.78111538084775,6,16,8.236056200483786,1.2160990291860092,3.5739141883619703,36,0.7394582122153017,14,27,-2.11194703273803,14,39,2.5644185150182044,16,14,-0.0596063108372496,1.4143215223641568,30,6,45,0.6056860975388467,3,40,1.099985742217783,3.289897616229901,8.23139340965225,57,5,47,29,22
-5.78111538084775,10,17,8.236056200483786,1.281487883864456,2.98114083386197,38,0.8212530835474956,17,27,-2.3705524372380298,16,44,2.516524288783621,11,4,0.0461566769622504,1.354342394270034,28,6,65,0.5179646363575661,18,40,1.017043354370541,3.1675124674330566,8.23139340965225,41,5,45,36,16
-5.47487720434775,11,21,7.61342258695793,1.3080868138103792,3.80352297176197,31,0.8555759722346941,17,22,-2.3705524372380298,18,50,2.502758657523463,10,4,0.0527512657997504,1.326842157562136,32,6,51,0.575850846937827,16,43,1.073142350269078,3.133291796926058,7.60312277965225,62,5,30,42,28
-5.09928081774775,10,21,8.741153016917337,1.2908737736107505,3.80352297176197,29,0.8333935504408996,20,33,-2.62169083643803,19,21,2.6129509925113594,9,4,-0.1198961900632496,1.4403478592710917,34,6,62,0.6325528356043897,13,46,1.124561038086399,3.420943992828888,8.69735956135225,53,3,44,38,20
-5.09928081774775,10,32,8.741153016917337,1.330581489289558,3.79677971216197,11,0.8861113869526753,17,38,-2.62169083643803,16,22,2.790347091494496,12,10,0.0087313447852503,1.568852822868033,28,7,67,0.7262036641533848,2,40,1.2048215912032525,3.893056563696773,8.69735956135225,48,3,42,42,15
-5.9357398939477495,11,30,8.571083631900724,1.274455066132896,4.40016939056197,9,0.8125160834389281,18,31,-2.72473158823803,15,37,2.842164724591369,15,11,0.0612661522747503,1.6461019698966906,28,7,46,0.9227917955499398,0,40,1.3582758363579308,4.040826931563043,8.54810522825225,63,6,44,43,23
-5.9357398939477495,8,22,8.39143893989943,1.4101174712974698,4.40016939056197,28,0.9942170768257422,21,41,-2.72473158823803,7,42,2.7702160491123813,14,2,-0.0045124562847495,1.5955024733027403,28,7,43,0.849065252633243,5,39,1.302720784060574,3.837058660510765,8.28290063925225,60,7,33,51,30
-4.645713066147749,10,21,8.025877654839247,1.6215156340096288,3.99869615676197,17,1.3148902674158394,19,42,-2.55774888703803,14,18,2.634102934744433,19,2,0.0331406408862503,1.4849439059643297,27,7,46,0.5962916739273447,6,41,1.09200200647814,3.469798286453795,7.995325363752251,54,7,27,32,36
-4.08341010774775,11,35,8.651541316716537,1.5391745565697508,3.78060021006197,6,1.18534169596494,22,34,-2.1472488255380298,17,7,2.61419004047852,21,18,-0.0931211263062496,1.4384580632760933,26,5,33,0.5573470822319475,3,43,1.0557071371552755,3.4213305559508127,8.64090376035225,68,2,45,29,33
-5.59740539264775,8,25,8.651541316716537,1.717007831472505,4.66927557566197,14,1.475095204648926,29,37,-2.1472488255380298,6,25,2.7210329726345743,25,2,0.0118179613252503,1.5393257621792231,26,5,19,0.6156229406954354,6,42,1.1095098396782177,3.702080051187216,8.64090376035225,64,7,42,43,22
-5.69171765454775,10,31,8.362458584839462,1.916997569053603,4.66927557566197,23,1.8375069578590644,21,31,-2.39211058193803,8,38,2.730068136216009,23,6,0.0373514670877504,1.567827233618848,27,7,30,0.698104758842862,7,40,1.1810595346923691,3.7273335802377754,8.27757293065225,66,9,33,40,26
-5.69171765454775,8,25,8.362458584839462,1.826819145117819,4.6009303290619705,30,1.6686545049058636,18,36,-2.45505257943803,6,49,2.5828643209671047,16,7,-0.0008182238912496,1.4685404867559906,26,5,32,0.7440115029698188,20,33,1.2195008716792906,3.335594385007598,8.27757293065225,53,4,42,25,29
-4.86802489784775,6,23,8.719625621537839,1.843552127963608,4.6009303290619705,30,1.6994580976347389,18,27,-2.45505257943803,16,14,2.553132114201995,17,12,0.0699153904422503,1.4485310638542157,26,6,30,0.6962885190033704,6,34,1.179361346916562,3.261685877195122,8.68834133165225,58,2,45,45,26
-5.490576033947749,3,23,9.19841555605944,1.7855051153613144,4.72473139946197,27,1.5946640647783676,32,33,-2.21302410893803,14,20,2.725895570063594,18,11,-0.0945331714967496,1.516702300805003,26,3,24,0.6875893900762725,4,34,1.1725459890599244,3.7197215897027776,9.13295447275225,59,3,43,42,25
-5.490576033947749,4,22,9.19841555605944,1.71103432137854,4.72473139946197,31,1.4663624596522515,38,30,-2.06681256193803,8,22,2.7795600273447336,20,11,0.0051171364652503,1.4895413558907695,26,2,20,0.6970590986542372,20,32,1.179881963074809,3.862990065349125,9.13295447275225,55,3,48,29,33
-6.23187293794775,6,25,8.66049881697881,1.7024733751078291,4.76104792196197,24,1.4492517050928442,35,27,-2.24316415463803,7,42,2.794258929969536,20,11,0.0592310328607503,1.545541962200928,26,5,22,0.735415230827591,23,32,1.2123776064582277,3.905695641484124,8.57879417115225,51,9,39,39,30
-6.23187293794775,4,18,8.66049881697881,1.58878301015792,4.76104792196197,20,1.2622720376778027,32,43,-2.24316415463803,5,40,2.6602647779705246,17,8,-0.0648816887012496,1.5401223969389075,26,5,19,0.7397648638284661,28,35,1.2163585153058432,3.540609161219645,8.57879417115225,63,7,45,21,23
-5.67143016674775,4,28,7.9733028929418275,1.6377199709153856,4.237291462061971,14,1.341338633810902,33,38,-2.06028948693803,12,50,2.502222478662927,18,6,0.0692855499312504,1.4061436590715786,28,5,20,0.5584494025257477,0,37,1.0566015245239055,3.1329589100776563,7.94339040045225,56,8,35,51,29
-6.7121615697477495,6,27,8.740144087006994,1.7493300809381216,4.29055697426197,13,1.531350815343262,16,37,-2.38918612393803,18,51,2.6765205371293157,15,8,0.0481365852622503,1.5111373486835429,30,6,28,0.5745596567372556,2,35,1.0718746965644443,3.5830396582578565,8.615988277352251,71,7,37,49,25
