z_max,15,rv_rms,6,x_signal_changes,rv_mean,7,0,z_rms,x_max,32,9,14,16,20,18,y_signal_changes,2,3,4,rv_max,z_signal_changes,x_min,rv_min,z_min,rv_signal_changes,21,17,y_min,23,19,36
12.76958428335225,31,7.485752927487455,44,43,3.023709783555625,13,1,4.937891236469375,5.092118782675891,44,3,22,86,6,9,39,10,14,24,12.846519084305964,39,-6.769689019724108,0.0597797864589485,-8.618767926347749,0,11,27,-5.27351517393803,67,13,6
12.76958428335225,35,11.505642500371586,35,34,4.175314460015681,24,1,8.179365153125834,5.092118782675891,50,6,35,52,15,20,51,10,22,38,13.667090558392,37,-6.769689019724108,0.4704751149665991,-8.172826964947749,0,18,31,-5.27351517393803,56,9,2
12.58425355705225,44,12.968970706286616,14,29,4.410260356505577,7,10,8.576353469241758,7.722433132075892,54,5,23,54,14,18,51,38,49,26,13.667090558392,40,-4.836593719424108,0.3863872404249942,-8.61824746984775,0,18,42,-6.297136827638029,46,6,5
11.71260793305225,30,13.399165616400532,26,28,4.62518519672041,12,6,7.808137281786855,7.722433132075892,53,6,23,50,8,16,43,36,40,24,13.20837587630471,33,-5.783096669424109,0.3863872404249942,-9.48501019814775,0,18,58,-6.297136827638029,32,7,7
12.85049965745225,32,14.74860066303236,26,29,4.9021323570145015,19,3,9.61620760708666,7.032371545275892,53,3,26,40,15,17,38,28,41,28,12.860158681230637,33,-5.783096669424109,0.9040384703627125,-9.48501019814775,0,16,50,-5.399142209938029,39,7,11
12.85049965745225,38,14.830522463692756,21,29,4.861846668056191,14,16,9.79096993778034,7.032371545275892,51,2,23,40,15,21,37,20,40,25,12.860158681230637,43,-4.871389231624108,0.4997662209393673,-9.60779712694775,0,12,46,-5.81114195013803,37,7,12
12.07527374045225,33,14.187186019814732,28,29,4.739717160121405,23,15,9.5130971527786,5.370181493275892,37,7,15,47,16,30,35,21,33,23,12.087085679949208,39,-4.871389231624108,0.3693301668917561,-9.60779712694775,0,12,52,-6.29136715533803,28,6,14
11.11950440845225,16,13.172350011921116,24,28,4.55590604749114,25,6,8.420758059729346,5.167480870675892,45,7,5,42,13,56,34,21,35,29,11.19543282535574,34,-5.166423957824108,0.3693301668917561,-9.086015287147749,0,14,54,-7.585512385438029,27,11,13
12.03946205225225,16,12.791720661976552,29,28,4.4939314250969415,15,8,7.400120863632627,7.074723329975892,60,3,6,38,11,59,38,25,45,20,12.699351247504222,35,-5.368258259224108,0.5886747577118433,-9.132096256747747,0,13,52,-7.585512385438029,39,12,10
12.03946205225225,21,15.32616613100201,29,28,4.908372987334923,15,5,10.313140190018364,7.074723329975892,47,5,14,42,13,47,40,23,31,30,12.699351247504222,37,-5.368258259224108,0.6001559033121553,-10.50194438974775,0,10,54,-6.895702021038029,21,8,9
11.674300072552253,36,14.774220579233416,29,30,4.812568352504113,17,3,9.975795906066192,6.457338136175892,46,4,24,49,14,11,39,31,35,28,12.14777437940474,33,-5.757031157924108,0.7215141618350205,-10.50194438974775,0,8,45,-5.605312670238029,23,5,6
11.17686009105225,34,12.360223653525267,25,33,4.428462567509061,21,7,7.653821770169889,6.457338136175892,45,2,28,62,2,15,39,24,26,32,11.94447682262768,24,-6.197832648424108,0.5914985734413505,-11.91625499224775,0,8,28,-5.148182493938029,20,3,7
12.32826255595225,27,12.639621685469915,30,31,4.483984792485414,28,4,8.456528764635324,6.172924770475892,34,2,28,53,3,11,34,19,28,28,12.449184618676094,26,-6.197832648424108,0.5423208202406414,-11.91625499224775,0,6,28,-3.96121022543803,24,10,7
12.32826255595225,32,12.958477384538682,26,30,4.538651530552361,10,14,8.341347870671916,7.528583913475892,43,1,36,42,10,20,29,35,29,28,12.449184618676094,31,-4.7809196105241085,0.5423208202406414,-9.67659527284775,0,12,42,-5.31354487323803,37,9,8
12.80727517135225,36,13.498412763768297,30,30,4.606983626751908,17,4,8.603897580183084,7.528583913475892,46,1,26,38,7,29,33,27,39,40,12.88692788270657,31,-6.137902558924108,0.7052180181837547,-11.23090965434775,0,8,37,-5.31354487323803,28,10,5
12.80727517135225,35,13.589634883927207,23,28,4.577828633627822,30,4,9.231179899357617,4.728092873575892,48,14,18,35,6,42,32,15,16,28,12.88692788270657,29,-6.137902558924108,0.4266818897979326,-11.23090965434775,0,10,31,-5.450388374638029,24,20,10
11.77180602565225,44,12.052809875737726,28,31,4.306169649670688,28,3,7.841325355826139,4.527473377475892,44,7,18,38,9,29,33,14,25,26,11.79814049152084,33,-5.561643155524108,0.4266818897979326,-9.91726982674775,0,10,47,-6.59751879013803,35,6,6
11.77180602565225,34,11.725215612593098,23,30,4.297682000650102,21,5,7.2573133448021085,3.918799527675892,42,23,17,38,12,30,36,15,21,31,11.79814049152084,33,-5.267395669124109,0.485296280314302,-8.892925866647749,0,12,53,-6.59751879013803,42,11,10
11.268598241952253,31,11.187107630021307,21,30,4.224830443388544,23,10,6.6802552503096,4.128384820275892,41,17,12,44,15,39,32,16,21,30,11.36373106979694,31,-4.681674053824108,0.3382660071409324,-7.96005805764775,0,10,39,-6.29962287353803,65,17,9
10.58132414485225,40,10.152072298186097,22,30,4.042489150414567,20,12,5.799031307668438,4.128384820275892,43,12,13,39,12,34,32,20,16,32,10.764874777764408,39,-4.681674053824108,0.3382660071409324,-7.461359068147749,0,10,48,-6.29962287353803,53,9,15
11.47268760495225,25,12.273910230903684,26,30,4.385129636873743,24,7,7.616191425672391,4.057730890775892,40,14,10,41,7,40,33,12,18,28,11.53271443917846,40,-5.100663665524109,0.3515642086480884,-9.53222278204775,0,13,54,-7.53037179583803,30,14,11
