1,6,x_signal_changes,35,17,38,33,39,37,36,32,23,3,8,rv_mean,y_max,rv_rms,30,rv_signal_changes,2,x_max,0,9,27,y_signal_changes,y_min,4,18,16,11,rv_std,28
19,36,37,17,2,3,30,3,4,10,47,48,27,6,4.417759827160672,9.40067522326197,13.271984781227037,19,0,7,5.524448043275892,6,5,1,30,-4.446771679238029,51,4,4,44,2.650918269577427,4
16,26,38,11,3,2,24,4,6,13,46,51,24,8,4.683214548311753,9.40067522326197,14.722666583065596,21,0,9,4.936100739075892,8,4,2,28,-4.446771679238029,46,4,3,41,2.7409550635886624,5
18,25,38,14,4,3,28,4,4,11,62,55,24,9,4.390297990210695,9.01953269026197,13.13535943606016,20,0,14,4.647273363175891,11,5,3,28,-4.088111927538029,42,5,3,43,2.644995733318336,6
11,24,36,19,3,2,27,3,5,7,58,48,34,5,4.333084621594377,9.01953269026197,12.630004138856746,19,0,19,5.581958189875892,10,4,3,32,-4.69827987433803,43,5,3,21,2.546445746489762,5
12,28,40,26,5,2,34,5,7,10,45,42,27,6,4.598861338793198,8.258567725261969,13.997415942373358,19,0,19,5.581958189875892,9,2,3,31,-4.69827987433803,45,3,3,22,2.6163536212255325,5
15,22,40,17,3,3,34,5,6,12,49,50,17,10,4.356477728151697,8.66443515996197,12.850093976782548,19,0,18,4.841590557675891,4,5,1,28,-4.44963187553803,48,6,6,30,2.5925450348418853,3
17,20,36,24,3,3,39,5,6,10,48,47,26,8,4.460377144295131,8.66443515996197,13.228357414554209,17,0,15,4.945985108075892,6,6,2,30,-4.779158100238029,45,3,4,23,2.5615914115561176,0
19,23,38,28,4,2,43,7,9,13,43,39,50,4,4.83012248830034,8.68725363786197,15.292915878887216,16,0,18,6.917248328775892,8,1,4,34,-4.779158100238029,37,2,4,22,2.693649662779064,1
20,21,36,17,3,4,32,5,9,11,54,42,48,4,4.504684182706063,8.845158376761969,13.513866558830989,16,0,21,6.917248328775892,8,1,3,38,-4.489364849638029,37,5,4,34,2.59529449807527,3
7,34,34,11,4,3,28,2,3,12,60,48,18,7,4.059614580457775,8.845158376761969,10.662727488899108,17,0,19,4.955494778075892,3,5,4,40,-4.20544209643803,46,5,3,37,2.201132534840381,3
3,31,34,18,3,4,27,5,6,5,44,35,18,9,3.8735035980841706,9.20360608226197,10.321974091337516,27,0,11,4.458410982275892,1,4,3,40,-4.20544209643803,55,5,5,31,2.374851165505744,3
13,25,41,14,1,5,23,4,6,6,46,54,58,3,3.848901662594002,9.20360608226197,10.797040325227169,31,0,23,5.405577272375892,8,1,2,35,-4.513278056638029,37,6,5,22,2.6038503494124794,3
14,33,44,17,3,5,22,2,2,4,49,55,30,2,3.9160838753826046,8.32446976436197,10.726560720170967,26,0,19,5.405577272375892,16,1,1,31,-4.513278056638029,48,4,1,22,2.4733395483253564,3
10,43,39,18,4,5,22,2,2,9,49,41,17,6,4.186464343308883,7.52032137096197,11.90423081680541,28,0,17,5.473349278075892,2,1,2,33,-3.61484146023803,39,6,2,33,2.506387427317281,2
7,37,42,16,6,2,21,4,6,16,50,40,24,6,4.3954772648349225,7.889895363261971,13.050480314818428,29,0,14,5.473349278075892,2,3,4,33,-3.61484146023803,45,4,5,34,2.6039854538680056,4
12,38,38,15,5,2,29,5,6,13,51,50,30,5,4.362443330394711,8.68665811156197,12.73627301886287,21,0,9,5.126492130575892,8,3,5,30,-5.417949021538029,44,1,8,16,2.538037475456268,4
13,29,37,19,5,2,39,3,6,7,52,52,31,4,4.43722083440282,8.68665811156197,12.877389158007912,14,0,20,6.310468932575891,14,2,2,26,-5.417949021538029,48,1,4,16,2.4628945537227853,5
9,37,40,15,5,2,38,3,5,13,44,47,23,5,4.500756351312374,7.47261343666197,13.364950648182434,16,0,16,6.310468932575891,1,2,2,31,-5.29610169173803,41,2,8,16,2.5442274981782176,8
5,35,41,19,1,1,25,5,8,14,53,43,15,8,4.356496442379507,8.98240323146197,12.70070987960763,17,0,9,5.008377950375892,1,6,3,32,-5.37430598623803,38,9,4,17,2.534237263310195,4
13,39,42,17,2,3,24,2,7,11,51,48,28,3,4.304200479422551,8.98240323146197,12.405563232653543,17,0,18,5.008377950375892,7,6,1,30,-5.37430598623803,44,8,3,16,2.5069871755247912,3
13,38,39,22,6,3,26,3,5,7,52,47,26,5,4.36864372463018,8.75862164766197,12.64358933320293,17,0,15,4.766150763975892,9,7,3,31,-4.93331074393803,38,3,3,22,2.490407732411541,3
11,34,40,24,5,3,27,5,6,4,58,48,22,5,4.318479155338668,8.47883467746197,12.448786976304277,16,0,20,4.766150763975892,5,4,4,30,-4.602256841638029,36,3,3,22,2.499662324697869,3
15,25,45,19,3,3,28,3,5,7,48,56,23,8,3.930635309294396,8.47883467746197,10.786499394921194,22,0,9,3.948584069375892,9,2,3,28,-4.63623347193803,32,5,4,21,2.474490827457345,3
11,20,41,17,0,3,28,6,4,7,50,31,34,11,3.650079459036371,9.04358076866197,9.457728438904098,25,0,13,3.948584069375892,7,7,3,36,-4.63623347193803,36,8,3,21,2.3648206740742435,1
10,22,38,19,1,6,20,5,2,7,43,39,52,5,4.031902680935787,9.04358076866197,11.329262878884547,21,0,24,5.611253198175891,7,3,3,41,-4.564031765238029,39,8,1,16,2.530274002797307,2
13,24,38,24,5,5,17,6,4,9,37,40,45,5,4.298116496785454,9.83185594866197,12.714112419365009,30,0,27,6.671132772875891,5,2,3,34,-4.6938183334380295,39,1,3,23,2.6371233226360022,1
14,31,40,21,4,2,20,7,4,8,48,37,35,3,4.101902795032224,9.83185594866197,11.57782993322169,27,0,26,6.671132772875891,5,1,3,29,-4.6938183334380295,47,2,4,29,2.5159597227599284,1
18,21,42,11,3,4,22,2,4,3,44,45,31,4,4.160747763354614,9.187629424061967,12.021101750173004,22,0,12,4.883850037675892,10,3,3,31,-3.89857888953803,49,5,3,35,2.594297891547079,3
1,32,38,11,4,3,25,3,7,7,42,46,22,9,4.2736777724583295,9.187629424061967,13.051712174703647,27,0,11,5.084326531975892,4,5,4,28,-3.36553477893803,39,4,2,59,2.7998397537364355,4
0,35,36,5,3,2,21,2,8,7,37,43,25,3,3.5550333538648653,8.75424052056197,9.438606958229276,45,0,8,5.084326531975892,4,4,5,34,-2.52067344703803,48,2,3,79,2.497789376502125,3
26,22,29,6,3,5,28,3,6,4,46,77,28,4,2.891849688869147,8.75424052056197,5.950399563786865,39,0,28,4.038914660675892,13,2,2,44,-3.49072370773803,38,2,3,49,1.8809584005397768,6
26,21,29,7,4,4,26,2,5,7,49,73,31,4,3.0807189213411816,8.11800869266197,6.475175473715742,35,0,33,5.615851584475892,10,1,3,43,-3.49072370773803,39,4,2,36,1.8599789985701252,5
18,28,35,10,5,4,25,2,5,4,42,72,31,7,3.6502506800524346,8.74164224106197,8.561624082477618,25,0,27,5.615851584475892,3,1,5,34,-3.76246840083803,26,2,5,38,1.949081357391725,3
12,30,36,9,4,3,32,5,7,7,35,52,33,13,4.065669748231287,8.74164224106197,10.83204923603891,20,0,15,4.524164740875892,3,7,3,33,-3.76246840083803,33,5,6,44,2.2659276180837677,3
10,24,37,7,2,5,32,4,7,5,50,63,35,6,3.927590292630749,8.55884263486197,10.206768069280573,23,0,18,4.729625690375892,4,5,2,34,-4.08891814103803,35,3,7,36,2.233286956885268,5
12,38,36,13,4,6,30,6,4,4,58,66,30,3,3.676026360892607,7.90092055976197,8.639440855965464,5,0,17,4.729625690375892,5,3,3,27,-4.08891814103803,29,2,4,33,1.9405442293216597,2
16,33,34,19,3,6,38,4,6,3,54,57,32,6,3.6707910791706713,7.84318169926197,8.706020547864208,11,0,18,4.554675691975891,3,6,3,30,-4.1192470832380295,21,3,5,28,1.9842716418901527,1
19,17,33,14,5,6,30,4,6,6,52,45,23,6,3.969103983524196,8.69726602516197,10.177854447528324,24,0,31,4.788398926275892,19,5,3,31,-4.17512278213803,32,3,3,25,2.145209188640824,4
22,19,38,11,5,5,31,3,4,11,44,54,33,7,3.862800054141078,8.69726602516197,9.96921812847956,29,0,26,5.481021917575892,13,4,3,34,-4.17512278213803,37,3,1,22,2.2399133908896585,3
23,19,38,11,3,4,34,3,2,6,44,69,31,6,3.5164969089693923,8.191598922161969,8.369821836380124,22,0,24,5.481021917575892,11,4,1,38,-4.290031251238029,49,4,4,20,2.091385464702521,1
16,23,38,15,1,4,36,5,5,5,46,51,29,1,3.862087994099401,8.191598922161969,9.83751928657015,14,0,17,5.350618912675892,7,4,2,34,-5.6474808434380295,51,5,8,12,2.1815854095069414,1
15,25,39,15,2,6,36,1,4,9,47,57,47,4,4.21654437476587,8.44140392576197,11.583212113259435,20,0,28,7.156746813475892,7,1,4,31,-5.6474808434380295,37,6,8,18,2.3210294617150318,2
18,20,35,19,3,5,26,1,3,9,54,61,46,3,3.8156458937727176,8.44140392576197,10.01840351266144,20,0,33,7.156746813475892,2,1,2,35,-4.648792074338029,41,6,3,14,2.3404387278154224,2
14,24,34,25,3,5,35,5,3,13,38,40,27,10,3.7423109403096544,8.74101183906197,9.438204723241732,13,0,35,4.733301745975892,12,4,5,42,-3.69788662803803,30,4,1,32,2.2071516197402827,2
17,20,36,24,2,3,27,6,6,6,42,53,39,10,4.171879838262357,8.74101183906197,11.712191762146391,24,0,36,5.320248696175892,7,5,2,45,-4.309436313338029,30,3,5,25,2.45352850796416,4
18,23,34,19,1,2,18,9,5,5,44,60,51,4,4.000946899182466,9.25292928066197,11.251073794765096,29,0,27,5.320248696175892,7,4,2,44,-4.529357099238029,29,8,2,18,2.5484449178768576,1
10,22,32,24,4,4,18,5,4,4,51,53,29,16,3.970571481120997,9.63559892086197,10.761572533705785,21,0,16,4.078300719975892,4,4,2,38,-4.616941777338029,46,3,2,22,2.399522281771973,3
12,31,33,24,4,6,26,4,5,7,54,54,33,18,4.172643950417061,9.63559892086197,11.641105109914417,14,0,17,4.078300719975892,4,4,4,29,-4.616941777338029,33,6,3,24,2.423066792904549,5
16,28,33,21,3,4,31,1,8,7,47,44,29,8,4.113514601915342,9.64918729906197,11.509234887456218,20,0,27,4.445214910875892,11,4,5,28,-4.48101612193803,21,5,4,27,2.469305042869697,5
19,26,36,14,5,1,17,2,9,4,51,30,27,13,4.137664195606054,9.64918729906197,11.437733595384673,39,0,26,4.445214910875892,12,8,3,38,-4.406665382238029,24,1,2,30,2.399000249097325,5
25,15,36,21,4,2,28,5,6,9,38,38,42,1,4.238497301750502,9.20930979676197,11.961156326481689,27,0,39,6.529551032675892,8,1,4,43,-4.415619842838029,31,5,4,26,2.4407894780208146,4
4,15,37,26,6,1,32,5,6,6,45,58,51,6,4.021469648165746,7.501110400761971,11.039643241456831,16,0,21,6.529551032675892,2,1,3,42,-4.83259800663803,44,3,6,16,2.4304461219692404,5
2,36,40,17,1,0,35,3,7,7,49,61,34,9,3.7531370999852327,8.66758053866197,9.538831883175751,16,0,18,5.483924634575891,2,4,3,43,-4.83259800663803,48,3,8,13,2.2341946367910603,5
14,20,35,17,0,6,29,5,2,7,52,46,48,3,3.926312356051149,8.66758053866197,10.231844626685463,19,0,30,5.483924634575891,10,2,1,40,-4.5549803640380295,24,3,6,20,2.2467221759912794,4
11,23,37,19,4,5,26,5,4,9,48,59,43,7,4.0300864512262295,9.07458140886197,10.890976949841091,20,0,25,4.797518553875892,9,5,2,32,-4.40530298783803,28,4,3,22,2.35379631559847,4
11,20,38,15,7,2,21,5,5,10,33,65,44,8,3.743161466956429,9.07458140886197,10.045248951406265,29,0,24,4.800766520375892,10,6,3,34,-3.7117413997380297,36,3,0,41,2.46561151341916,3
17,14,35,9,5,4,20,4,5,5,32,62,43,4,3.751928783816366,9.844314729761969,10.018924257001796,34,0,34,6.459510566775892,7,1,2,40,-4.3973894506380296,44,1,2,23,2.441491125352261,1
15,13,33,15,3,5,24,4,4,5,38,48,47,2,3.960482725254097,9.844314729761969,10.724951033811228,27,0,39,6.459510566775892,5,1,3,39,-4.3973894506380296,42,2,6,28,2.40093287090379,2
11,27,36,14,4,5,31,1,3,8,39,58,44,5,3.934535153823959,9.35796735546197,10.7158354144279,30,0,16,4.723779995175891,5,5,3,36,-4.0283997634380295,40,3,5,28,2.4394884611695327,4
16,28,34,11,3,4,31,1,4,7,33,64,35,5,3.685509339489401,9.35796735546197,9.7727898170546,34,0,23,4.810295831875892,10,7,2,33,-4.0283997634380295,41,5,2,33,2.4418436769469016,3
11,35,33,19,3,5,21,4,4,10,43,59,37,6,3.77517155172822,8.60270698736197,9.895460459578944,20,0,18,4.810295831875892,2,5,3,31,-4.5238582226380295,28,4,1,21,2.353508163185292,5
15,25,38,26,4,2,19,5,6,7,46,54,48,4,4.079822249772303,8.38618632866197,11.239048134588462,19,0,13,5.325656927175892,2,2,5,31,-4.5238582226380295,35,5,6,26,2.415190816362087,4
