x_min,22,rv_signal_changes,y_min,23,y_std,32,28,rv_min,z_std,z_rms,11,15,29,35,3,0,8,y_signal_changes,34,38,39,33,y_max,x_std,2,36,18,x_rms,z_mean,27,7
-3.400236341424108,15,0,-2.1879844078380297,33,0.7240409510250794,25,13,0.3499021561209536,2.8151076987854804,3.963238217091105,5,52,3,28,28,12,19,42,36,4,3,32,2.32880200716197,1.7911241598845058,19,27,1,1.604405741441875,0.0405595663307503,21,11
-5.322103395024108,12,0,-2.66356469743803,41,0.7913199732795851,27,13,0.3499021561209536,2.7959248202302724,3.909197854227628,1,54,4,28,33,2,22,43,31,4,2,38,1.95371828886197,1.992214538800703,20,26,9,1.9869239215252168,0.0346425760527503,15,21
-5.322103395024108,16,0,-2.66356469743803,38,1.0111681495017748,35,5,0.4313927445333229,2.885366843857322,4.16300989681535,11,35,4,38,28,3,16,40,31,3,1,42,2.78286392566197,2.074104940663425,23,14,4,2.1510740780635897,-0.0260378570457496,16,22
-4.9996453067241085,15,0,-2.31530457293803,39,1.0216804549674443,31,4,0.746132957819967,2.950420731608627,4.352868268535256,10,33,5,38,31,4,15,43,36,5,1,38,2.78286392566197,2.067549640004613,23,5,3,2.138296332819254,0.0274598536872504,18,21
-4.9996453067241085,35,0,-2.03602519463803,35,0.9602817351582326,24,6,0.7605116950529902,2.8871116636979943,4.167768545988445,20,40,5,39,36,2,12,42,39,1,6,34,2.66816189476197,2.0091840261970386,15,17,2,2.0193409761681838,0.0111055533807503,14,26
-4.623678165824108,26,0,-2.03602519463803,47,0.8979528991685257,26,5,0.4435502902913065,2.857240911880358,4.084261918333694,20,39,5,41,21,7,12,43,39,3,4,41,1.94728486656197,2.150785676798567,32,12,15,2.313106200105708,-0.0685434763087496,12,20
-5.052379140424108,11,0,-2.15246790363803,47,0.8834151850878037,25,8,0.134197572947293,2.87086265851585,4.122593949686219,12,34,5,32,29,5,12,44,39,7,2,45,2.16907708466197,2.229627066232459,32,25,10,2.489439153864035,0.0577537471662503,13,20
-5.052379140424108,16,0,-2.20083923963803,40,0.9221569404863404,34,10,0.134197572947293,2.902429635223566,4.212063919827798,12,37,7,39,29,6,16,40,40,6,2,36,2.16907708466197,2.148296203180129,28,17,10,2.307711184683745,0.0054819915717503,10,17
-4.629765362724108,20,0,-2.20083923963803,45,0.8895964975124641,30,8,0.5907803069343192,2.8863919668901312,4.166045640857778,13,37,5,36,23,9,13,38,40,3,3,37,1.90596230506197,2.194494393374969,36,11,13,2.408823328587555,-0.0288564583357495,15,17
-4.629765362724108,16,0,-2.09951515273803,46,0.8568499363451182,21,5,0.2135183294313822,2.8692587394041373,4.116758290869232,13,31,5,50,19,7,12,40,38,3,2,37,1.74934273306197,2.191289128686528,33,11,22,2.401232385485189,0.0295104742667504,24,17
-4.973448769524108,16,0,-1.99194400903803,36,0.8477422326980228,24,12,0.2135183294313822,2.544313908790575,3.237026778552881,7,41,3,35,33,5,11,39,38,4,2,38,2.03894361056197,2.031944395376273,22,19,9,2.06555061902816,-0.0228098803282496,16,16
-4.973448769524108,20,0,-2.24771292563803,45,0.9198563287347652,29,7,0.5959795391977657,2.3981450536443583,2.8756075011908364,13,34,3,27,38,8,12,40,37,1,3,42,2.11715338126197,2.009750680159517,12,10,11,2.0227035945144363,-0.0107379729357496,14,22
-4.472459551624108,19,0,-2.24771292563803,47,0.9860469472932412,35,8,0.7904624462595814,2.5431538113259515,3.2339498748052926,21,35,6,27,28,8,17,39,40,2,5,36,2.33423724886197,2.056316103748692,34,9,6,2.115734600621733,0.0163841859387503,14,14
-5.247990668624109,24,0,-3.68690488923803,48,1.2071721416242187,38,10,0.9554987312014548,2.725565013885107,3.71811561964548,4,58,3,15,37,5,16,37,45,6,2,31,4.212024174561971,2.09147254621528,13,8,1,2.188886930757412,0.0867559472107504,9,21
-5.247990668624109,25,0,-3.68690488923803,40,1.3141953683563314,28,12,0.3905046683208125,2.828519569617084,4.00077763964798,9,51,2,35,38,4,13,37,32,4,2,45,4.212024174561971,2.0649647417510177,14,12,1,2.132134435647524,-0.0321297928587496,8,26
-5.798920969524108,17,0,-3.2930894990380297,34,1.1474092441868595,25,9,0.3905046683208125,2.746542302034908,3.772572771469557,8,36,4,34,40,3,12,39,29,3,3,40,2.74004281366197,2.113976723195856,11,22,13,2.2344571384561305,-0.0406315895812495,12,28
-5.798920969524108,16,0,-2.50894712953803,43,1.0596679338561432,27,9,0.5853995519665798,2.7948273675628976,3.905618520895459,16,33,6,35,29,5,14,42,33,3,4,41,2.74004281366197,2.2304805183379344,14,17,8,2.490079734614936,0.0133051611172504,11,20
-5.043965461824108,14,0,-2.92405376983803,43,1.0522415167778545,33,7,0.5853995519665798,2.7700935641156588,3.838099721180194,3,39,6,33,26,5,12,42,34,2,4,41,2.2918418110619703,2.202807169591051,28,16,17,2.4275563943173912,-0.0527360256882496,11,18
-5.577096268524108,16,0,-2.95355341203803,27,1.1416453311987618,32,7,0.9011954400421336,2.689108344384983,3.6159836296358026,7,44,6,21,32,6,19,39,33,4,5,38,2.63726443966197,2.33345363690517,17,18,8,2.723491042580464,0.0257598802532503,16,21
-6.571952058824109,15,0,-3.5506378552380298,36,1.3805476164449844,34,11,0.9011954400421336,2.839088127023077,4.034061262100287,9,39,4,18,21,3,27,35,33,7,3,41,2.73868207176197,2.2970437068821297,7,20,8,2.63824973152816,0.0877560892312504,11,28
-6.571952058824109,15,0,-3.5506378552380298,46,1.4851301024887809,38,9,0.899835172741232,3.006102824277983,4.518570889331791,10,30,6,23,10,1,27,33,38,4,5,35,2.73868207176197,2.1082667167985667,5,19,12,2.2225163051270367,-0.0220814069187496,10,33
-5.250542964724108,19,0,-3.14506148723803,49,1.3930592974334548,36,7,0.899835172741232,2.8663442450451133,4.110439713838674,19,19,5,21,29,5,22,27,46,4,4,37,2.41497119296197,2.010439862581077,6,10,35,2.021133443972472,-0.0703569227162496,8,23
-4.568043677024108,26,0,-3.14506148723803,42,1.3790367327458404,33,8,0.8083870458489895,2.753476405986889,3.791433111891369,11,19,5,24,29,6,15,28,50,6,3,42,2.55831132106197,1.8500875520120048,12,6,18,1.713693647779217,0.0351269904242504,11,26
-4.7626609386241086,43,0,-3.55841536653803,36,1.4408608704354964,56,6,0.8083870458489895,2.940196981903427,4.322865418846803,10,23,2,15,25,5,23,32,19,1,2,55,2.55831132106197,1.918179650243394,16,3,26,1.8397489016548825,-0.0311856585562496,9,23
-5.404927030424108,42,0,-3.59328840363803,46,1.431778517336186,46,3,1.0130257528881994,3.0472112893321097,4.643320911058366,10,24,4,17,27,7,25,33,31,1,3,35,2.52523588366197,2.184648823083422,15,4,24,2.3881899743015524,-0.0338405124617496,7,28
