z_min,rv_mean,y_rms,z_signal_changes,rv_min,10,rv_max,14,20,6,y_max,9,x_rms,32,21,3,8,5,z_rms,rv_signal_changes,34,17,33,18,31,7,22,25,35,37,28,39
-5.91974148864775,2.534956698010543,0.9136883876469616,23,0.1161969914707071,1,9.796882484787217,73,5,14,6.087516748561971,2,1.5924054634053897,34,8,18,2,40,2.6715538993946835,0,13,4,28,2,53,4,30,22,10,2,2,2
-6.348509052647749,3.781674250465258,2.2592283261774595,28,0.3458046524574115,1,10.665217328747332,22,9,53,6.087516748561971,3,3.8180872231981966,44,17,15,6,49,3.208468188874792,0,20,24,42,7,43,34,21,28,13,8,1,4
-6.348509052647749,3.9048013665904047,2.3026834950353816,31,0.632210072376656,1,10.665217328747332,21,13,35,5.362038898461971,9,4.333180665618684,44,16,8,28,34,3.305568552746742,0,19,55,28,10,49,49,16,30,17,6,1,4
-6.319435060547749,3.225487118579734,1.3499896651877117,30,0.4420639025384029,4,9.09193776944863,28,8,46,3.70077982386197,11,3.040727589114251,36,9,8,18,41,2.53803719605844,0,17,28,32,14,48,39,9,72,14,7,7,2
-6.5255993812477495,3.0799746380662287,0.9700968741137396,30,0.2764151413832412,2,10.819756380267666,33,3,74,3.32510049436197,4,3.0980461904720467,42,15,6,13,34,2.4349122436888573,0,19,22,34,12,46,41,10,43,14,4,2,1
-6.5255993812477495,3.678082860837922,1.133458734721706,34,0.2764151413832412,5,10.819756380267666,60,6,64,4.825882547361971,7,4.371866960977005,43,19,10,12,27,3.331196091871304,0,22,13,37,3,42,46,13,50,16,8,4,1
-6.728008288247749,4.417394085687657,1.4342582301547873,36,0.8085857640674556,8,12.575158735289488,32,18,53,4.825882547361971,11,5.954003025284533,38,17,15,10,26,5.005343027633091,0,27,18,31,6,39,41,14,10,19,7,5,1
-7.63378942994775,4.592296569102327,1.4536959613335108,38,0.7361513239168633,5,12.575158735289488,22,10,46,3.94820864666197,5,6.412384048854973,39,22,18,13,43,5.265055754370761,0,28,18,35,12,41,23,11,18,17,7,4,1
-7.63378942994775,4.420602265059176,1.8612534950362696,41,0.4709948543373545,5,11.679530630359134,31,6,44,4.21605699056197,7,5.772241160135268,45,19,22,10,46,4.380751012028093,0,25,23,41,12,30,22,14,53,21,7,5,1
-6.79996552954775,3.938635711685754,1.8662373097490812,39,0.4709948543373545,5,11.679530630359134,26,8,41,4.21605699056197,5,4.349185331214229,41,20,22,8,47,3.566274962301163,0,24,21,39,13,40,24,14,38,18,3,2,1
-6.30900984764775,3.597612755006028,1.4301690555150892,37,0.6971212305100349,10,7.84422782216226,19,5,38,3.90968485856197,14,3.2655534041336507,39,18,20,15,33,3.066789463150126,0,26,10,28,15,29,42,10,56,22,12,6,3
-7.44011636104775,4.119427344509321,1.5304578763711296,37,0.243033734966881,8,10.14258181314198,22,8,44,4.16734657126197,14,4.44652594222451,35,18,16,14,30,4.340929020513178,0,29,13,37,10,35,40,12,54,28,8,4,1
-7.44011636104775,4.412717248802255,1.8215396481103905,39,0.243033734966881,7,10.14258181314198,34,8,51,5.458471521461971,7,5.506282205390188,35,19,19,18,35,4.462809888385429,0,28,10,32,9,28,26,11,59,30,15,5,2
-7.85405684354775,4.67585134048315,2.552199430063492,38,0.786179078402864,3,12.4653740839182,38,6,47,6.872965547461971,7,6.280294173395543,42,13,16,19,31,4.9436091677491305,0,29,10,29,4,46,32,19,47,18,8,1,3
-8.89912050644775,4.689564463696437,2.2899490133119,37,0.5679509588947818,2,12.4653740839182,46,6,48,6.872965547461971,4,5.345274768876051,49,17,8,18,33,6.689546253393473,0,20,6,30,3,37,40,15,24,20,9,5,4
-9.07304962174775,4.938438379416771,1.9936509252350647,34,0.5679509588947818,2,13.853543492074095,31,11,44,4.354426331161971,8,5.137211886797206,39,21,8,23,36,8.482622476353832,0,24,31,37,18,44,40,15,16,18,5,5,2
-9.07304962174775,4.829765416806127,2.418371512152525,32,0.8442877515003991,4,13.853543492074095,38,7,43,4.9160222871619705,7,4.751899315753339,39,22,10,21,43,7.447419861036575,0,31,31,35,16,47,43,16,19,12,5,4,2
-10.981075600547747,4.800398534698013,2.3727056742124453,33,0.8442877515003991,3,14.56897305075613,51,1,47,5.6053507837619705,4,4.976431841876815,50,12,12,20,45,7.147975926959299,0,25,25,36,9,47,44,24,34,6,3,6,2
-10.981075600547747,5.401054293938659,2.290630785729853,35,0.862092625143934,4,14.56897305075613,47,1,39,5.6053507837619705,10,6.510957535803926,39,23,13,20,34,9.431007048146396,0,32,25,34,8,44,45,19,34,13,3,6,3
-8.38986047664775,5.032935427880468,2.08544828284261,35,0.393611029058,3,13.548118670242214,29,18,41,4.53675279786197,9,5.116406212676349,50,16,18,12,38,8.659954503424922,0,34,20,31,17,35,34,21,13,19,5,4,4
-7.86000936144775,4.454901507483857,1.8382147662963015,35,0.393611029058,2,12.691726203980304,33,9,38,4.2128064625619706,12,3.973423980534693,52,21,18,21,34,6.499493282073812,0,35,28,34,16,40,45,19,10,14,5,4,2
-8.304720460947749,4.394149598767402,1.6410507564976382,38,0.5110312155742159,8,11.279370866903507,26,4,48,4.2128064625619706,6,4.236317516896983,37,20,16,15,30,6.007050201072524,0,29,26,39,12,38,25,15,46,22,4,6,2
-8.304720460947749,4.430990249354881,1.5303368781826503,40,0.5720489589720384,13,11.422085451839845,25,8,44,3.72381782926197,8,4.64856875078988,31,18,15,17,30,6.277012809539546,0,23,32,38,15,43,40,11,46,20,7,8,3
-7.716622492747749,4.488923691217495,1.7781397455248027,39,0.6507399070295715,2,11.422085451839845,36,19,42,3.94168161656197,10,4.9878116051359145,38,11,15,20,30,5.848839675651893,0,25,40,33,19,35,44,12,37,20,9,6,2
-7.716622492747749,4.327070681378157,1.6983286349897082,39,0.5925787150973123,2,10.441789375180903,41,12,43,3.94168161656197,13,4.796905457441352,37,13,17,18,32,5.124849454929676,0,25,38,30,20,31,38,11,51,26,12,8,2
