y_max,z_max,38,rv_std,33,36,19,17,13,6,z_signal_changes,rv_rms,11,8,23,4,39,x_min,25,31,9,14,35,34,16,x_rms,x_signal_changes,27,29,28,15,y_rms
4.764685275561971,7.18071981995225,3,1.6405654220732584,28,6,2,3,13,52,34,3.939266546766005,4,10,50,22,1,-6.370326105724108,25,51,1,52,10,15,27,1.0356946600631505,30,5,5,1,88,0.8310515289750535
2.56932103376197,7.99146953735225,5,1.6535120914621844,36,6,13,45,6,45,41,5.823287770654146,1,4,26,48,6,-6.370326105724108,35,39,2,18,20,24,47,1.4511715790840884,30,6,6,3,35,0.912420307029542
2.56932103376197,9.468023115152253,4,1.6044453263634006,36,5,16,48,7,24,38,6.809752991738634,1,4,36,38,1,-4.242882252824108,34,42,3,22,9,22,33,1.6655853425170946,30,4,3,4,32,1.0259866541542784
2.4727406853619702,9.468023115152253,3,1.558732694800179,31,3,12,55,7,25,29,5.827481154701908,1,5,54,41,1,-3.915679444324108,24,53,1,16,16,17,36,1.2417837153165583,35,6,4,1,29,0.8546201128439619
2.4727406853619702,7.99951929215225,3,1.501637225384119,39,9,6,57,2,35,33,4.798296941668989,4,6,41,33,2,-2.9915424054241084,26,41,2,11,15,13,55,0.8111534199158177,33,7,4,4,31,0.739205756641972
2.06657624716197,8.05848864975225,5,1.4676750382417176,39,6,12,56,4,39,36,4.976501313018205,2,7,44,40,1,-3.869838460724108,30,34,2,9,19,22,49,1.0581836341351945,27,5,4,5,19,0.7453348748312252
2.06657624716197,8.46568487265225,2,1.5217651680078104,48,9,21,56,5,25,33,5.950806805051757,2,12,45,45,3,-3.869838460724108,25,28,3,9,16,26,40,1.2700491967145648,34,4,5,4,16,0.8974404783234405
1.89579302396197,9.16791667705225,4,1.5924636922221096,40,7,35,47,4,31,31,6.398949530857442,4,21,34,30,2,-3.5704704105241083,24,29,9,10,17,21,24,1.1395972987398288,35,3,3,7,15,0.9318214487422216
2.1061427791619702,9.16791667705225,2,1.7188980096857438,32,9,24,65,5,37,29,6.654430959396048,1,14,28,31,2,-3.369336099724108,30,29,7,8,15,23,37,0.8483644744831047,31,6,2,9,13,0.938296767092382
2.1061427791619702,8.368103965152251,7,1.686368296629112,30,12,27,67,2,26,28,6.454703952329931,0,13,26,46,1,-2.645289030524108,51,18,5,8,19,18,38,0.7347448180482408,38,6,7,6,14,0.9671304437039338
2.3831466314619703,8.718805214652251,1,1.6366603303510188,28,13,11,56,4,31,27,6.007310321452917,2,13,27,31,3,-2.590521092724108,43,21,14,8,17,13,55,0.7881948627700356,35,3,3,7,18,0.8246157709835734
2.3831466314619703,8.718805214652251,2,1.684601524947192,44,15,15,59,4,36,30,6.235086417880399,3,10,30,27,4,-2.9074095444241084,35,25,7,6,18,11,58,0.8135068482379073,34,5,5,4,14,0.8165703955484618
2.17318917326197,8.40111785075225,2,1.652792651734679,44,17,21,62,4,25,33,6.123767416303001,4,9,29,49,3,-2.9074095444241084,39,29,2,5,20,11,37,0.6944600374296529,38,7,4,7,13,0.897272346634806
3.56619945596197,8.02929754915225,2,1.6637381575939068,22,13,2,55,6,41,33,5.857095723807547,5,15,27,28,4,-3.929851453824108,43,41,3,16,15,17,72,0.8867567972887627,32,5,4,8,29,1.080361354910487
3.56619945596197,7.20589969465225,2,1.5405261427958663,31,7,2,39,8,41,33,5.108666954348852,2,14,20,36,3,-3.929851453824108,56,33,3,17,15,22,68,1.0039806753063274,30,5,6,5,45,0.9680812574109878
2.43164878046197,6.84714127915225,7,1.4338669458427775,38,15,6,25,12,25,34,4.848428810127927,4,3,24,39,4,-3.4118879609241084,48,25,5,27,15,28,56,1.0229103296571636,30,5,7,6,43,0.5415205541155838
2.43164878046197,6.84714127915225,11,1.4762159091838356,40,18,5,23,12,34,30,5.448056495489985,6,4,20,50,3,-3.581289713524108,58,17,4,17,19,32,50,1.2082092513561635,33,10,5,8,64,0.4787959546306166
2.39594240016197,7.98663577385225,1,1.5690144349283932,38,20,6,45,11,27,28,6.114457479837075,2,4,20,50,1,-3.726957029124108,56,21,4,12,15,24,66,1.1196164091453378,39,5,2,7,35,0.5264639188004032
2.50222682956197,7.98663577385225,4,1.6248555839391017,31,18,8,35,11,17,31,6.712133508705994,4,8,24,50,2,-3.726957029124108,52,21,5,22,15,21,50,1.1009689467058703,41,4,6,7,42,0.7172159375624421
2.50222682956197,7.559236898252251,5,1.5951830749845473,49,12,5,36,14,19,30,6.352906270103667,8,8,25,45,5,-3.529967744424108,55,23,4,29,13,32,41,1.1473222522810942,33,4,8,5,34,0.7718977816855788
2.0560440248619702,8.210374018352251,3,1.6082782690433393,54,12,16,44,8,27,29,6.32581406155601,4,5,29,43,4,-3.680457806624109,52,30,2,17,14,15,39,1.1748817271747174,29,2,5,6,28,0.7310855751092126
2.15358505806197,8.210374018352251,1,1.6257819577923267,39,12,15,53,6,27,35,6.426600576807458,3,5,23,47,4,-3.680457806624109,44,28,3,9,18,23,42,1.1399458024168545,35,2,4,7,17,0.776141240226164
2.1600938536619703,7.967344302452251,5,1.638246786912369,35,17,9,58,7,7,35,6.281339914742753,1,2,20,32,2,-3.751058925624109,43,31,1,9,17,23,45,1.2721372239744335,36,5,2,10,25,0.6519142072509335
2.5634306165619702,7.63842085075225,4,1.6051173361335151,43,17,6,43,11,9,32,6.358972516293879,4,4,21,45,3,-4.533357303624109,54,30,2,23,17,25,54,1.5961237303346416,34,7,5,6,35,0.7429817367635705
2.5634306165619702,8.69857912095225,1,1.6080758475757635,39,12,10,57,4,35,32,6.976481715343335,4,4,33,46,5,-5.428500129524108,33,27,1,13,27,33,47,2.040788061195967,31,6,5,1,23,0.9199870654927826
1.9241195184619704,8.69857912095225,2,1.6070837259072357,43,9,32,58,5,42,36,6.997331714854546,2,2,33,31,4,-5.428500129524108,28,30,2,2,28,29,34,1.9176892632476703,29,5,6,2,17,0.7213026238040794
