32,rv_signal_changes,6,z_signal_changes,28,16,33,4,31,30,25,37,27,rv_max,2,29,36,22,17,14,0,3,5,21,38,18,y_signal_changes,19,23,10,15,y_rms
25,0,17,45,1,21,20,53,37,73,19,5,11,5.971622484931258,4,4,5,18,6,46,4,16,90,7,2,2,42,4,28,2,90,0.3009991606955147
29,0,43,33,6,12,46,22,25,35,25,4,6,7.453340701430731,8,1,12,39,8,74,1,18,38,14,2,0,43,3,36,4,30,0.7300662900671522
45,0,27,30,5,10,46,22,17,21,24,3,5,7.827183257957706,12,3,10,34,6,48,3,18,15,21,2,4,32,3,39,2,21,0.8684846937998284
41,0,24,29,7,8,50,14,13,22,42,8,1,7.972805466824132,9,4,4,35,4,22,2,15,23,14,3,4,33,3,24,15,2,0.8045654186928937
53,0,24,31,6,3,44,14,19,17,41,5,3,7.972805466824132,5,5,8,38,6,10,2,15,24,10,3,3,34,3,24,14,4,0.9305855231633704
52,0,32,31,3,4,43,19,33,19,11,4,3,8.722240380179983,7,5,6,28,3,14,2,13,18,28,4,6,28,3,60,22,1,1.0316189449554771
58,0,31,31,6,4,39,20,27,20,17,4,2,8.722240380179983,9,3,4,25,4,12,1,7,21,27,3,5,30,4,64,13,5,0.9434756205033812
57,0,28,39,5,3,40,17,25,19,17,2,1,8.364630248497768,10,5,4,23,3,7,3,20,16,22,4,5,30,3,64,24,4,1.0383535693678023
51,0,41,35,7,4,44,20,25,23,15,3,1,8.364630248497768,13,3,6,25,3,6,2,18,22,27,4,4,29,1,61,29,6,1.1714901672280629
47,0,41,30,2,2,43,26,26,19,11,3,3,7.908051130754088,14,7,5,22,3,5,3,13,18,31,3,4,25,2,55,26,8,1.1649409093363488
42,0,27,31,4,3,41,17,28,18,17,6,2,7.916452385290324,9,8,9,21,4,2,2,13,28,27,2,5,25,3,50,37,3,1.190433234744074
46,0,38,27,3,5,38,23,41,18,33,4,6,8.626616139807279,8,5,12,26,4,6,4,13,34,29,2,2,29,4,41,39,2,1.206478014012926
41,0,48,30,1,4,38,22,47,27,24,2,7,8.626616139807279,4,3,7,23,4,17,2,15,49,26,1,2,35,2,52,25,8,0.9780534964504458
34,0,45,31,6,8,39,23,31,27,15,4,3,7.581393963488567,10,2,6,23,6,20,2,12,41,29,2,7,30,8,54,14,12,0.9877462550574362
34,0,48,26,6,6,41,17,23,20,16,5,2,7.581393963488567,13,3,9,24,5,28,5,17,24,36,2,7,29,13,44,10,11,1.1808172981298295
38,0,47,28,6,7,49,21,30,18,5,2,2,8.334469942667853,15,2,4,22,6,21,3,17,29,30,4,5,31,5,58,17,9,1.0481931907035336
41,0,34,31,5,3,59,19,32,14,9,1,3,8.334469942667853,12,2,5,29,11,14,6,19,36,26,4,5,24,2,63,12,9,0.9293753639135144
44,0,28,35,4,7,60,22,32,10,8,2,5,8.103348112183783,15,2,5,31,7,13,7,17,28,27,4,4,26,4,64,19,6,1.0582022425849984
42,0,27,37,4,6,48,21,24,9,14,7,3,7.344410188088829,15,5,10,23,4,17,4,19,27,29,0,3,24,8,61,19,7,1.1866306132558304
44,0,36,33,4,5,54,17,16,14,15,6,3,7.344410188088829,15,4,11,28,4,16,2,18,21,32,3,4,25,7,57,20,4,1.1340559762046742
55,0,19,32,3,5,47,16,21,11,14,3,3,7.498384274794343,11,5,9,31,2,11,3,21,17,33,3,9,23,2,52,12,3,1.0440992127359152
49,0,28,33,5,6,42,18,35,11,15,5,3,7.498384274794343,10,5,6,40,4,10,5,18,23,24,2,6,21,1,47,14,3,0.9305674735353046
45,0,28,31,3,6,52,20,32,16,9,3,4,7.814792489790268,10,5,7,45,10,14,2,16,25,30,2,6,26,2,53,14,3,0.8937848114734385
50,0,26,32,4,6,52,17,26,14,6,1,4,7.814792489790268,11,5,6,48,7,15,3,17,26,35,3,10,29,4,44,12,7,0.9311785352498596
45,0,56,33,4,6,47,20,32,18,17,2,4,8.198082020372789,5,5,8,30,11,15,7,24,21,25,2,8,22,3,58,19,10,1.2671746877917514
42,0,51,35,3,5,46,18,32,15,12,2,3,8.277091442569231,10,6,7,28,8,17,6,18,24,29,3,9,22,4,59,18,7,1.275824959625811
45,0,37,33,5,3,54,21,33,16,4,4,1,8.277091442569231,13,4,2,39,8,17,3,13,17,33,4,6,29,6,54,18,9,0.9531821513701364
46,0,41,29,3,7,41,22,23,21,14,2,1,7.675835629329737,12,6,4,29,9,16,3,17,16,26,5,6,23,2,60,16,4,0.9899824410128184
51,0,43,30,4,6,46,14,33,21,7,4,3,8.493584275691589,15,4,2,37,7,17,10,17,32,31,3,5,21,4,61,17,4,0.9777516050197456
53,0,39,31,3,7,37,21,28,25,4,2,4,8.493584275691589,13,4,3,37,6,19,2,15,20,29,5,9,28,4,52,8,11,1.0151897148566085
43,0,32,33,4,12,36,19,29,16,66,3,6,7.880569459677524,11,7,7,17,6,24,2,21,23,0,2,7,34,3,32,9,10,0.9277748294660974
42,0,30,38,4,12,51,19,32,14,47,1,3,8.498747792599197,17,7,4,21,5,24,9,21,27,0,7,6,34,2,35,5,8,0.8341409298631937
54,0,37,33,3,4,51,18,24,15,9,2,3,8.498747792599197,21,4,5,35,7,21,13,15,20,31,3,5,26,4,64,9,9,0.9544684084638884
53,0,32,27,2,5,44,14,18,17,18,3,3,8.089290209156506,7,5,3,38,5,17,6,23,19,27,4,6,26,5,50,13,6,0.9753660416029724
43,0,33,31,2,7,61,20,13,14,19,4,4,7.701969875639146,11,6,6,33,3,10,3,17,15,29,1,5,30,8,52,17,4,1.0050929923004663
43,0,35,32,3,7,59,16,17,13,17,2,3,8.023723552822029,16,6,5,32,8,23,4,15,15,38,4,4,29,6,48,5,5,1.0703247818802135
46,0,33,32,4,7,51,18,19,18,17,2,4,8.023723552822029,10,4,7,34,8,28,4,13,12,30,4,6,30,2,47,4,6,0.943059135622171
30,0,39,35,4,6,49,24,21,15,28,5,2,7.21431647524491,13,5,8,32,7,24,2,16,16,25,4,5,35,6,51,11,4,0.9079293390550532
45,0,41,33,4,9,47,17,31,13,15,4,4,8.079602906731717,12,6,5,41,8,6,4,23,25,27,5,1,33,2,48,23,6,1.1854977936085926
53,0,39,28,2,7,37,18,34,9,15,2,3,8.079602906731717,12,8,6,35,6,4,9,18,25,27,5,4,31,2,50,24,8,1.194836738833066
46,0,34,28,0,8,26,22,38,31,41,2,7,7.929691481109369,11,8,2,27,7,6,2,17,26,13,5,3,36,4,37,11,9,0.8972946424906952
48,0,29,29,0,8,27,26,41,21,39,4,7,7.820664855599331,10,8,4,24,8,23,5,16,19,13,3,5,34,5,49,15,11,0.8216440650252294
42,0,29,32,3,8,49,23,30,14,25,4,2,7.820664855599331,7,6,8,33,6,17,3,17,14,26,1,6,32,3,56,32,3,0.9329293007489116
32,0,35,33,5,7,51,22,30,15,32,5,2,7.668890943014692,12,5,7,26,5,24,3,14,25,27,4,6,35,5,54,7,8,0.950746564604416
39,0,32,28,3,6,46,25,29,7,31,3,3,7.727157083290897,9,5,7,22,4,28,3,16,27,26,4,7,31,5,56,10,5,1.041239287732842
47,0,22,27,1,5,51,24,22,10,33,5,4,8.007626545067206,5,6,8,32,4,16,2,19,15,18,2,7,30,4,50,16,6,0.9819117931630232
