y_min,x_max,y_rms,rv_max,12,10,z_rms,y_signal_changes,35,32,21,z_max,24,16,3,x_rms,2,29,22,7,rv_signal_changes,27,34,20,rv_rms,9,4,8,36,19,z_signal_changes,0
-6.85791381203803,8.969655995075891,4.36228933052391,13.480828420199437,39,1,9.684152869296424,36,30,31,27,11.83478556005225,44,16,20,9.983103372963472,15,8,21,24,0,9,33,6,24.029545572783817,11,35,22,18,6,31,5
-5.260794056038029,9.25640664907589,3.989788816057625,13.579209729978148,36,6,9.719460166139802,36,23,31,20,12.07981173535225,47,17,24,10.777592312083282,13,6,16,30,0,8,28,15,24.486841294280712,10,24,22,25,3,33,4
-6.22522687343803,9.828222639875891,3.852979668703037,13.579209729978148,24,6,11.632950971140334,37,27,34,18,12.07981173535225,42,18,17,11.907328213296603,19,7,14,34,0,10,17,14,27.39325885314,7,21,19,25,7,30,3
-7.494095994838029,9.828222639875891,4.362238587846758,13.1291817937223,10,4,11.115280484125078,43,25,29,23,11.672946150752251,36,16,16,11.554542180570415,21,9,13,37,0,10,16,10,27.032061252542253,7,24,12,22,9,29,8
-7.494095994838029,10.00934147337589,3.685567753056751,12.65259421629651,11,4,9.266027908639158,43,29,34,25,11.672946150752251,46,11,16,10.572369998504572,20,6,15,29,0,3,16,11,23.52396566020046,4,28,11,24,6,29,8
-6.466755300338029,10.00934147337589,3.786554373780489,13.231166576170764,28,3,9.281768797522757,37,30,32,25,11.26900916495225,42,11,26,10.505158900745831,12,8,17,28,0,4,23,8,23.57348207204909,5,23,15,23,9,31,4
-5.06676620793803,11.83521565877589,3.893081094119686,13.231166576170764,36,7,8.64131104149127,35,26,28,21,11.60066692495225,48,10,21,11.129561086502656,17,9,16,22,0,3,21,7,23.6639532221136,2,27,6,17,8,28,6
-4.525609212638029,11.83521565877589,2.871461068744856,13.16071187759156,43,12,9.06785942737982,33,24,25,19,11.60066692495225,46,8,17,10.58756627973115,19,6,17,20,0,4,24,12,22.526886775855825,1,30,7,19,3,29,7
-5.955375074138029,9.025142569875891,3.4188055334765504,13.946997388922536,31,1,10.369916817010072,34,30,25,19,11.97382950395225,48,13,17,10.229720040955744,15,7,16,31,0,9,26,15,24.01844239144238,7,18,21,18,9,32,4
-7.00481665453803,9.99328674467589,3.9190548964819465,13.946997388922536,15,3,10.178572698296014,37,30,33,19,11.97382950395225,49,14,11,10.88595815346211,19,6,14,36,0,9,25,17,24.98358574824009,3,23,13,18,10,29,6
-7.00481665453803,9.99328674467589,3.959999122646922,13.127214000780016,19,2,9.73417832638239,33,39,36,22,12.27613006435225,46,16,19,9.973441979250593,16,6,16,38,0,3,26,17,23.66761942827989,2,22,13,18,8,27,3
-6.484605342038029,7.707738309475892,4.922972719694315,12.959790810188682,33,5,9.366828253250317,36,41,26,17,12.27613006435225,45,16,18,9.298788850401907,8,6,18,36,0,0,28,24,23.58858982334653,11,21,28,22,6,29,7
-6.484605342038029,7.2243234415758915,4.437409276535995,13.127372676085994,30,5,8.926567779143257,38,32,31,20,11.86625463175225,38,15,18,10.047662708041097,11,5,14,39,0,4,31,20,23.41163976372036,14,10,35,23,7,30,6
-5.67649220703803,9.80689688837589,4.145128849229286,13.127372676085994,37,10,9.664565370730626,35,25,31,20,11.77016610805225,45,13,17,9.990463682199168,14,5,20,31,0,6,33,14,23.800157902159075,2,17,14,26,3,29,9
-5.67649220703803,9.80689688837589,3.996210446162965,13.106172205700584,34,8,8.697697736066981,38,27,34,18,11.71841498855225,58,13,14,8.941203074807142,16,4,20,27,0,4,28,12,21.635111257037096,2,29,8,22,2,33,8
-7.21481885133803,7.493199224875892,4.081542414091973,13.106172205700584,41,1,7.8935528093231,43,37,33,20,11.71841498855225,41,12,11,8.37677718603809,16,4,15,35,0,3,26,19,20.35187240945316,6,17,30,14,2,32,9
-7.21481885133803,8.157476137375891,4.51695475552226,12.539042421713992,39,1,9.01062799180715,39,26,36,17,11.08821523735225,35,10,10,8.844159236194994,16,7,18,47,0,6,25,23,22.37174198352441,5,20,19,28,2,28,8
-5.848691351638029,8.52488782767589,4.660347331278079,13.07820264293774,33,6,8.937767553169353,36,21,34,20,11.14671169295225,43,10,12,9.973776780330413,18,6,15,47,0,9,21,12,23.57189166477783,8,15,13,21,8,33,6
-5.848691351638029,9.868554498675891,4.283260240474188,13.299681194054878,31,8,8.869868798891188,37,26,37,19,11.14671169295225,45,16,14,10.478312787909392,18,4,18,32,0,8,20,13,23.63144182727476,5,24,8,21,4,31,6
-5.978275836738029,10.33653637017589,4.16839409646528,13.299681194054878,39,8,8.695729046230838,34,31,32,24,10.90346261355225,38,17,17,10.1228089326284,14,7,17,18,0,8,27,8,22.986932075324543,5,32,7,16,1,32,16
-7.208694445838029,10.33653637017589,4.559135763844318,12.814468987329647,36,4,7.188729212826586,39,27,32,16,11.148947772452251,58,16,12,9.428490591941522,20,4,13,19,0,3,27,24,21.176355568612426,3,36,10,18,1,35,9
-7.208694445838029,10.604669627375891,4.099630510580969,13.346368045736227,45,2,7.139448544654244,42,29,31,14,11.148947772452251,62,11,22,9.228566698132164,14,5,14,29,0,3,29,26,20.46764575336737,3,27,5,18,2,34,4
-4.93684653363803,10.604669627375891,4.5187816002419865,13.346368045736227,51,16,8.479278873447692,37,27,28,16,11.62653114975225,45,16,21,10.306980318132949,15,5,19,30,0,2,35,29,23.305040791822627,5,28,4,23,2,39,5
-5.20356002173803,10.51340891647589,4.015070421646802,13.70240911860377,39,9,8.750006274056949,36,24,29,3,11.62653114975225,42,13,19,10.782706741636629,12,4,24,29,0,9,29,4,23.5477834373404,5,21,11,12,5,35,5
-5.20356002173803,10.51340891647589,3.1899064234518697,13.70240911860377,55,3,8.904696412158714,34,29,28,13,12.23014729925225,47,11,16,10.037107208834774,21,4,22,27,0,8,46,4,22.131710044445363,3,28,13,12,3,30,4
-3.79941344623803,9.82437252367589,3.023198037926192,13.8431839086965,41,17,9.342287579237542,32,35,26,22,12.39716175595225,51,13,15,10.107806217615284,21,4,16,24,0,3,40,19,22.473291834779022,4,27,16,14,4,35,9
-4.05661484863803,9.975515518675891,3.040126690556647,13.8431839086965,36,16,8.486635336777569,34,30,28,14,12.39716175595225,54,13,18,9.88974634423942,16,3,16,32,0,3,25,20,21.41650837157363,4,21,10,17,5,34,5
-4.315477212438029,9.975515518675891,3.374877951895032,13.770373495530956,40,12,7.915727632671941,38,22,35,16,12.09884715825225,54,6,18,8.828228249832785,16,4,15,40,0,2,26,22,20.118833834399744,1,25,5,18,4,33,8
-4.716479673638029,9.81744252847589,3.5651541356777727,13.161459790048411,49,8,8.90585546085951,38,30,34,18,11.555766186752251,45,14,17,8.762629165849276,18,6,14,35,0,4,26,24,21.23363876238656,3,30,8,21,4,35,9
-6.29493987573803,9.81744252847589,4.568855905286178,13.161459790048411,62,5,8.610947170808277,38,30,35,18,11.555766186752251,42,13,16,8.806333567672022,16,6,14,31,0,3,20,24,21.986136643766475,4,27,13,16,1,33,4
-6.29493987573803,8.46109786417589,4.841266129715642,13.013524665070529,58,7,8.550575436877505,38,22,26,20,11.99773487865225,43,14,15,8.800853536405958,12,4,20,31,0,1,35,26,22.192695102999128,3,13,24,23,1,27,5
-5.000159879338029,8.41139670157589,4.590278586707767,13.543297723408449,48,13,10.222522927770497,35,25,26,19,11.99773487865225,43,12,14,9.48128131520606,14,6,18,41,0,7,33,23,24.29408282968432,4,14,23,23,1,28,6
-4.920737806038029,8.046398451375891,4.076186481566358,13.543297723408449,56,8,9.21208719708033,36,19,33,16,11.08967600375225,52,6,17,9.478475219391695,11,7,14,35,0,9,29,18,22.766748898038376,6,16,34,17,1,31,7
-6.562137262038029,8.046398451375891,3.045964346050334,13.44498157326976,22,2,7.730843732674415,38,21,36,20,11.50775257105225,47,17,18,8.478071819189127,15,6,18,30,0,5,40,12,19.254879897913863,8,22,24,14,4,30,5
-6.562137262038029,7.222052212875892,3.0813374093329458,12.417855564185851,16,2,7.286610888476841,38,24,37,23,11.50775257105225,46,24,21,6.33152850518239,13,5,20,25,0,3,34,11,16.69947680299218,8,31,18,16,2,30,8
-5.188692572738029,8.17193269917589,3.63176370997511,12.472090795501956,49,8,7.776736300273611,40,21,35,19,11.850524296352251,42,12,24,5.845059845074957,6,4,20,27,0,2,34,17,17.25355985532368,5,31,15,14,4,33,4
-7.31588186543803,8.17193269917589,4.048567507953488,12.939046190556246,33,2,9.4574128854834,39,26,32,19,12.00718801075225,57,17,17,7.461056757746842,9,6,11,34,0,4,31,11,20.96703715118372,5,21,19,20,7,34,4
-7.31588186543803,6.813799912275892,4.336027533767604,12.939046190556246,31,2,9.137007283975633,38,29,25,16,12.667305779752253,56,19,10,8.18276047285122,12,5,15,43,0,2,35,12,21.65579529059444,11,11,31,19,4,31,5
-5.2231622908380295,7.155761005275892,3.364342186027137,12.9292330163251,40,11,9.345151786969902,34,28,29,16,12.667305779752253,39,12,14,8.094435434774528,10,4,20,32,0,2,36,21,20.80392940777155,11,22,28,20,2,30,4
-5.06814567823803,9.27113858757589,2.939567943544408,12.392971241091484,33,4,9.144482543432444,36,27,25,16,11.23745035645225,50,14,20,8.734748566972897,16,7,17,33,0,4,30,18,20.818799053949743,3,24,11,22,2,32,6
