window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,-0.05670575215210835,-0.04361086921102988,-0.03819983281474958,2.3188747607772346,1.6998202365596733,1.085280452766085,2.211087514870597,1.893548789307644,-5.236223765624108,-3.66299822103803,-6.18281446264775,0.08131989341135348,5.582900139975892,2.54699214516197,8.47875486305225,10.4877128157853,1.4463021894724597,0.5898677845347501,2.445183612821852,4.481353586829063,37,40,42,0,4,7,12,25,62,55,21,9,3,2,2,6,7,6,21,73,46,17,13,9,9,5,17,35,100,13,11,7,2,1,69,38,35,24,12,17,4,0,0,1,18
1,0.021719454685891565,0.032095463925470136,0.03327747344775041,4.372604224426022,3.4057284924914555,1.8828185965804631,3.214738147323549,2.52219652849294,-9.030820727124109,-4.46371299423803,-7.221429098947749,0.08131989341135348,8.71413844097589,5.283064897461971,10.540490549252251,12.501625843992063,5.799729149639993,1.773017993216908,5.167824373048154,12.740571515905046,35,35,42,0,5,9,14,24,36,47,37,17,5,6,5,17,16,32,59,29,22,10,5,5,13,11,17,40,79,18,12,4,1,5,18,31,49,35,20,20,18,2,5,2,18
2,0.06302939452989165,-0.03470913182152985,0.08681375236425035,6.019970472253325,4.322226376575783,2.44506896489482,4.316631354511799,2.6581909098892473,-9.030820727124109,-6.520706692238029,-8.67622850974775,0.7546347011269838,9.506748646075891,7.085805421161971,11.337898261452251,12.983447563386335,9.34280677747112,2.9897834834618155,9.320421439176961,21.653011700109897,33,30,34,0,9,25,18,17,24,23,52,16,9,7,2,6,29,32,49,36,20,15,9,2,18,17,9,29,64,30,14,6,5,8,7,22,43,25,24,35,23,11,4,6,18
3,-0.11437858482560838,-0.01708956032802983,0.09771370992475042,6.378275848847794,4.649810864516062,2.633735855651718,4.48107582250027,2.8245116106974644,-11.24225318132411,-6.520706692238029,-10.415126101647749,1.807757695029021,10.351114295375892,7.085805421161971,11.52028658135225,14.568837981180792,10.816911768219159,3.4684283052088456,10.04479424805187,24.330134321479886,32,27,31,0,3,11,26,22,31,26,42,24,6,9,2,14,26,29,42,30,33,11,10,3,5,24,10,17,37,65,21,8,6,7,18,39,39,26,24,23,16,9,5,1,18
4,-0.041435254081608364,0.1929673694564702,-0.06225792403924965,6.259350366571209,4.686199270648749,2.528674170474729,4.290384213530519,2.76141552250528,-11.24225318132411,-4.82064827313803,-10.415126101647749,1.807757695029021,10.351114295375892,6.128141821161971,11.52028658135225,14.568837981180792,10.981090242254838,3.2157147330505,9.20563637440878,23.402441349714092,32,26,36,0,3,12,26,20,31,28,40,24,7,9,15,18,17,31,32,28,27,18,11,3,7,20,8,13,56,59,21,6,3,7,21,35,47,26,19,21,17,10,3,1,18
5,0.10462952152889163,-0.05415914555402984,-0.11072188721974968,6.139516924667434,4.409780931176295,2.3143390867651648,4.478430211460289,2.68163052008839,-8.06861826122411,-4.539204626538029,-9.46849213644775,1.3050391432224644,10.28071018837589,5.464171035561971,12.28416085975225,14.436931302618415,9.728557598870719,2.6795493107880803,10.034298247614874,22.442405157273654,34,27,38,0,18,24,15,29,23,30,35,13,7,6,13,22,21,29,27,33,22,18,10,5,21,11,13,24,69,31,16,4,5,6,12,35,43,31,19,28,18,9,4,1,18
6,-0.02566620958460841,-0.1250328113830299,0.11454248756725036,5.92466785191196,4.334856997155895,2.291228980862754,4.2472523046652,2.647185364162566,-8.61514434462411,-5.576467806038029,-9.18673538064775,1.3050391432224644,9.95122027987589,4.949151365761971,12.28416085975225,14.436931302618415,9.395821970052934,2.632681723333858,9.026136060470972,21.054639753857757,39,33,42,0,11,26,17,28,23,27,41,14,5,8,3,15,22,23,29,30,35,26,9,8,19,8,14,20,79,30,17,4,2,7,13,35,54,25,22,22,19,3,5,2,18
7,-0.056152300834608405,0.15320360893697008,0.0018061658307504242,6.038716593859501,4.283973995423097,2.360843966490876,4.4651059083038955,2.724650030354237,-8.61514434462411,-5.576467806038029,-9.18673538064775,1.634163075308122,10.18174834287589,5.383840685561971,11.96078127485225,13.731935847711371,9.177793137175174,2.7985277899538428,9.968587017302681,21.944907944431694,39,30,43,0,10,23,25,29,22,28,38,14,6,5,2,18,16,23,31,28,34,32,10,6,21,11,10,17,76,35,13,6,2,9,17,41,41,21,22,19,23,8,4,4,18
8,0.06969124026189162,-0.05673830738652987,-0.053359751983749495,6.456286918499831,4.4012500385605335,2.531783867708701,4.815517160601819,2.7013736454633164,-8.43825734702411,-4.9836292876380295,-9.10109184274775,1.634163075308122,10.18174834287589,6.2256900146619705,11.96078127485225,13.731935847711371,9.687929385449168,3.206574394157559,11.596026393591176,24.490530173197904,35,30,34,0,13,26,21,22,24,24,41,17,9,3,19,16,19,31,36,25,27,18,6,3,25,17,7,18,61,37,17,4,4,10,14,28,39,31,17,24,28,10,6,3,18
9,-0.040698528997608424,-0.11230051337102985,0.07052797015175039,6.475408710833192,4.693311086160149,2.614423686804676,4.463503703802028,2.621749316250276,-9.12056748462411,-5.370856670238029,-8.85087643044775,1.673966483592712,11.88346439987589,6.2256900146619705,11.55282997965225,13.702373863412511,11.014412660868157,3.4239113097143767,9.963919754214068,24.402243724796612,33,36,34,0,19,21,24,23,24,39,34,6,8,2,18,12,20,26,42,27,25,15,13,2,21,16,7,22,56,44,20,3,1,10,14,23,39,37,19,23,24,12,6,3,18
10,0.0019548000868916506,0.15924189913747017,-0.02959361002774963,6.370196489982134,4.691103659937235,2.5845249826167973,4.334222828900602,2.630312667548884,-9.12056748462411,-5.47208306543803,-8.85087643044775,1.7601542095702256,11.88346439987589,5.0548344831619705,11.67238043545225,13.692900907821542,11.003228684759934,3.3525636841056343,9.393181656158804,23.748974025024367,32,37,39,0,18,17,27,26,23,39,32,8,6,4,13,13,9,26,27,29,28,22,21,12,22,11,13,18,71,36,16,2,2,9,11,32,48,24,21,23,22,10,4,5,18
11,0.1888087305523915,0.00934194187997015,-0.07020327999024963,6.67053457535001,4.71395753052108,2.6648082320380877,4.715762747331235,2.6656424723514234,-8.638788281324109,-5.47208306543803,-8.79073586284775,1.7601542095702256,10.69014236167589,6.703648103861971,13.03607808745225,14.80293345977867,11.128522168144611,3.550645092708022,11.12167339481922,25.80084065567185,32,34,38,0,14,24,24,16,26,29,37,17,6,7,9,26,13,38,30,32,23,18,7,4,28,11,17,27,68,24,9,3,8,5,11,30,53,26,19,30,19,6,5,1,18
12,-0.028653172363108367,-0.08173343648602986,-0.04171444693424955,6.622313724584551,4.786301061145676,2.5779465557304966,4.660218857907467,2.725129076376334,-9.65536768142411,-5.292050475538029,-9.106504378347749,1.3478112616539655,11.50087601797589,6.703648103861971,13.03607808745225,14.80293345977867,11.454749426105343,3.326244399421276,10.859689949339701,25.64068377486634,32,32,37,0,8,28,22,22,28,28,42,11,4,7,7,28,19,43,29,26,27,9,8,4,25,11,17,23,71,27,12,3,6,5,8,27,40,41,18,31,23,5,5,2,18
13,-0.0740164170656085,0.05542176428797015,0.04205867638425032,6.520761292643783,4.798659073067449,2.5093894020082366,4.528158490467575,2.7052494309780823,-9.65536768142411,-5.55984909353803,-9.106504378347749,0.3600733729416334,11.50087601797589,5.177891547861971,11.96205083945225,13.804311359909052,11.516303664763896,3.1500533714340238,10.252994123526395,24.919351159724297,31,31,37,0,11,24,22,25,25,34,39,9,3,8,4,14,18,27,38,22,26,20,19,12,22,12,13,17,65,39,17,4,3,8,3,16,28,39,36,23,31,16,2,6,18
14,0.10871801894589166,-0.038014337944029884,-0.01009118563824966,6.65494581772355,4.743073937540399,2.6696547528606236,4.634516882491016,2.6129707811731717,-9.062039875524109,-5.55984909353803,-8.47200472104775,0.3600733729416334,10.491765114175891,5.177891547861971,11.99110565775225,13.804311359909052,11.254284992309245,3.564250794680317,10.739424283060915,25.55796007005047,33,25,38,0,14,24,19,20,25,33,33,17,5,10,5,19,19,31,30,19,21,21,22,13,27,13,15,19,65,29,15,5,4,8,1,12,28,41,32,31,31,16,2,6,18
15,-0.04999265679260836,-0.03788936549402974,-0.09571943586574959,6.384224101529963,4.5356136766102235,2.647903396694758,4.371837115548024,2.4394514318103875,-8.563022490324109,-5.86952929803803,-8.71296143134775,0.4539985478218776,10.45599081137589,4.990442579661971,11.99110565775225,13.356241844523414,10.287145344593444,3.5064140011225855,9.561060987642868,23.354620333358884,32,32,40,0,16,23,22,20,27,33,31,16,7,5,8,18,12,21,21,37,26,26,19,12,23,13,16,19,66,36,12,5,4,6,3,9,31,44,33,29,30,14,3,4,18
16,-0.03407823034010844,0.04190478666647015,0.06438385332925034,6.354582982639491,4.5351960576265915,2.6936924204388584,4.342460176376366,2.511429922315774,-8.94810707692411,-5.86952929803803,-8.72209488524775,0.4539985478218776,9.681680381575891,5.38941316246197,12.67778702515225,14.83332403369768,10.284582303447442,3.628867433537658,9.430552831992093,23.344002568977213,33,31,39,0,16,17,22,19,32,20,30,32,3,9,14,12,10,23,29,27,27,33,21,4,20,17,7,27,81,24,13,2,3,6,4,17,33,49,43,25,20,4,2,3,18
17,0.07694461875989161,0.024368620423970234,0.046113213979250396,6.452930389776107,4.606074678618157,2.701862177543301,4.482254603851369,2.6410073120720723,-8.94810707692411,-5.4903931751380295,-8.72209488524775,1.3228018140955655,9.88138016007589,5.38941316246197,12.67778702515225,14.83332403369768,10.610922209681732,3.650326528050202,10.04636638112515,24.307615118857093,37,27,41,0,18,14,27,10,38,23,30,26,4,10,17,11,13,26,28,24,21,38,17,5,22,16,12,23,80,18,16,1,3,9,10,24,47,41,22,26,18,6,4,2,18
18,-0.0505467718571084,-0.06505670362652985,-0.1364169277407496,6.318866124121809,4.574850858109945,2.5861305440202447,4.283247757609007,2.4618835781081048,-8.87315407522411,-5.3340882247380295,-8.89846327814775,1.3228018140955655,9.88138016007589,5.11073296336197,10.70539357635225,12.873204824220876,10.465907675047234,3.3461517827005993,9.182410465618402,22.99446992336623,34,30,38,0,17,20,26,8,36,18,40,23,4,8,16,14,13,19,33,29,26,24,19,7,22,11,12,17,61,41,20,6,1,9,8,14,37,48,25,15,26,17,2,8,18
19,-0.07941006129810843,-0.07595174010702992,0.07261799393025031,6.2252170266419595,4.583327418877339,2.553820114044234,4.14385151317709,2.4422149241415996,-8.835316018624109,-5.3340882247380295,-8.91911296424775,1.9789088124213066,10.648272124175891,5.11073296336197,11.36619859415225,13.40091735223728,10.506598093234095,3.263882920861098,8.588389368151258,22.358870382246447,32,23,38,0,14,26,22,19,27,21,44,17,5,5,11,18,17,25,25,25,25,28,22,4,19,9,16,12,76,39,15,3,4,7,12,30,51,36,17,20,18,8,6,2,18
20,-0.031743863108608356,0.12185409631097013,0.11495535274875049,6.384653369672253,4.711424560656878,2.5248211245345478,4.350501681641826,2.600842201963873,-9.323737860424108,-4.70651770663803,-8.98882774264775,1.5183622520108995,10.648272124175891,5.0287235617619706,11.44395271475225,14.289597894255731,11.099264531802955,3.19478506584183,9.470039807546971,23.764089405191754,32,21,32,0,13,22,20,25,22,30,38,18,6,6,19,15,15,34,15,23,17,33,24,5,20,8,19,8,76,37,16,2,7,7,6,28,58,30,18,20,25,9,3,3,18
21,0.002078638415391625,-0.03354852339952982,-0.04356920456674959,6.431226410487691,4.603831294572469,2.467995352189505,4.57337589599408,2.6161776870399303,-9.323737860424108,-4.82286690693803,-9.22151360274775,1.48590229445153,10.193570546475891,5.0287235617619706,11.44395271475225,14.289597894255731,10.597633454811232,3.0460632809256403,10.45883268082312,24.10252941655998,33,22,28,0,13,17,25,21,24,23,37,30,2,8,20,12,13,33,27,22,22,25,19,7,23,10,15,11,65,42,16,4,7,7,10,28,46,33,18,27,27,6,2,3,18
22,-0.049745031492608345,-0.09063055088052996,0.04633546793475033,6.255088353347772,4.528672519162106,2.521608744349779,4.2854619577071436,2.473716792331596,-9.44081330662411,-5.065351219038029,-9.22151360274775,1.48590229445153,9.836648235675892,4.566782117461971,11.17511988595225,13.012930746392586,10.255674676986118,3.183362278167089,9.183665583271939,22.62270253842514,35,22,33,0,11,17,29,13,29,22,39,29,3,8,16,15,14,22,27,23,28,19,25,11,18,14,10,14,58,52,18,6,3,7,9,21,40,43,20,17,26,17,4,3,18
23,0.029240880766391652,0.14232975357497013,-0.001129348161249648,6.456747564560693,4.739504045544945,2.5425985614671887,4.370328969053793,2.5217070192808366,-9.44081330662411,-5.065351219038029,-8.828873933147749,1.9934451362232388,10.26301211997589,5.252826076361971,12.28090089095225,14.52043859498242,11.231876813422446,3.242532601763863,9.549888286589027,24.024297701775332,34,25,38,0,11,24,22,21,22,24,38,25,5,8,17,10,13,31,22,25,31,23,25,3,23,13,12,17,79,31,10,4,6,5,12,38,46,28,23,25,21,3,1,3,18
24,0.19558343665089165,0.023661812873970255,-0.08867891598624954,6.966337180988043,4.831005174609228,2.952192030698453,4.9086404092542155,2.76868605002241,-9.13128854642411,-7.49830904243803,-9.90293436224775,1.753007841801957,10.26301211997589,8.189616062361969,12.28090089095225,14.52043859498242,11.688431938896647,4.357998833753971,12.051307308751943,28.097738081402557,32,27,42,0,10,27,16,27,21,24,31,30,4,10,3,13,19,29,45,35,31,17,6,2,18,19,13,14,64,33,18,7,7,7,12,23,39,31,31,18,30,7,5,4,18
25,-0.027591952913608376,-0.08449670101652977,-0.07885307073924958,6.5449297158430575,4.553391106716035,3.0697667806505775,4.473688519345083,2.710856221973829,-9.207256544524109,-7.49830904243803,-9.90293436224775,1.6477674754384897,10.92035148217589,8.189616062361969,12.03203139595225,13.696305551529784,10.367065943293131,4.715303890034247,10.010053387442506,25.09242322076989,32,28,39,0,10,23,20,31,25,30,36,14,7,4,4,10,25,35,37,33,31,17,6,2,12,20,11,17,69,32,20,10,4,5,14,26,34,32,27,24,21,13,4,5,18
26,-0.0799166254241082,0.0018746748854701644,0.06430753325075032,6.039128437269153,4.3874926981223,2.633954992585804,4.156578408537202,2.6465843088378582,-9.207256544524109,-6.090387939738029,-8.91620431874775,0.8885343617635927,10.92035148217589,7.915028928961971,11.55946821615225,13.147500746085488,9.628239421547844,3.468861208686802,8.640639762575226,21.737740392809847,32,29,34,0,12,23,20,20,31,37,36,10,9,2,5,12,39,36,28,42,20,14,3,1,21,10,10,22,65,43,14,6,3,6,9,21,39,37,24,22,28,9,8,3,18
