window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,0.0001361925513916129,-0.007509445247529878,0.016778245557750433,1.8564696031035894,0.9589834676151856,0.9950510432239225,1.725436965492073,1.2003195925500385,-2.6736038978241083,-2.48869506063803,-5.401339900047749,0.25746633399698193,3.2358374533758916,3.58348263136197,4.75392604845225,5.473324827509542,0.45982465485382806,0.49509148519447116,1.488707115705245,2.4436232557535438,34,39,33,0,4,9,19,37,55,49,19,2,3,3,8,5,27,59,59,23,7,4,6,2,5,4,3,22,47,55,37,15,6,6,32,49,41,22,19,10,10,9,2,6,9
1,0.01666736498339158,-0.03842884875002988,-0.04257460572674962,1.8205666747147058,1.413099182693674,0.9990195525461808,1.8911951122292456,1.805716610230315,-5.673094173024109,-2.58744443733803,-5.275389625547749,0.04617489358644468,5.697853823675891,4.18574382446197,9.32787154345225,11.004761150459812,0.9985635505925096,0.49975842139291204,1.7892157747862887,3.287537746771712,35,43,38,0,2,4,4,18,55,93,15,6,1,2,6,10,30,92,40,10,3,5,1,3,6,8,31,105,38,6,1,1,1,3,94,52,29,10,5,3,3,1,1,2,9
2,-0.024814110248108347,-0.020786471001529857,0.030920396650250367,2.9303979960955293,2.4290817090737735,1.3529976487239275,2.44375116921923,2.262240446266049,-6.340885957124108,-2.69770871413803,-6.67792218954775,0.04617489358644468,6.444049643875892,4.914077914161971,9.32787154345225,11.004761150459812,2.9505268447120843,0.9155173574145867,2.9864379239946794,6.852482126121349,34,40,39,0,7,9,12,21,48,54,20,16,10,3,13,23,30,75,33,11,4,5,2,4,6,10,11,57,78,22,7,2,2,5,58,32,36,24,21,18,5,1,3,2,9
3,-0.012190751026608364,0.00045494556197014756,-0.019919535799249596,4.050977893361775,3.0372765005582485,1.754262915498489,2.847586404254406,2.0003397121533846,-6.866781797924109,-3.46173899393803,-6.67792218954775,0.41527909185042533,6.444049643875892,6.13367840576197,9.11046031575225,11.137830316461622,4.612598577626979,1.5387192918343622,4.054572558800495,10.205890428261835,30,41,36,0,8,15,15,22,30,32,23,37,16,2,7,22,52,50,37,13,8,4,3,4,13,17,9,33,67,41,10,2,3,5,18,34,40,33,36,30,3,1,3,2,9
4,0.0033539262438916583,0.007860806140970166,-0.15361289164674968,4.0763990883407475,2.8132568329917538,1.88412126951334,3.172215260867453,2.2212422339846074,-6.866781797924109,-4.4212898114380295,-8.49121041254775,0.16783762729177315,5.7015739922758915,6.13367840576197,9.16686494925225,11.137830316461622,3.957212628598017,1.7749873752528744,5.0432732908802205,10.775473294731112,27,38,35,0,7,12,16,15,25,32,33,40,15,5,3,11,36,57,40,28,9,7,5,4,4,13,20,13,73,44,13,11,4,5,15,35,42,30,26,29,13,5,2,3,9
5,-0.04090288469710836,0.04629013514147021,0.09174026203075034,4.235058689464046,2.661331762287299,1.8491004130493476,3.5798985402647148,2.322507834249098,-6.356968922024108,-4.4212898114380295,-8.49121041254775,0.16783762729177315,4.695366187275892,4.9797995123619705,10.15554509285225,10.921424876310697,3.542179897467883,1.7106575570753408,6.412044917133455,11.664882371676676,27,31,37,0,6,13,16,15,22,26,28,38,27,9,2,9,21,48,44,29,21,9,10,7,9,14,16,17,62,48,15,9,5,5,12,36,42,28,25,21,19,10,3,4,9
6,-0.010725538053608328,0.07029323473747015,0.11041229407875053,4.607748533583167,2.9187690693482344,1.7992468063339278,3.8412442586718516,2.301642871304877,-6.668793025924108,-3.12037744733803,-8.40837922414775,0.33248687803766613,4.424357313675892,5.47974610426197,10.15554509285225,10.921424876310697,4.259663958675248,1.6211151044763468,7.383674164731595,13.264453227883193,30,31,35,0,8,12,16,14,17,20,26,27,40,20,11,29,48,40,27,18,9,6,7,5,12,17,14,14,54,49,22,6,4,8,12,29,42,20,30,25,23,9,5,5,9
7,0.02809000001889163,0.018274469187470114,-0.03391262184374968,4.430867329414906,2.820149361423583,1.8963941737895234,3.6745754742388708,2.328464296133304,-6.668793025924108,-2.94040960423803,-8.40837922414775,0.33248687803766613,4.424357313675892,6.42276112646197,10.82915368835225,11.182437656485309,3.977015734419451,1.798322409303467,6.751827490899075,12.527165634621985,28,31,34,0,6,11,16,15,17,22,26,28,37,22,20,46,50,28,27,7,7,8,5,2,14,16,12,22,61,50,13,3,6,3,16,38,33,25,27,28,19,5,7,2,9
8,0.0027556239783917214,-0.06032555729302991,0.05454140685975042,4.181050676713965,2.712377077250371,1.7645619749449204,3.493594647772894,2.2806377848532606,-7.317682104224108,-2.95974380053803,-8.089366605147749,0.4349375171424775,4.788168769775892,6.42276112646197,10.82915368835225,11.182437656485309,3.6784985013283893,1.558659068142115,6.104089164004826,11.341246733475327,27,34,37,0,2,9,15,17,21,22,31,34,38,11,23,35,53,36,26,12,5,6,2,2,12,17,10,20,81,39,10,2,6,3,21,39,34,30,26,24,14,6,4,2,9
9,-5.172907460831988e-05,-0.07903965424902994,-0.08502217541224961,4.357040973177406,2.8483386552214602,1.6233529776163305,3.6661097980566684,2.2843684103393933,-7.462340354124108,-3.23273128793803,-8.39044019624775,0.4724765111395231,4.788168769775892,4.63139868176197,10.61170781115225,11.065917387635862,4.056516548752344,1.3207610784398058,6.723794910859469,12.101072538051614,28,38,37,0,3,11,8,21,20,22,28,34,40,13,17,16,24,51,37,21,18,7,6,3,12,20,11,10,74,46,15,3,5,4,17,34,39,28,21,31,17,7,3,3,9
