window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,-0.004433768835108367,-0.002560743891529868,-0.006115851666749577,1.2726123215817646,0.9322395691607829,0.7741818221203297,1.024845162355857,0.948291734188421,-3.381241860224108,-2.73060738673803,-3.4599725874477496,0.13245245208270648,3.8417583436758918,3.30938912046197,4.53487407765225,5.062111904987886,0.4345451363075824,0.29968202555541573,0.5251725052229061,1.2593996670859036,47,47,43,0,4,3,6,32,85,55,8,3,3,1,4,3,9,41,88,36,15,2,1,1,3,2,17,53,82,29,7,4,1,2,51,59,42,19,6,9,7,2,2,3,11
1,-0.007441977452608377,-0.005468082390029831,0.02979251559225041,1.2775605163488928,0.8369711878665511,0.7915146976566685,1.1120286203644947,0.9656272274745202,-3.051283730624108,-2.65745710803803,-3.4599725874477496,0.1550536462035693,3.8417583436758918,3.30938912046197,4.53487407765225,5.062111904987886,0.3502880761735755,0.3132627082657758,0.6187476232475378,1.2822984076868889,39,43,36,0,4,2,9,50,84,43,3,1,3,1,3,5,13,38,96,30,8,2,2,3,4,5,16,43,87,28,7,7,1,2,65,46,37,19,12,9,6,2,1,3,11
2,0.01996556051689162,0.04870335496047017,-0.014248628055749597,1.99466241690985,0.8254322309097196,0.8937621517272142,2.153643512425936,1.4637708279163677,-2.6637066892241084,-1.7516093153380299,-5.02311386884775,0.1550536462035693,2.2289147561758917,4.01904263976197,6.89641625635225,7.234931062343593,0.34086849571567535,0.4005914003222326,2.319191701007898,3.060651597045806,38,32,33,0,3,3,11,14,34,61,45,16,9,4,7,33,67,56,21,4,5,1,5,1,9,15,19,38,69,21,14,8,5,2,49,49,34,26,15,7,13,4,2,1,11
3,0.010163053174891643,0.011616431386970152,0.0051036105562503485,2.5166586321079154,0.9560177493823535,1.113779352609254,2.4722529701019367,1.3903966114084398,-2.6637066892241084,-1.71126291023803,-5.02311386884775,0.41746474385764715,2.2289147561758917,4.901970114061971,6.89641625635225,7.234931062343593,0.45703661239196813,0.6203196938884287,3.0560303975092804,4.133386703789677,31,27,31,0,3,3,20,25,22,41,44,26,11,5,15,70,55,34,10,5,3,4,2,2,11,27,16,32,53,24,18,9,8,2,31,42,37,34,20,12,17,4,2,1,11
4,0.0026484941828916453,-0.07538243002802984,-0.009645859088749582,2.4135078140759667,1.0296558433858154,1.2466605079620123,2.1457365402843953,1.1829207401649864,-2.4627254231241085,-1.71126291023803,-4.63304404754775,0.41746474385764715,2.2635473580758916,4.901970114061971,5.64279222785225,6.067839539357646,0.5300990851699962,0.7799224664345168,2.302139171454604,3.6121607230591155,28,29,26,0,4,12,27,21,18,26,40,41,8,3,22,81,48,29,3,5,2,2,4,4,6,30,13,28,40,35,26,13,4,5,16,37,33,40,31,21,5,10,4,3,11
5,-0.02276575567160834,0.025503646072470104,-0.05310903714724964,2.596299960143858,1.1690354518801127,1.2619968813656033,2.3748336347500967,1.3646723458205665,-2.717259875024108,-1.67976698323803,-5.65175592154775,0.3028387106738692,2.496073876975892,4.84836587026197,7.19918579125225,7.554931609026601,0.6835810836919191,0.7966432822697488,2.8213276812835333,4.301552047245201,29,32,24,0,5,14,33,12,15,25,51,34,7,4,20,73,56,25,3,9,1,4,6,3,3,17,30,33,52,34,15,6,8,2,19,42,45,42,23,9,9,8,2,1,11
6,-0.008433390838108337,0.005315761491470133,-0.030278426147749588,2.591285990291882,1.1547165565560265,1.1540344065699804,2.44179076148788,1.3833874870865936,-2.717259875024108,-1.6693026547380299,-5.65175592154775,0.3028387106738692,2.496073876975892,4.21215150326197,7.19918579125225,7.554931609026601,0.6667207240328179,0.66591183443378,2.9816294529887735,4.314262011455372,27,27,25,0,7,13,28,13,16,21,60,33,7,2,16,67,53,30,9,6,7,3,5,4,3,18,30,31,48,35,20,4,7,4,19,44,39,49,19,11,7,8,3,1,11
7,0.01637663097989162,0.0008937239234701234,0.006926223195250397,2.6211547845268672,1.1487500433097406,1.1600795095495566,2.4312998124153746,1.306328622221939,-2.5970249707241084,-1.66228245493803,-4.344000510147749,0.24819361653096172,2.738425475075892,4.5920201059619705,6.31343606895225,6.711956861988139,0.6599474280231911,0.6728926336095953,2.9556333752093913,4.288473436842178,26,32,26,0,14,13,20,13,20,40,60,13,5,2,25,67,53,27,6,3,9,5,4,1,21,19,26,34,30,29,21,7,8,5,14,37,35,32,29,28,10,10,3,2,11
8,-0.0037037514791083454,-0.004705824306529873,0.008223299790750403,2.6630776435084704,1.149842002121046,1.154761864114267,2.4557557078448533,1.2627227087247719,-3.166458138624108,-1.8875946156380299,-4.282686460147749,0.24819361653096172,3.003106249675892,4.5920201059619705,5.71245051155225,5.719150018240979,0.6610751738083782,0.6667485537975311,3.0154018596360133,4.343225587241923,28,36,25,0,4,12,15,20,25,52,54,11,3,4,13,51,64,41,12,3,5,5,4,2,27,13,24,31,21,36,19,15,6,8,12,19,33,32,20,28,31,11,10,4,11
9,-0.014160649827608363,-0.0012081103585298617,-0.009736846905749597,2.5243790848243126,1.0563307097182113,1.1237924775418908,2.3201263586046545,1.1787864295914794,-3.166458138624108,-1.95702838043803,-4.1023647254477495,0.34878904644351216,3.003106249675892,3.94613914586197,5.541529099352251,5.607667115841053,0.5580175461486603,0.6314554960551897,2.691540563039882,3.8810136052437305,32,31,24,0,4,5,19,24,27,57,47,12,2,3,13,32,51,57,24,4,5,5,4,5,24,16,26,28,22,43,15,12,7,7,13,25,33,34,21,27,26,10,6,5,11
