window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,0.011398684149391632,0.0004938161809701408,0.000869078812750409,1.509025436822339,0.9340274292194747,0.8622755965191159,1.5369003939383201,1.3042095015565527,-2.8210885793241083,-2.01383231183803,-7.446354823147749,0.17101908682212896,2.4317757128758917,3.52487677006197,7.814333080152251,7.979897931583173,0.43626858426733905,0.3717597241034089,1.1810317880928736,1.9890600964636216,34,32,41,0,6,5,8,15,37,61,35,21,7,5,7,14,48,59,43,17,5,5,0,2,2,0,2,17,109,50,17,1,0,2,90,48,27,20,7,4,0,0,1,3,5
1,0.00959083699089162,0.011855103675470144,-0.06766521772374962,2.4428661546210124,1.0938816321311795,1.485446037504814,2.3702931155793205,1.7488946420952713,-2.8210885793241083,-3.07047467503803,-6.0517012108477495,0.17693431228375944,3.0436859124758917,7.01806252246197,8.41765412095225,8.45323337979338,0.5983345046340794,1.1033452369109547,2.8114340177261643,4.513113759271198,34,31,34,0,7,9,13,26,58,42,21,15,6,3,10,25,72,62,13,8,5,4,0,1,11,9,17,47,65,25,20,2,3,1,57,37,23,32,16,20,9,4,1,1,5
2,0.0012919197193916616,-0.01056016970652986,0.02251638632925038,3.356054088898382,1.2616273772237538,1.8213960787249421,2.9675035418852955,1.5661371944818305,-2.7740334443241084,-3.07047467503803,-6.0517012108477495,0.1763454330522081,3.0436859124758917,7.01806252246197,8.41765412095225,8.45323337979338,0.7958526540085248,1.658797596389413,4.403292129377549,6.857942379775493,38,35,28,0,6,18,20,33,30,34,27,19,9,4,17,45,55,37,18,12,7,8,0,1,15,18,26,32,40,25,30,7,6,1,12,26,30,44,35,27,17,7,1,1,5
3,-0.024789964120108345,0.02202647765247007,0.011082772358250441,3.4214717092099174,1.3507019737008,1.8921750113745408,3.000241548398864,1.6434492152562685,-2.804874960924108,-3.4073234385380298,-6.623151932347749,0.1763454330522081,3.1586765528758916,6.136529766961971,8.96318012035225,9.17865571319792,0.9125051820401575,1.7904057196940093,4.500786088290976,7.2036969900251435,36,30,32,0,8,21,29,19,32,33,26,19,9,4,12,32,43,40,26,25,10,4,6,2,10,16,26,35,51,21,27,6,6,2,14,29,32,49,37,17,14,5,1,2,5
4,0.002343443814891652,-0.007466522514529861,0.036672922454250384,3.3857699806105472,1.2943060395330581,1.8629190620973342,3.013658902809666,1.663070449712359,-2.804874960924108,-4.00715986123803,-6.72534332974775,0.4025188105945101,3.1586765528758916,6.136529766961971,8.96318012035225,9.17865571319792,0.8376168078503321,1.735261590442035,4.541742442862647,7.114620841155017,34,31,37,0,9,16,29,19,30,33,40,15,6,3,11,10,35,60,36,21,14,7,3,3,10,15,24,30,50,32,26,6,5,2,20,33,36,47,23,18,16,4,1,2,5
5,0.023970552652391647,-0.030824687366529897,-0.033484932898249664,3.1714764132338984,1.2724643721732682,1.617265979414398,2.8386452775911506,1.4956621237398582,-3.154338357624108,-4.00715986123803,-6.72534332974775,0.4025188105945101,2.826203580775892,6.107958709161971,7.284796299352251,7.3566664097475805,0.8098700829223852,1.3082497047612287,4.029514126360872,6.14763391404449,35,32,36,0,9,6,17,23,29,25,42,34,12,3,7,6,32,73,42,19,12,5,2,2,4,15,21,27,49,29,22,21,7,5,12,28,33,31,38,23,14,11,6,4,5
6,0.00798976554439166,0.0702761966849701,-0.0444714935867496,3.367954502497856,1.4401044498742095,1.8374189892704258,2.83202416012842,1.4609014255761184,-3.258060696624108,-3.86612808373803,-5.5030319354477495,0.4616375151415883,2.826203580775892,6.5029394732619705,7.284796299352251,7.3566664097475805,1.036982331450477,1.690523642976028,4.011169278646459,6.73867525307296,37,31,26,0,11,9,19,18,26,26,38,27,19,7,7,20,41,55,38,15,13,6,4,1,13,19,24,44,29,26,21,14,3,7,14,21,18,36,48,29,12,10,8,4,5
7,0.03627074861489166,0.022280965963970143,0.10117036960475038,3.407954956477043,1.5383996150460915,1.9573378569873356,2.7361463778502384,1.4429942238108941,-3.4589525099241083,-3.11435204833803,-5.72253369794775,0.4357843503927431,3.2253992417758917,6.5029394732619705,6.465289071652251,7.128264972859569,1.1839944713895223,1.9158339639200304,3.748366222354471,6.8481946576640205,37,28,19,0,9,12,21,18,29,27,30,29,21,4,30,29,37,41,26,17,9,5,5,1,12,8,24,38,22,33,31,17,6,9,15,13,12,34,64,20,13,14,11,4,5
8,-0.00493551270060834,-0.05044941214102993,-0.06195006778324959,3.3596075099769163,1.6209843440923533,1.9722288096840201,2.6204261371534137,1.4502946438889475,-3.7746247818241083,-3.99028371943803,-5.72253369794775,0.4357843503927431,3.2253992417758917,7.641813269661971,6.45609773705225,8.054510186721776,1.3138073015390679,1.94611581046651,3.4352354755875543,6.695158587593131,33,27,18,0,5,12,18,26,27,27,23,34,21,7,9,36,34,63,31,12,7,5,2,1,10,14,23,31,34,31,33,12,6,6,18,16,25,51,46,13,18,10,2,1,5
9,-0.029760947424608327,0.03895105201347016,0.0012163448742503918,3.6375202395337087,1.6466169734088527,2.2525663418306023,2.844993658886696,1.6279565060202859,-3.7746247818241083,-3.99028371943803,-6.38953249824775,0.6007785603964787,3.367392680975892,7.641813269661971,8.19316578035225,8.411675924191004,1.3561165855548714,2.5377861544005302,4.04699519930018,7.9408979392555805,36,29,19,0,6,14,18,26,29,25,23,37,17,5,12,35,35,59,25,13,8,5,6,2,6,17,25,36,45,32,23,6,7,3,18,16,30,49,40,16,11,12,3,5,5
