window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,0.05755555915939163,-0.005456892835529813,0.02134608314625046,3.4111276997288194,2.722496115086762,1.6431644678620272,3.0580193697038047,2.798475106565807,-12.13784148052411,-4.273290844338029,-6.375093745247749,0.07148631613367959,8.457094388275891,7.788317878761971,15.032807123652251,17.297064701200306,3.7076488695263374,1.3500096230618595,4.675969060374667,9.733627552962862,32,29,29,0,2,1,2,8,23,78,52,26,5,3,7,19,31,78,48,8,5,2,1,1,13,22,72,67,14,6,2,0,2,2,58,59,48,20,7,3,1,1,1,2,15
1,-0.006082305685608351,-0.07836711543152991,-0.03618956111224961,4.354331391095652,3.3361437999436223,2.2800857730268667,2.6631403161600637,2.1138233487912204,-10.10030294712411,-6.141606116438029,-6.03718893104775,0.5105221014290963,6.447697462775892,6.52988026646197,7.81212270005225,11.187596890937114,5.564946224172365,2.6024662685702897,3.546813013945313,11.714225506687967,32,29,38,0,4,6,3,15,25,38,45,26,23,15,5,8,18,37,35,50,25,16,3,3,10,22,11,30,57,34,26,2,5,3,11,36,42,37,29,21,13,4,4,3,15
2,-0.017648690114108363,0.08088069199497014,-0.03374865975824964,5.307031417084193,3.8864287249068736,2.7524044341871083,3.2176346370027593,2.2083117381998307,-10.70925006562411,-6.758775826338029,-7.3870122334477495,0.8798106421349602,7.119515463875891,6.52988026646197,8.60464389015225,11.391732242328182,7.552319855022013,3.7911359278352204,5.1771558146376755,16.520611597494906,35,33,41,0,6,7,3,18,24,39,40,24,23,16,3,12,19,27,31,41,27,24,7,9,7,22,20,16,47,35,37,9,5,2,8,20,40,27,33,34,21,6,4,7,15
3,-0.04773256658410835,0.24643380207697024,0.05795355132125036,5.106943793547228,3.737162506721217,2.727639699136013,3.0188540330347986,2.1225864701102393,-10.70925006562411,-6.758775826338029,-7.3870122334477495,1.103461308496484,7.119515463875891,6.200952224561971,8.60464389015225,11.391732242328182,6.984330999777764,3.7503739735544546,4.558419143440609,15.293124116772821,30,28,40,0,7,2,6,15,31,36,42,25,20,16,2,7,17,34,25,37,33,21,11,13,5,20,17,15,55,39,32,12,4,1,10,30,38,29,29,33,22,2,3,4,15
4,0.023065591369891694,-0.08863976589352983,0.02300301732425038,4.742447779834032,3.549138070328932,2.507840003627364,2.837021600677352,2.110080878240916,-9.708452929824109,-5.43870762033803,-7.37584443604775,0.3651329320461069,6.870826357575892,5.69145857186197,8.54373910135225,10.431007385583788,6.298456531881711,3.148559245945678,4.024610350757953,13.47162612858535,30,25,34,0,6,6,4,15,36,31,43,24,19,16,6,18,25,27,33,21,34,18,11,7,5,15,19,15,64,41,24,12,3,2,8,13,41,33,30,27,28,10,4,6,15
5,0.058364102362391625,-0.2605905331730298,-0.0536738662732496,4.890629862759453,3.4615275673121837,2.5180386906473315,3.2408796335311503,2.232023066575773,-9.635007711824109,-6.055050295738029,-7.37584443604775,0.3651329320461069,6.090812950375891,6.48845141576197,8.54373910135225,10.684922406360489,5.992789733853393,3.204213136788168,5.253090841478865,14.450093712120408,34,22,28,0,6,6,3,15,23,30,52,18,27,20,6,16,27,26,33,40,34,11,3,4,9,19,18,14,56,37,24,14,3,6,7,23,30,29,38,23,27,10,7,6,15
6,-0.04005850997110838,0.0007813153894701474,0.019178742611250382,5.067934693707389,3.422166285495491,2.658778084742416,3.369993756798919,2.110732567027911,-9.91038052892411,-6.5791680344380294,-7.10018109914775,0.8287036990077261,6.3641626206758914,6.859193058661971,7.76219868765225,10.684922406360489,5.8564133849015585,3.5345507571801456,5.6786128725159175,15.069577014597625,36,29,29,0,5,5,4,16,28,36,41,22,29,14,4,13,21,25,32,50,32,12,5,6,6,28,15,13,41,39,24,18,10,6,11,23,25,30,36,35,19,10,7,4,15
7,0.002920306278391639,0.22838746684947012,0.05335925094425037,5.159476798727492,3.4894365540683756,2.642256284673273,3.416528226046685,2.065227976373173,-10.597317815424109,-6.5791680344380294,-7.28441368564775,1.0040664466983653,6.5927403130758915,6.859193058661971,9.13644794785225,12.102256931538456,6.08808799652867,3.516839554454663,5.837756164517524,15.442683715500852,36,27,30,0,3,5,6,10,34,32,42,26,27,15,3,15,19,18,33,46,35,21,5,5,9,27,14,19,57,34,18,12,5,5,16,17,40,35,46,26,9,7,3,1,15
8,-0.09840272096110833,-0.05747071457252986,0.06620494719275043,5.209121529328976,3.6835154307273257,2.575482880451708,3.455263361191672,2.241130263358179,-10.597317815424109,-5.664214289038029,-7.309509188347749,1.2384378495139463,6.901457132075891,5.710168488861971,9.13644794785225,12.102256931538456,6.788984511949434,3.318207475266652,5.971613995113183,16.07880598232927,39,20,29,0,5,5,8,12,30,32,44,26,25,13,7,16,23,27,23,31,34,20,14,5,13,24,10,15,64,32,23,10,3,6,16,39,29,29,38,23,11,9,4,2,15
9,-0.06597679616810835,-0.16666167213352995,-0.04115634738124958,5.10279083174682,3.5663956057259103,2.4346655404601956,3.5563131787963544,2.299888249260682,-10.439624213524109,-6.634993705038029,-7.92199602344775,1.0378672708356897,6.901457132075891,4.701945040661971,8.57067137605225,11.448919629410101,6.36176527708685,2.977686203431341,6.3245286353052,15.663980115823394,40,19,29,0,5,5,5,13,28,39,44,21,28,12,1,10,15,20,26,27,40,34,14,13,10,20,18,8,41,50,27,12,9,5,16,32,35,21,31,30,17,12,3,3,15
