window,x1,x2,x3,x4,x5,y1,y2,y3,y4,y5,z1,z2,z3,z4,z5,user
0,11.535119636700003,10.337571525691818,20.586065629345907,18.312602016824048,37.553829099272406,1.1356296795000018,8.753172250744093,19.14033653884806,50.463813851465986,62.173228076854684,4.195782458800016,7.305462385412876,9.105717009395727,22.56197187984909,45.43639628774424,15
1,1.1924533323000075,1.9674888559881398,2.1135003081991672,6.272149035996635,19.200580366069563,15.7176741987,14.207868592341578,30.797993137643505,37.58650653824707,145.62177033577493,7.3113463929000035,7.7026125915137875,8.28335683761999,13.215004629678244,32.736541983232684,15
2,3.505730217999999,4.609522689424503,3.4337245430600136,4.678530409971621,18.019252870693837,16.131887286599998,18.49582817118099,35.90395058230832,31.226521473361405,133.86348614998658,6.8231661220999955,7.132633675392065,9.618202751324754,12.255832108497017,22.764266127054128,15
3,9.522505512000006,8.976103322486873,8.903717046707474,8.88972131280203,15.214981629942328,49.242509303000006,54.30431484432226,61.83350929970685,95.69454410684442,183.22369215308444,11.517276093800003,11.863923308595163,8.84547378752552,12.521085179268624,54.58039404952337,15
4,4.637126078800003,3.304728083482765,7.632483162184014,12.081984009691844,17.058301132227612,17.772204291100003,23.670650518950684,33.81259269869297,46.078736068733576,209.32835045185425,4.527169294399995,5.055732835148412,1.3255919759396557,18.137303732393455,35.080199778762534,15
5,11.696828277300005,13.35514961096433,13.01191183505107,15.90239111692714,10.024510049183938,52.162357747,52.87120607252163,63.385490615704505,73.0950124349723,173.78875229138663,10.808207425100004,11.169924237927363,13.37497336932383,21.013362507730587,44.99784485184994,15
6,7.987694189400004,7.3647677641748395,8.685164375857417,21.199705067204885,18.12446437773824,0.1120119655000047,8.314556686168633,37.15192291681172,31.337726928912403,143.80433281282902,3.7623143518000006,2.975846719876109,4.172491215583729,4.54401166716045,23.212754267736226,15
7,0.6080690605000019,1.5841025269681388,6.7651455170323525,9.51672055233585,6.088080274071566,45.6332422575,52.56633850952448,64.25128674903218,68.64989982126873,160.30540856324947,10.598416018400004,11.463554740770249,14.947414511023208,14.059054877540483,50.78261534885905,15
8,19.656536387400003,20.60509019727481,21.202358113910506,24.389488664201796,45.403546394901305,11.538394026899999,13.739380446548099,26.649073283928498,36.34114675591136,145.2449711179756,13.167555268100001,13.975046533758599,16.91692076571346,21.41686782362384,41.97200051412314,15
9,13.171351428799998,13.924944982007089,14.31338484396665,11.398729860451045,29.97992255557898,33.3765855391,36.40088006165163,32.977802085653856,52.884323634853914,124.55342252162481,8.304703646700002,9.076535108794989,9.51169870553339,15.22550169186834,42.816769302339885,15
10,23.248427430200003,23.193500216913783,24.52996691784493,21.035986342455683,30.51766873789612,31.8892811745,32.55956430574544,50.780972309324476,55.284297521262296,171.69270150130336,19.869387792900003,20.42492943295158,21.486183131874142,26.047733603079617,54.38262069158306,15
