user,FFT 5 FNMR,Nickel FNMR,Kwapisz FNMR
0,1.0,0.9745762711864406,0.07037582903463523
1,0.771186440677966,0.9915254237288136,0.023212969786293294
2,0.10169491525423724,0.27118644067796616,0.026529108327192335
3,1.0,1.0,0.09285187914517318
4,0.771186440677966,0.9745762711864406,0.0007369196757553427
5,0.7542372881355932,1.0,0.32792925571112747
6,0.788135593220339,1.0,0.006263817243920413
7,0.3813559322033898,0.0,0.9841562269712602
8,0.8728813559322034,0.8220338983050848,0.7468680913780398
9,0.6101694915254237,1.0,0.0
10,0.940677966101695,0.7796610169491526,0.0018422991893883567
11,0.17796610169491522,0.43220338983050843,0.0
12,0.3305084745762712,1.0,0.03795136330140015
13,0.39830508474576276,1.0,0.0007369196757553427
14,0.6864406779661016,0.211864406779661,0.391304347826087
15,1.0,1.0,0.5961680176860722
16,0.5593220338983051,1.0,0.01694915254237288
17,0.38983050847457623,1.0,0.6993367722918202
18,0.6779661016949152,0.025423728813559365,0.9716285924834193
19,0.8813559322033898,0.6949152542372881,0.0007369196757553427
20,1.0,0.9661016949152542,0.0007369196757553427
21,0.288135593220339,0.5932203389830508,0.8809874723655121
22,0.4491525423728814,0.864406779661017,0.00036845983787767134
23,0.8559322033898304,0.9915254237288136,0.005158437730287398
