window,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,mean_res_accel,x_tm_peaks,y_tm_peaks,z_tm_peaks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,user
0,0.006214602978999997,0.021523595500999984,0.05485173785399998,1.7845934503692933,1.3516301035217335,2.3108566963164665,3.552713678800501e-17,3.552713678800501e-17,3.552713678800501e-17,2.5349707503371404,25.0,2425.0,2350.0,3,7,6,18,104,40,14,4,2,2,1,11,16,66,73,16,10,4,2,1,5,8,30,60,57,22,9,4,2,3,16
1,0.029574921893000008,0.037805632739000054,-0.092434881814,2.7632059018957618,2.1253260004340655,2.5314936133334123,9.992007221626408e-18,9.992007221626408e-18,9.992007221626408e-18,3.781680744312753,25.0,4950.0,4950.0,3,4,5,15,28,49,53,34,6,3,1,2,2,1,22,67,67,24,7,7,9,17,21,47,62,28,10,3,1,2,16
2,-0.04243877084349999,-0.025787929810000058,-0.08073686461649997,2.943560782273747,2.145859579571473,2.5699567735309703,5.440092820663267e-17,5.440092820663267e-17,5.440092820663267e-17,3.9047903622007265,275.0,2150.0,2650.0,4,4,8,8,21,34,35,49,28,9,1,2,2,5,21,39,61,55,10,4,13,16,16,38,76,30,6,2,1,2,16
3,-0.0401477088475,0.017427877679,-0.011497365970000029,2.4657318764841087,1.6430665958722626,2.252987019685982,2.6645352591003756e-17,2.6645352591003756e-17,2.6645352591003756e-17,3.225469297981139,2700.0,2300.0,2775.0,4,3,6,8,24,41,46,39,18,11,4,7,20,22,28,39,34,28,14,4,8,9,9,8,17,72,42,20,7,8,16
4,0.08076086967599995,-0.0214207424475,0.055072198960500016,2.4878885500311037,1.3927470445071026,2.206071386798823,1.5543122344752193e-17,1.5543122344752193e-17,1.5543122344752193e-17,3.0799699461695194,25.0,2300.0,4150.0,1,3,3,6,21,34,74,41,13,4,2,6,14,21,33,57,25,22,12,8,3,15,10,15,92,43,11,7,2,2,16
5,0.05750712046249999,-0.043243780784499995,0.0037395912364999793,2.9564236240495037,1.5050137978659495,2.5811577476488634,2.831068712794149e-17,2.831068712794149e-17,2.831068712794149e-17,3.678088498933544,2475.0,2600.0,2450.0,1,5,5,10,23,27,64,46,12,7,5,11,17,40,60,31,19,13,3,1,6,19,13,16,73,50,11,3,4,5,16
6,-0.13816940953749993,-0.003434368594500039,0.021512616878000018,3.4480258234220913,1.693666477265879,3.1638911691388913,3.552713678800501e-17,3.552713678800501e-17,3.552713678800501e-17,4.41740239732725,825.0,25.0,3550.0,4,10,11,15,19,26,53,41,10,11,8,14,29,37,32,37,18,18,6,1,18,17,14,67,59,10,6,3,5,1,16
7,-0.123957876118,-0.017373748912,0.027489956766999987,3.5790184085421997,1.7050213238076821,3.244893756224127,2.2204460492503132e-17,2.2204460492503132e-17,2.2204460492503132e-17,4.592308207704441,25.0,2625.0,3600.0,7,8,16,18,21,43,46,23,13,5,5,14,22,38,22,38,24,18,12,7,10,22,11,43,78,18,9,4,4,1,16
8,0.05079265044150007,0.036492989448,-0.0213136093675,3.3973393422975406,1.929030599624041,2.959909334890127,1.0436096431476471e-16,1.0436096431476471e-16,1.0436096431476471e-16,4.4206217346728,2425.0,150.0,3525.0,7,5,17,22,20,46,44,22,10,7,5,11,21,33,31,28,26,23,12,10,6,19,14,26,58,53,13,5,5,1,16
9,0.06173701421200008,0.024309840813500044,-0.021176230099500017,2.9486563059802604,1.9318055918773973,2.6706023492192883,1.021405182655144e-16,1.021405182655144e-16,1.021405182655144e-16,3.938645712174311,1225.0,150.0,3650.0,4,10,11,22,28,47,41,24,8,5,5,13,21,31,26,26,35,21,13,9,8,20,14,42,63,38,10,2,2,1,16
10,0.03654418998799998,-0.04291238647899998,0.005019213214999973,2.555343438658267,1.6907145171113906,2.4766004750800894,0.0,0.0,0.0,3.5976230160044964,3850.0,150.0,25.0,4,5,9,20,20,33,38,42,15,14,10,23,25,30,19,30,34,10,15,4,5,18,10,16,38,56,37,10,6,4,16
11,0.039305751985000026,-0.007987158745499956,-0.0005611123130000422,2.9818645784724653,1.7495300636142284,2.946499279384447,1.1546319456101628e-16,1.1546319456101628e-16,1.1546319456101628e-16,4.119449400412848,425.0,1250.0,1175.0,4,9,10,16,19,30,44,40,14,14,8,24,35,25,22,32,25,13,10,6,8,18,12,19,61,54,15,6,4,3,16
12,-0.039184263681499985,-0.021658244834000025,-0.007121266732500067,3.318285639086727,1.9085648408455325,2.9875699421033977,8.881784197001253e-17,8.881784197001253e-17,8.881784197001253e-17,4.412737397287567,425.0,1375.0,1075.0,5,6,11,19,22,35,51,26,18,7,7,21,38,30,34,30,20,10,9,1,8,19,11,20,55,59,14,6,5,3,16
13,-0.09580592798400003,0.02342626745550001,0.03628953099199994,3.542793608953906,2.2591679120379964,3.1441810733016244,1.4654943925052067e-16,1.4654943925052067e-16,1.4654943925052067e-16,4.675877224003144,3050.0,4875.0,4425.0,7,6,9,16,26,31,47,32,19,7,3,16,40,36,38,34,16,10,4,3,6,13,19,28,55,47,16,11,1,4,16
14,0.06972514087050001,0.04245263555200002,-0.01311926176050006,3.2688996111151924,2.139644121259653,3.6577219537526906,4.662936703425657e-17,4.662936703425657e-17,4.662936703425657e-17,4.689591769588935,25.0,3325.0,2625.0,6,6,7,8,30,33,48,40,18,4,2,19,35,32,46,39,15,6,3,3,6,17,15,29,78,24,16,7,5,3,16
15,-0.012378600952499931,-0.026724106564499982,-0.0042067995295000426,3.2053498338860202,1.9966470517742658,4.118887011069772,1.0658141036401502e-16,1.0658141036401502e-16,1.0658141036401502e-16,4.938455286832935,25.0,1425.0,3775.0,2,8,6,8,25,36,44,40,23,8,2,2,17,23,31,34,35,31,18,7,11,21,15,36,82,16,6,4,5,4,16
