window,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,mean_res_accel,x_tm_peaks,y_tm_peaks,z_tm_peaks,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,user
17,-0.030619534495000017,0.014635817769999995,0.010083315100000012,0.7766467401157053,0.8002505983316421,1.477258956131562,1.8873791418627663e-17,1.8873791418627663e-17,1.8873791418627663e-17,1.6344619164605114,2450.0,450.0,3650.0,2,2,5,8,12,26,36,53,43,13,2,4,7,11,23,50,40,31,18,14,2,23,10,13,28,55,36,19,9,5,10
18,0.0048786180935000145,-0.015338582528999998,-0.012617596272499977,0.7909451187525193,0.8161793990080715,1.477664673517463,2.3314683517128286e-17,2.3314683517128286e-17,2.3314683517128286e-17,1.6248678495839348,25.0,1225.0,1750.0,2,3,8,21,34,47,65,17,2,1,4,7,7,7,36,55,37,26,13,8,3,17,13,11,30,68,29,19,8,2,10
19,0.024706517072499986,-0.014009017558000034,0.00672236145149999,0.7792498030178087,0.9065340635328112,1.4278023276078868,2.3869795029440865e-17,2.3869795029440865e-17,2.3869795029440865e-17,1.6467297614782492,3150.0,2525.0,4300.0,6,6,25,26,38,62,23,9,4,1,3,8,5,16,46,52,38,22,7,3,2,15,13,14,31,64,32,20,8,1,10
20,-0.01744473421549998,0.022073768423500027,0.015886268045000013,0.8507587525574192,0.8718148364305545,1.416112359868056,1.1102230246251566e-17,1.1102230246251566e-17,1.1102230246251566e-17,1.6665246235765787,2550.0,25.0,4775.0,2,6,7,9,28,35,57,37,11,8,2,4,6,20,46,47,41,25,6,3,5,9,14,19,30,58,28,20,13,4,10
21,-0.0433784821945,0.015206181117499997,0.003549175904499999,0.8859506394789675,0.7819368830228933,1.4464494443283917,3.3306690738754695e-17,3.3306690738754695e-17,3.3306690738754695e-17,1.6539469160066118,25.0,4125.0,3100.0,5,8,3,4,32,37,49,43,14,5,2,4,8,22,31,43,35,30,18,7,6,9,15,20,23,59,30,21,11,6,10
22,-0.012725486996000011,0.011139205470500006,-0.0016647543339999924,0.8453292595304089,0.7695458493998044,1.3876772117810978,6.661338147750939e-18,6.661338147750939e-18,6.661338147750939e-18,1.5920093772990966,1575.0,4200.0,3850.0,5,1,6,3,9,25,28,52,44,27,4,5,7,14,24,53,39,31,17,6,5,16,10,24,18,64,27,23,8,5,10
23,0.03529469079449996,-0.018574804033999987,0.0008921508150000413,0.806117493345372,0.6206645629668532,1.237163045850425,4.218847493575595e-17,4.218847493575595e-17,4.218847493575595e-17,1.3945727528934657,25.0,1250.0,25.0,2,1,4,8,24,29,51,45,30,6,4,3,3,23,44,48,41,21,9,4,4,9,13,17,33,73,27,13,5,6,10
24,0.0300891795515,-0.023188782343999993,-0.003860218173999997,0.7491472375157503,0.6719323862366038,1.239863501260517,5.551115123125783e-19,5.551115123125783e-19,5.551115123125783e-19,1.40199744842313,725.0,3775.0,2525.0,5,4,14,25,21,49,41,22,12,7,2,5,5,22,31,40,38,31,19,7,1,6,14,15,27,76,34,16,5,6,10
25,-0.007297835331500002,0.015443427187999993,0.0007152175140000039,0.84374777669749,0.796345703719467,1.4057850285459301,1.4432899320127036e-17,1.4432899320127036e-17,1.4432899320127036e-17,1.6391425229651937,4425.0,500.0,4925.0,2,3,5,6,30,25,51,55,17,6,4,9,9,23,39,33,31,35,12,5,1,9,17,17,27,55,36,23,10,5,10
26,-0.03564405853950001,0.015108420428999993,0.0026219463835000043,0.948888675158712,0.8380084939530539,1.4255776277842214,1.5543122344752193e-17,1.5543122344752193e-17,1.5543122344752193e-17,1.7342172590888096,2400.0,25.0,4500.0,2,6,8,18,16,24,51,52,18,5,3,6,6,16,40,47,28,28,15,11,13,13,15,21,38,44,27,17,7,5,10
27,-0.025812514828,0.006773354764000012,0.006522317529999987,0.9099706939712996,0.861407294570051,1.4287884957529502,3.3306690738754695e-18,3.3306690738754695e-18,3.3306690738754695e-18,1.7253822509879544,1850.0,4850.0,2475.0,3,5,13,16,16,34,63,34,11,5,2,9,9,16,32,47,35,21,17,12,8,15,12,16,35,56,26,19,7,6,10
28,0.011787675649,0.013677873846000041,0.013168325985499997,0.9644409726414871,0.9157751374170865,1.3625900805244475,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,1.7370106438738582,825.0,525.0,1225.0,4,5,10,22,26,41,40,38,9,5,9,15,17,31,38,48,20,12,7,3,3,16,13,17,30,50,34,22,11,4,10
29,0.02398549958649996,-0.001583357252499978,-0.0005333800330000272,1.000277698257368,0.9422170738710237,1.3850882888817944,4.3298697960381107e-17,4.3298697960381107e-17,4.3298697960381107e-17,1.804444797653482,825.0,3025.0,3925.0,6,6,18,23,24,28,44,36,9,6,5,9,24,35,34,42,25,14,8,4,3,21,9,13,30,48,32,19,17,8,10
30,0.006490118428000009,-0.011323822784499966,-0.028780357487500005,0.9050366435102135,0.8304879361686637,1.491685576615952,8.881784197001253e-18,8.881784197001253e-18,8.881784197001253e-18,1.7635414623962893,25.0,4400.0,2775.0,5,4,14,16,17,31,51,44,15,3,4,5,16,33,37,45,28,16,13,3,2,12,24,9,29,54,35,21,10,4,10
31,0.006861535619000016,0.0014107411815000347,-0.04058731092850003,0.9070836827325885,0.7718149457733001,1.5443249096717124,5.2735593669694933e-17,5.2735593669694933e-17,5.2735593669694933e-17,1.758413335276664,25.0,25.0,25.0,4,5,10,16,16,34,48,49,16,2,3,6,6,8,25,40,53,33,16,10,3,15,20,9,28,55,33,23,9,5,10
32,0.008861535069000009,0.008065773231999994,-0.050806630140500006,0.9334326129704464,0.8488281275466286,1.6782777962897826,2.2204460492503132e-17,2.2204460492503132e-17,2.2204460492503132e-17,1.8809782541032924,25.0,2650.0,1250.0,5,4,12,27,30,51,50,17,2,2,5,6,8,15,35,61,34,25,8,3,16,14,10,24,49,43,22,17,4,1,10
33,0.012463190485999993,0.013860043201999996,-0.03784474418250001,0.9382084012329435,0.890583540241708,1.7110878968819752,5.551115123125783e-19,5.551115123125783e-19,5.551115123125783e-19,1.9042617929234902,25.0,175.0,2950.0,2,6,4,9,39,48,63,23,3,3,4,6,10,24,34,46,35,27,9,5,11,17,9,21,37,50,29,19,5,2,10
34,0.003524678056500014,-0.024580509826499994,0.03218699744,0.9605376324660151,0.8790664710096465,1.5748024922763348,2.5604518505417672e-17,2.5604518505417672e-17,2.5604518505417672e-17,1.8132793239059621,625.0,1625.0,2775.0,2,7,4,9,20,35,63,43,12,5,6,5,15,38,44,37,30,16,5,4,5,8,16,18,32,51,32,21,12,5,10
35,-0.0030515131705,-0.05137290641299997,0.09031758040450004,0.851432832381912,0.8458919520656399,1.562671444651149,5.689893001203927e-18,5.689893001203927e-18,5.689893001203927e-18,1.7649137175120413,1600.0,4400.0,3025.0,5,3,6,8,19,45,46,36,21,11,4,8,13,37,46,42,28,13,6,3,6,13,16,20,34,43,30,22,10,6,10
36,-0.0027492057355000023,-0.04682989737349996,0.005305128839999975,0.7952815323328977,0.8427865045782519,1.674573739924928,5.273559366969494e-18,5.273559366969494e-18,5.273559366969494e-18,1.8393974062187224,2375.0,1200.0,2400.0,5,3,7,10,16,41,56,42,14,6,8,8,7,32,34,39,27,25,10,10,3,10,21,11,25,40,35,31,15,9,10
37,0.005433503819999991,-0.001466622530000018,-0.045431191793499935,0.8539691821385854,0.8770273806215504,1.718142105116528,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.9006329128364272,3750.0,4300.0,4100.0,5,3,9,14,18,29,54,40,23,5,8,7,7,28,40,33,25,26,12,14,8,11,18,10,26,43,38,24,14,8,10
38,0.0004859026005,0.030102409017999984,-0.013779440547500013,0.8864601129186901,0.7804921037523187,1.671175955669188,7.771561172376097e-18,7.771561172376097e-18,7.771561172376097e-18,1.8316181708888521,25.0,2900.0,1725.0,5,4,6,18,21,25,42,40,31,8,5,8,8,21,44,40,21,24,16,13,7,9,21,13,26,54,34,23,7,6,10
39,-0.016151314007999993,0.007791059186499968,-0.013328439419500009,0.9248277685303689,0.7880396624891645,1.5580061165769126,8.326672684688674e-18,8.326672684688674e-18,8.326672684688674e-18,1.773996950369968,25.0,2525.0,4150.0,2,4,4,10,18,28,41,47,35,11,3,3,6,10,29,59,33,31,14,12,3,5,25,19,26,58,34,18,5,7,10
40,-0.003578490651499987,-0.007108292711499997,0.0036948841570000053,0.9188357191253909,0.833978461260134,1.5275726741252889,1.2212453270876722e-17,1.2212453270876722e-17,1.2212453270876722e-17,1.7584958260958663,2600.0,4400.0,4175.0,3,4,3,6,13,31,31,41,46,22,3,3,8,14,36,39,40,28,14,15,3,11,19,18,25,57,39,17,6,5,10
41,0.012057260934,0.0007934658804999966,0.012523202168500036,0.8938413288176039,0.7846875302961653,1.5913862020810465,3.053113317719181e-17,3.053113317719181e-17,3.053113317719181e-17,1.7730083156359375,2900.0,2950.0,4850.0,3,5,3,4,13,33,35,45,46,13,3,9,13,29,32,36,27,28,12,11,5,13,17,18,21,58,37,18,8,5,10
42,0.021997338233999995,0.018491276272999988,0.02396876668250001,0.9413248437429196,0.80607218743489,1.57838135880631,2.2620794126737563e-17,2.2620794126737563e-17,2.2620794126737563e-17,1.7970572313326547,2100.0,2925.0,2250.0,4,3,5,5,13,32,33,53,39,13,4,8,4,24,31,39,32,32,17,9,5,8,22,15,31,58,41,10,6,4,10
43,-0.018748690273999995,0.026523952518000014,0.029251294830499982,0.9785947584440041,0.834534020223629,1.5806945273859838,2.2204460492503132e-17,2.2204460492503132e-17,2.2204460492503132e-17,1.8251193639790668,2100.0,4750.0,4900.0,5,1,5,9,13,19,42,53,42,11,4,8,6,20,37,35,26,33,20,11,6,6,22,13,30,56,50,9,3,5,10
44,-0.039476270009500006,0.0329749122385,0.015598984790000015,0.9626281317687988,0.8257479777124563,1.5777259686960579,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,1.795208658268778,2450.0,4225.0,175.0,5,4,3,8,9,21,34,57,48,11,6,10,13,36,50,23,33,22,5,2,8,10,15,18,23,57,44,14,6,5,10
45,0.013758200882999973,-0.017537650806500018,-0.0021202354860000005,0.815054126415145,0.7108485106868427,1.327806404234862,4.218847493575595e-17,4.218847493575595e-17,4.218847493575595e-17,1.4783201551688583,1200.0,25.0,600.0,4,2,2,7,11,27,45,52,34,16,2,8,16,49,56,33,19,13,1,3,3,5,15,21,32,64,38,8,10,4,10
46,0.029485508846000003,-0.02986233903150001,-0.02443118583500002,0.7210515666811184,0.6741759711482309,1.124086518785271,1.4710455076283325e-17,1.4710455076283325e-17,1.4710455076283325e-17,1.3135023043700123,1325.0,1225.0,2550.0,4,6,15,21,60,53,27,11,2,1,5,3,11,28,39,59,29,17,8,1,8,11,14,29,55,46,21,6,7,3,10
