20,19,3,25,z_abs_diff,y_abs_diff,4,16,y_std,x_tm_peaks,x_std,1,18,y_tm_peaks,13,23,10,26,21,15,14
14,12,23,31,2.55351295663786e-17,2.55351295663786e-17,28,48,1.2269040797610575,1050.0,1.2784724344579108,7,16,4725.0,17,41,6,28,17,40,22
8,7,28,31,2.5257573810222312e-17,2.5257573810222312e-17,59,51,1.4024605336988158,1075.0,1.2897702672003777,9,17,1675.0,7,44,1,35,10,42,21
12,9,42,42,2.6645352591003762e-17,2.6645352591003762e-17,49,47,1.5919285452148144,1075.0,1.1557600716192538,12,16,3700.0,8,40,3,27,7,31,20
11,7,36,33,2.331468351712829e-17,2.331468351712829e-17,41,57,1.4944490548217568,25.0,1.08970195739887,11,18,3900.0,10,53,10,26,13,37,17
8,5,20,30,3.885780586188048e-18,3.885780586188048e-18,41,41,1.331919846870206,25.0,1.1397585124860383,8,17,3925.0,14,49,7,26,12,53,25
12,3,13,38,5.0862092315639997e-17,5.0862092315639997e-17,43,44,1.3755666893863965,1775.0,1.1080750840803542,6,18,600.0,12,42,6,22,12,54,15
13,15,20,39,5.440092820663267e-17,5.440092820663267e-17,50,57,1.2717060160231022,2150.0,1.2237839063197158,6,19,3175.0,13,48,2,20,13,24,9
12,17,28,36,1.2212453270876722e-17,1.2212453270876722e-17,44,63,1.255088649156164,25.0,1.2623371859683017,7,23,575.0,8,48,4,11,16,26,13
12,14,29,37,4.440892098500626e-18,4.440892098500626e-18,43,47,1.3763184969542506,25.0,1.221900401852558,9,21,1100.0,8,42,7,11,16,40,16
4,2,24,32,3.774758283725533e-17,3.774758283725533e-17,37,39,1.387050482028169,25.0,1.3511678948915322,4,17,1825.0,10,39,1,38,9,70,19
8,4,24,34,1.27675647831893e-17,1.27675647831893e-17,29,42,1.4669085254118222,25.0,1.3609756372279511,3,6,1025.0,14,48,1,30,11,68,27
12,2,19,45,2.6645352591003762e-17,2.6645352591003762e-17,29,36,1.52753624202271,25.0,1.2291688539848558,5,4,3525.0,10,31,10,25,15,72,26
15,12,24,43,1.3183898417423733e-17,1.3183898417423733e-17,34,65,1.5500654927248825,25.0,1.201655337971858,5,16,425.0,12,31,7,18,13,13,11
13,8,9,31,1.665334536937735e-18,1.665334536937735e-18,30,60,1.497611957343581,2125.0,1.2248989382099085,5,11,2450.0,18,41,4,27,14,42,10
