25,y_abs_diff,3,19,20,24,8,15,14,13,11,9,21,5,2,28,16,4,z_abs_diff,z_std,x_std
47,8.881784197001254e-18,7,2,3,52,33,32,62,44,2,12,5,28,5,1,16,17,8.881784197001254e-18,2.1405187611770127,1.916597734303105
43,4.6629367034256567e-17,7,2,5,69,20,26,54,48,11,11,7,35,10,3,13,18,4.6629367034256567e-17,2.257372046387354,2.495927331278432
74,1.8873791418627666e-17,18,3,4,30,12,32,61,40,2,2,6,40,7,10,26,31,1.8873791418627666e-17,2.2722804476345684,2.6962999387707147
74,6.661338147750939e-18,18,3,1,25,9,61,58,19,6,3,7,53,4,7,34,34,6.661338147750939e-18,2.152471888870203,2.598719388942484
34,3.1086244689504386e-17,7,2,6,69,14,42,63,29,4,11,11,31,6,4,37,21,3.1086244689504386e-17,1.9480632501404544,2.5683362311234825
38,3.1086244689504386e-17,9,5,6,80,18,17,30,31,32,14,15,18,6,9,21,18,3.1086244689504386e-17,2.145411152444911,2.718056809999597
47,2.6437185773886537e-17,11,4,4,68,18,45,45,37,2,11,12,21,7,9,21,17,2.6437185773886537e-17,2.264220397783489,2.766084741729481
61,1.1102230246251566e-17,10,2,4,51,19,29,45,53,15,5,6,30,7,10,14,22,1.1102230246251566e-17,2.2779242248022817,2.900985884296997
63,1.3322676295501878e-17,9,2,3,18,20,28,41,59,12,6,5,35,8,10,13,21,1.3322676295501878e-17,2.233841478279404,2.949119813876796
29,2.220446049250313e-17,10,6,2,76,19,30,46,46,5,17,21,26,8,6,18,16,2.220446049250313e-17,2.2830390733549546,2.9378361753999758
35,7.771561172376094e-17,19,5,4,68,18,26,47,54,7,4,19,25,8,5,21,19,7.771561172376094e-17,2.4811488087364584,3.2109157093860987
59,4.773959005888173e-17,19,2,6,42,16,26,32,47,25,5,12,24,11,7,15,21,4.773959005888173e-17,2.3893859007530662,3.234066166156929
41,9.992007221626408e-18,17,3,6,70,13,26,30,35,23,5,15,26,9,5,18,28,9.992007221626408e-18,2.392342628268886,3.304617490921168
