9,16,21,22,x_tm_peaks,mean_res_accel,15,10,25,23,x_abs_diff,3,17,13,2,z_tm_peaks,24,6,26,y_abs_diff,z_std
15,20,19,12,375.0,4.245945947150597,31,3,53,16,1.6653345369377348e-16,10,21,34,13,1150.0,64,37,10,1.6653345369377348e-16,3.41914478527856
19,20,16,18,25.0,4.770592037575684,26,5,53,10,1.2545520178264268e-16,11,21,34,6,3600.0,68,36,12,1.2545520178264268e-16,3.94095296819224
16,18,10,22,25.0,4.457487545170711,23,6,49,11,1.1102230246251566e-17,6,24,34,7,3725.0,75,35,14,1.1102230246251566e-17,3.5711537968370948
1,13,12,21,25.0,3.802914227244335,18,5,45,11,0.0,22,16,36,7,1200.0,79,45,13,0.0,2.9653576340929804
3,22,19,18,25.0,4.115926071317279,41,3,46,20,7.660538869913581e-17,13,18,32,12,2425.0,73,34,6,7.660538869913581e-17,3.1965738558702625
3,21,8,18,325.0,3.995136887160613,44,3,65,18,8.049116928532384e-18,15,17,34,9,4975.0,64,45,15,8.049116928532384e-18,2.872837630670756
13,16,1,11,2275.0,3.474940681659332,20,3,42,13,2.220446049250313e-17,11,11,48,7,1300.0,16,55,72,2.220446049250313e-17,2.423601824926504
13,16,12,18,3825.0,3.54527278395745,21,9,79,6,4.329869796038111e-17,5,21,38,6,2450.0,24,57,37,4.329869796038111e-17,2.5894249102715565
17,24,13,19,2550.0,3.711946222757705,25,15,85,9,6.550315845288423e-17,6,22,23,2,3675.0,29,57,23,6.550315845288423e-17,2.741175792704994
23,30,15,19,1650.0,3.786326896246859,25,10,74,14,4.510281037539698e-17,9,20,21,2,25.0,49,45,12,4.510281037539698e-17,2.799512738197446
27,28,17,11,825.0,4.247762892655194,33,2,73,13,5.995204332975846e-17,6,14,36,8,1200.0,39,35,22,5.995204332975846e-17,3.2481431746764087
10,19,14,15,650.0,4.75869008774032,29,6,58,9,2.6645352591003762e-17,10,20,38,5,3575.0,21,42,50,2.6645352591003762e-17,3.607108227078672
13,22,17,11,650.0,4.723793410385508,33,10,68,8,1.9984014443252817e-17,9,14,28,3,2375.0,16,31,46,1.9984014443252817e-17,3.5945050350533982
10,38,10,9,25.0,4.089748425693153,39,2,71,10,3.9968028886505634e-17,3,23,29,6,3600.0,17,41,46,3.9968028886505634e-17,3.069437315555558
20,17,8,11,400.0,3.567721693593291,36,6,65,5,2.220446049250313e-17,13,8,43,4,2700.0,55,50,24,2.220446049250313e-17,2.4169401743503878
9,21,8,12,25.0,3.57550288176672,45,4,45,7,1.1990408665951691e-16,5,11,40,4,2600.0,6,60,61,1.1990408665951691e-16,2.4993644076525032
13,27,17,11,25.0,3.917699086582705,54,4,57,9,1.1990408665951691e-16,7,17,28,7,2425.0,24,53,52,1.1990408665951691e-16,2.905221236093101
7,36,16,11,1225.0,4.361830457388579,57,3,64,12,4.6629367034256567e-17,22,28,18,8,3625.0,44,26,27,4.6629367034256567e-17,3.262737348584024
7,35,9,12,1225.0,3.766077028995245,38,3,35,29,2.6645352591003762e-17,22,14,28,5,2425.0,74,37,17,2.6645352591003762e-17,2.815965688898538
9,16,12,13,875.0,3.3919748640803475,32,7,59,17,1.2101430968414207e-16,11,15,38,5,4150.0,50,41,16,1.2101430968414207e-16,2.1068014903872805
10,24,11,15,875.0,3.520960912209551,31,7,60,15,2.220446049250313e-17,9,21,28,7,4025.0,50,39,21,2.220446049250313e-17,2.259562861080039
4,29,6,19,3150.0,3.151503601473556,41,8,47,25,4.5519144009631415e-17,23,13,33,10,1200.0,58,25,24,4.5519144009631415e-17,2.1140336445064003
7,36,18,13,25.0,3.424691449191984,30,4,45,36,7.105427357601002e-17,15,23,33,7,1275.0,53,40,13,7.105427357601002e-17,2.236167226576643
9,32,17,10,25.0,3.608370057772041,44,3,49,22,1.3322676295501878e-17,16,23,33,5,1300.0,58,44,19,1.3322676295501878e-17,2.2845252327994725
5,34,3,9,625.0,3.2094894570532206,47,3,53,16,3.552713678800501e-17,23,23,24,9,1250.0,28,32,48,3.552713678800501e-17,1.8080870649593943
6,32,9,16,25.0,3.548814587013473,28,14,42,37,7.327471962526034e-17,16,18,20,9,4025.0,71,41,9,7.327471962526034e-17,2.27238824949782
