6,23,9,25,z_tm_peaks,y_mean,x_tm_peaks,14,12,y_std,z_std,x_abs_diff,y_abs_diff,z_abs_diff,0,3,x_mean,18,17,20,16
17,28,4,19,3375.0,0.0119301682025,25.0,46,5,0.7757903481556895,1.5566110604976109,3.4416913763379846e-17,3.4416913763379846e-17,3.4416913763379846e-17,4,16,0.0335072136234999,2,6,2,21
43,36,9,25,3575.0,0.0375313401274999,25.0,74,21,1.2077695647982738,2.097698652186521,1.8873791418627666e-17,1.8873791418627666e-17,1.8873791418627666e-17,1,18,0.0087955920305,0,8,3,12
27,39,14,24,4425.0,0.029277914352,1700.0,48,34,1.3176111666853931,2.3580049000725465,5.995204332975846e-17,5.995204332975846e-17,5.995204332975846e-17,3,18,0.0122131739059999,4,6,7,10
24,24,15,42,4175.0,-0.0072129851825,1700.0,22,56,1.2684959413032038,2.4452758672478785,2.942091015256665e-17,2.942091015256665e-17,2.942091015256665e-17,2,15,-0.0415172468424999,4,4,3,8
24,24,17,41,3600.0,-0.0166005688809999,25.0,10,70,1.364149099043773,2.378434900680674,1.7763568394002505e-17,1.7763568394002505e-17,1.7763568394002505e-17,2,15,-0.0430157999334999,3,6,2,3
32,60,19,11,4825.0,-0.016010701041,25.0,14,60,1.4363107544408409,2.368418969598808,5.662137425588297e-17,5.662137425588297e-17,5.662137425588297e-17,2,13,0.0432287849274999,6,3,8,4
31,64,15,17,1800.0,-0.0273248776105,25.0,12,56,1.373396022521768,2.389163799958482,3.774758283725533e-17,3.774758283725533e-17,3.774758283725533e-17,1,7,0.0147093226939999,5,4,9,4
28,64,14,17,4800.0,-0.0676291424184999,2075.0,7,54,1.4395010647877766,2.419000449531917,8.881784197001254e-18,8.881784197001254e-18,8.881784197001254e-18,3,20,-0.0423933805169999,5,3,23,3
41,61,9,15,1175.0,-0.0366462319529999,25.0,6,49,1.5302462401688952,2.4490974898802347,1.27675647831893e-17,1.27675647831893e-17,1.27675647831893e-17,2,18,-0.0136857029839999,4,3,24,4
41,55,6,11,4275.0,0.0178702983015,3575.0,5,63,1.5262878215957505,2.458828006326365,4.996003610813205e-17,4.996003610813205e-17,4.996003610813205e-17,3,13,0.0394757718859999,4,3,29,2
27,50,10,17,2225.0,-0.0051774194635,25.0,2,50,1.5429977012061715,2.601615798083724,1.9984014443252817e-17,1.9984014443252817e-17,1.9984014443252817e-17,2,13,-0.023004164127,5,4,27,3
38,41,10,33,2400.0,0.0087746244154999,675.0,6,36,1.553343201668351,2.575126767108807,2.775557561562892e-17,2.775557561562892e-17,2.775557561562892e-17,4,13,-0.0298425361645,2,4,6,5
48,52,11,24,1200.0,0.0099026311419999,2550.0,17,51,1.3985723076834091,2.3060810472578286,6.661338147750939e-18,6.661338147750939e-18,6.661338147750939e-18,2,15,0.0130295431779999,2,4,4,4
45,54,7,15,3550.0,0.0687863541484999,2400.0,20,61,1.4038270762159135,2.1924435811528182,8.881784197001254e-18,8.881784197001254e-18,8.881784197001254e-18,2,12,0.0446085975245,7,6,13,8
48,44,6,16,3500.0,0.0825238661705,25.0,28,45,1.5345317986568858,2.2340805860937327,2.331468351712829e-17,2.331468351712829e-17,2.331468351712829e-17,5,17,-0.0166026594039999,7,5,9,6
47,58,4,5,3775.0,-0.0185257007914999,2325.0,21,55,1.4477746125319049,2.324983827331021,4.9404924595819467e-17,4.9404924595819467e-17,4.9404924595819467e-17,3,17,-0.0139729509909999,5,6,19,7
34,63,8,9,4800.0,-0.056230779055,2400.0,14,55,1.3622091106379792,2.308198754692559,1.8873791418627666e-17,1.8873791418627666e-17,1.8873791418627666e-17,6,19,0.0525362266044999,5,11,17,3
28,64,8,8,2975.0,-0.043166244035,2400.0,13,54,1.4541527475251863,2.1602380083829007,3.1086244689504386e-17,3.1086244689504386e-17,3.1086244689504386e-17,7,17,-0.0223610665875,4,7,15,7
27,61,7,14,2325.0,-0.0540041644935,2325.0,17,57,1.5396001510842106,2.1780065378283626,3.552713678800501e-17,3.552713678800501e-17,3.552713678800501e-17,4,19,-0.0510413544655,3,4,22,6
36,57,6,15,1150.0,-0.0151856587809999,1150.0,16,51,1.5059508687356462,2.156265637551983,4.996003610813205e-17,4.996003610813205e-17,4.996003610813205e-17,2,18,0.028201475289,4,4,22,5
19,52,13,14,4250.0,0.0313179577444999,2875.0,11,64,1.4447157864077762,2.1654370812017354,1.5543122344752193e-17,1.5543122344752193e-17,1.5543122344752193e-17,3,21,0.0293780145245,9,2,20,5
28,47,10,15,4725.0,-0.0090755736914999,3650.0,10,68,1.3642054640416414,2.21588967926554,1.6653345369377347e-17,1.6653345369377347e-17,1.6653345369377347e-17,5,18,-0.026809137589,6,4,22,6
28,53,9,9,4875.0,-0.021590538323,2450.0,14,64,1.3368294493693498,2.24643283697202,2.55351295663786e-17,2.55351295663786e-17,2.55351295663786e-17,2,16,-0.0400713591059999,6,10,16,6
26,44,10,6,1225.0,0.0038202430689999,1200.0,15,64,1.3646760556221886,2.2650949826364344,1.9984014443252817e-17,1.9984014443252817e-17,1.9984014443252817e-17,3,17,0.0035648051065,10,7,18,6
56,58,4,17,2350.0,0.084823050498,25.0,15,62,1.589690800624537,2.327368651445138,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,7,24,0.054362412532,8,11,12,6
51,59,5,12,4775.0,0.099408741539,25.0,17,57,1.5942784521310212,2.3568924850652837,1.8873791418627666e-17,1.8873791418627666e-17,1.8873791418627666e-17,6,18,0.0273118823149999,9,8,10,5
37,54,12,4,4300.0,0.0229635302065,2425.0,17,43,1.3805168483032513,2.241738070587741,7.91033905045424e-18,7.91033905045424e-18,7.91033905045424e-18,3,13,0.0175388985355,6,8,20,3
41,60,16,14,650.0,-0.00774611336,3375.0,16,59,1.4070921286613594,2.183951765683449,2.220446049250313e-17,2.220446049250313e-17,2.220446049250313e-17,3,17,-0.026714694064,6,9,20,7
