25,mean_res_accel,24,3,17,9,10,23,22,19,5,x_std,4,y_std,z_abs_diff,z_mean,y_abs_diff,21,y_tm_peaks,12,7
28,3.37816108872153,58,25,58,2,2,33,21,32,39,1.9584107282827237,31,1.2003702251611617,8.604228440844962e-17,-0.0681500555769999,8.604228440844962e-17,19,1200.0,1,31
34,3.4590645422607342,64,28,76,2,1,28,19,19,43,1.8729941849247091,41,1.3332172524198471,5.551115123125783e-17,-0.0846149750985,5.551115123125783e-17,20,3800.0,1,4
44,3.5803444468158854,56,37,57,2,2,28,17,27,47,1.86105389719308,40,1.575787229214505,6.994405055138485e-17,0.0681586881624999,6.994405055138485e-17,14,3100.0,3,6
41,3.339818395848825,57,11,65,4,1,27,12,28,31,1.6904432602298944,25,1.5014140731663397,8.881784197001254e-18,0.0719252244765,8.881784197001254e-18,14,4725.0,5,42
60,3.1155097342839047,30,13,49,3,3,17,19,18,34,1.5942902091862534,25,1.3760618048675162,5.440092820663267e-17,-0.070308998101,5.440092820663267e-17,17,1550.0,5,35
49,3.1216907983215383,44,23,53,3,3,22,18,9,32,1.3727936785922223,42,1.3307753395694366,1.2212453270876722e-17,-0.0586463870324999,1.2212453270876722e-17,20,3725.0,5,14
38,3.127417203556945,59,26,53,3,3,25,16,17,30,1.2734224254981767,41,1.322632121448916,1.6653345369377347e-17,0.0765948029795,1.6653345369377347e-17,16,4275.0,3,21
59,3.0767718252012908,44,17,50,10,1,22,9,4,29,1.4733136541930274,24,1.316607088674029,8.881784197001254e-18,0.0709186194855,8.881784197001254e-18,16,3725.0,4,31
58,3.2782501267020425,42,15,50,23,2,19,13,7,26,1.6442040335557642,20,1.380851301181877,7.13318293321663e-17,-0.0651568364854999,7.13318293321663e-17,20,125.0,4,39
52,3.4785850275172603,37,17,61,2,3,18,15,21,38,1.6433705242733936,38,1.5805571899805335,2.997602166487923e-17,-0.0551137281934999,2.997602166487923e-17,20,1600.0,3,23
51,3.418023731549505,38,18,65,2,3,21,12,21,45,1.5855670893438891,43,1.5726427874837003,3.552713678800501e-17,0.0516563343495,3.552713678800501e-17,14,4225.0,3,14
48,3.3049458807478285,47,13,65,9,1,27,12,18,43,1.5367929498006796,26,1.4108247565218537,2.5812685322534888e-17,0.0776200915645,2.5812685322534888e-17,16,4575.0,2,20
51,3.4182948583945403,43,10,57,12,4,23,13,17,42,1.5243945482231822,25,1.4178076639553396,1.7763568394002505e-17,-0.0316614805039999,1.7763568394002505e-17,17,475.0,2,28
44,3.3590407352378837,52,43,56,1,4,31,15,11,26,1.7867789839383794,72,1.4868588594803518,4.218847493575595e-17,-0.0452892765184999,4.218847493575595e-17,12,900.0,2,0
50,3.3278989565072514,42,53,59,1,3,32,12,12,27,2.007883113575676,47,1.501874079364906,2.997602166487923e-17,0.0366349419979999,2.997602166487923e-17,13,3550.0,2,2
39,3.0243062714509388,54,35,59,1,2,29,12,6,42,1.7526953975168595,54,1.398914617096888,2.886579864025407e-17,-0.0375322992344999,2.886579864025407e-17,16,4575.0,5,13
35,2.731897572822269,69,17,51,3,1,23,13,4,47,1.4829472514602062,25,1.2633313910757669,9.992007221626408e-18,0.0534574889469999,9.992007221626408e-18,16,1750.0,6,31
30,3.0987613750871925,62,14,58,13,2,36,12,36,25,1.6752432324643842,24,1.238751104223355,1.7763568394002505e-17,-0.0143430272774999,1.7763568394002505e-17,17,1275.0,1,37
39,3.302840052740062,52,11,67,12,3,29,13,25,35,1.6823770508536855,24,1.3480095249337558,2.1371793224034264e-17,0.0091863204974999,2.1371793224034264e-17,22,1525.0,2,42
45,3.2931395383302093,49,20,62,7,2,31,13,24,33,1.4964859994357462,29,1.4710762205883283,7.216449660063518e-18,-0.0031201421305,7.216449660063518e-18,23,4200.0,4,26
42,3.1008043035101043,62,13,64,11,2,30,11,16,40,1.4458806854086277,23,1.4229282423380156,8.43769498715119e-17,-0.045478195792,8.43769498715119e-17,16,3475.0,4,30
57,2.792446701394645,45,20,71,7,2,10,11,3,34,1.3206446014326945,26,1.2281002206184,6.439293542825906e-17,0.0623885202585,6.439293542825906e-17,19,4850.0,3,26
50,2.658307613488109,53,14,59,10,1,17,13,7,28,1.369770421112782,35,1.1373984691226864,8.881784197001254e-18,0.0260941019549999,8.881784197001254e-18,16,1900.0,4,35
51,2.6347513599186074,55,20,39,8,3,22,19,6,31,1.3841884376524043,37,1.1757031805597138,7.771561172376098e-18,-0.0060317018739999,7.771561172376098e-18,8,25.0,4,33
51,2.6946379353070067,56,28,51,3,3,18,14,8,30,1.260133828803661,30,1.2641260997901218,4.5519144009631415e-17,-0.08023589583,4.5519144009631415e-17,17,1575.0,6,26
47,3.029683935980145,57,18,48,14,4,25,11,11,31,1.4352500650142563,30,1.2744414520019685,4.4964032497318837e-17,0.006407362712,4.4964032497318837e-17,23,1300.0,12,29
42,3.135240503268952,51,37,42,3,3,29,20,9,35,1.6979488981921067,29,1.219076593534299,3.5110803153770567e-17,0.034100650334,3.5110803153770567e-17,17,3850.0,8,23
30,2.9928196744170634,64,44,42,3,3,34,25,12,28,1.6300595777294398,35,1.2615591090155347,1.4988010832439614e-17,-0.0630274440199999,1.4988010832439614e-17,20,3725.0,1,14
39,3.043517899808789,59,13,53,7,2,34,16,14,53,1.4400565262180824,26,1.2292347894029765,2.220446049250313e-17,0.0711825338155,2.220446049250313e-17,11,4825.0,1,33
46,3.0922476368875373,49,13,40,5,2,21,14,10,46,1.523452127657202,36,1.0977469287745734,7.771561172376098e-18,-0.0143842255044999,7.771561172376098e-18,11,1550.0,5,31
49,3.074730196935394,41,22,51,3,1,23,14,13,31,1.424523918154781,57,1.1502580293031206,9.159339953157542e-18,-0.0231540399745,9.159339953157542e-18,14,1525.0,2,27
