24,x_tm_peaks,6,21,16,x_std,z_tm_peaks,17,y_std,x_abs_diff,3,1,15,y_mean,4,8,13,7,9,19,2
61,2150.0,29,14,3,3.271867377732849,3000.0,6,2.652972107240959,1.1102230246251563e-16,16,5,7,0.064050662631,23,30,43,30,14,5,20
67,3625.0,37,16,0,3.2136350510541933,4650.0,6,2.5474961647705188,8.548717289613706e-17,18,5,3,-0.10982688488,25,26,57,28,14,4,13
57,750.0,31,16,2,3.3218273726209904,1075.0,5,2.421033543547329,7.882583474838611e-17,21,7,4,-0.1078706537385,19,30,49,28,22,2,11
64,25.0,34,19,3,3.3222764726010805,150.0,6,2.465903160571184,1.887379141862766e-16,19,4,8,0.0524785376785,25,32,43,29,12,1,19
68,725.0,35,10,3,3.340182372448336,2725.0,4,2.419468432472818,1.1546319456101628e-16,16,4,6,0.0817275025324999,27,27,34,31,14,3,17
68,3900.0,32,12,0,3.4079757427063435,600.0,6,2.421834064758769,1.176836406102666e-16,20,10,7,-0.1317724054584999,19,27,25,28,20,3,16
55,1750.0,31,13,1,3.298942555011146,4200.0,6,2.707577722144671,1.9984014443252817e-17,24,9,7,0.0378974042739999,21,23,40,26,24,2,14
58,1050.0,38,12,4,3.24123658532576,4550.0,4,2.583746810378424,2.4424906541753444e-17,28,6,6,0.1065332517664999,24,29,53,26,8,3,12
58,25.0,25,15,2,3.436573546392897,2025.0,5,2.2827165829679057,2.220446049250313e-17,23,11,7,-0.1046161586635,25,21,39,33,7,3,20
53,25.0,26,16,2,3.2945411065330856,4350.0,4,2.764689136639864,1.7763568394002505e-17,22,10,5,0.0356279007189999,28,25,38,32,3,5,18
52,25.0,30,13,3,3.313953914879089,450.0,2,2.612841670481823,7.327471962526034e-17,21,8,5,-0.0155750236114999,34,6,47,30,1,4,25
56,25.0,24,15,5,3.6304312511475856,3150.0,2,2.326452921876769,5.10702591327572e-17,24,17,8,0.0231439745274999,23,6,47,33,4,1,21
48,25.0,28,16,3,3.3645701765952394,4675.0,3,2.53397079622347,5.2180482157382354e-17,29,12,6,0.1014785257575001,30,2,30,34,3,3,17
49,700.0,33,16,2,3.09156014136815,3225.0,5,2.4608456652105124,4.884981308350689e-17,19,4,1,-0.0945560768915,21,26,16,25,22,4,17
56,700.0,33,13,2,3.0217765062070154,2175.0,3,2.516237240506776,1.0880185641326534e-16,16,3,5,-0.0969225793054999,23,28,28,28,18,3,18
51,2225.0,36,14,6,2.8806225281304148,2800.0,1,2.701533678950882,4.6629367034256567e-17,17,4,4,0.0557238005379999,25,25,43,31,13,4,21
57,2175.0,33,12,3,2.9760699826248667,1250.0,2,2.5021101468005726,3.552713678800501e-17,19,4,6,0.0718700305294999,21,31,49,31,16,3,14
61,25.0,31,10,2,3.052549192163452,3550.0,3,2.36640413907498,1.9984014443252817e-17,20,6,5,-0.0730251773085,16,30,47,30,20,2,11
55,1075.0,30,15,3,3.0216703086418297,2175.0,6,2.493273243926852,1.0658141036401501e-16,20,9,5,0.043329277728,20,28,46,29,16,3,14
61,2275.0,29,23,4,2.9126079931998907,800.0,4,2.513846787214006,1.7763568394002506e-16,23,11,6,0.0820189897444999,26,24,59,30,8,2,15
66,25.0,35,21,3,2.600139417472,3525.0,6,2.494111815662688,8.215650382226157e-17,19,2,5,-0.0410959252255001,30,18,64,32,4,2,13
65,2175.0,41,14,4,2.836032079948392,650.0,3,2.301934518303476,1.7763568394002505e-17,21,8,4,-0.069448042593,15,28,66,39,8,2,3
61,1075.0,38,13,2,3.1092693149960766,2125.0,4,2.589473885554445,1.1102230246251563e-16,22,8,8,0.0750701345979999,19,31,51,33,13,7,6
67,25.0,35,11,2,3.227989156344768,2225.0,6,2.64553330635383,1.7541523789077474e-16,21,6,7,0.0408853480814999,30,18,43,27,5,8,15
63,25.0,31,16,5,3.402511252186708,4750.0,2,2.3632082998675528,5.773159728050814e-17,21,10,3,-0.1347505329134999,31,22,44,29,5,4,18
60,375.0,28,16,5,3.290215128397008,925.0,3,2.402337311476068,2.4424906541753444e-17,19,8,5,0.026429210705,22,23,35,39,16,3,18
68,375.0,36,14,4,3.403880325005434,4250.0,2,2.383240228440514,8.881784197001253e-17,16,6,5,0.0673618383319999,22,23,24,33,20,3,18
63,2125.0,34,19,3,3.3271289942866105,4875.0,3,2.391524239917044,1.021405182655144e-16,16,7,4,-0.096972082113,25,30,43,30,26,4,11
61,25.0,36,18,3,3.197068509989553,2675.0,5,2.5483864485720384,1.4654943925052067e-16,22,4,3,0.0504133457895,22,27,40,37,9,4,14
61,25.0,37,13,3,3.108350346587313,4325.0,6,2.52358587617475,7.993605777301127e-17,21,5,4,0.051042056398,22,26,28,30,10,7,17
58,25.0,34,18,6,3.331399876484448,1775.0,4,2.177659601106431,1.0436096431476471e-16,24,8,8,-0.0898100181545,24,20,40,32,3,2,17
54,25.0,32,18,7,3.3155538268235123,4425.0,1,2.2721911336772016,8.215650382226157e-17,26,8,8,-0.0045558318274999,23,21,50,32,3,2,19
61,1050.0,36,12,3,3.063186016759101,2100.0,3,2.6375142455827865,1.7763568394002505e-17,24,3,5,0.062680746103,26,25,41,34,16,6,10
65,25.0,35,11,4,3.3267232324081326,650.0,5,2.473173351675199,3.663735981263017e-17,30,5,3,0.009110221153,29,13,28,22,2,6,14
58,25.0,36,14,3,3.2678783329860237,3175.0,6,2.345572052798369,1.7763568394002505e-17,29,7,1,-0.1167954652015,23,10,39,24,2,6,15
45,3250.0,41,19,7,2.993984736868992,3875.0,3,2.6088182825433703,5.939693181744588e-17,23,6,2,0.0517528906815,22,28,33,34,8,4,11
60,1075.0,36,14,5,3.030129836538213,2800.0,3,2.460422367716196,6.217248937900877e-17,27,5,2,0.0685785458855,15,34,22,26,14,2,10
58,1825.0,32,13,5,3.213530486984202,1700.0,2,2.146096984897117,2.220446049250313e-17,24,6,1,-0.1214091980565,16,31,28,30,18,1,12
49,1050.0,30,15,4,3.240416169902033,825.0,2,2.3758339075923685,9.325873406851316e-17,21,6,4,0.0634649473285,22,26,39,35,19,3,15
59,2450.0,31,14,4,3.431551026526636,3425.0,2,2.317004470174966,0.0,19,5,5,0.0283137083889999,23,30,40,28,21,1,15
62,25.0,33,18,1,3.603825799375404,1700.0,6,2.246635435954241,1.3322676295501878e-17,18,7,6,-0.0132643094655,18,25,55,31,4,4,21
59,25.0,32,17,2,3.4316180106345184,4675.0,5,2.405324092931991,6.88338275267597e-17,24,10,7,0.0964546057935,20,24,42,29,4,5,18
68,2450.0,31,15,4,3.4207567918254846,4550.0,2,2.2509281681999367,4.440892098500626e-18,25,8,2,-0.0811411875709999,17,27,44,25,16,5,15
69,25.0,33,14,7,3.3460396965185635,2125.0,2,2.410458830953546,2.020605904817785e-16,27,9,2,0.0220044888939999,14,29,44,30,13,6,19
59,1025.0,29,13,4,3.1987043372740915,1550.0,5,2.2401172011665187,1.6764367671839864e-16,17,10,6,0.0461258068849999,18,27,48,31,14,3,25
62,1025.0,34,16,1,3.155426884432096,4575.0,7,2.0297195587924657,4.329869796038111e-17,22,7,5,-0.0978058592589999,15,22,47,35,11,2,19
56,25.0,41,15,5,3.258920530078313,4325.0,3,2.385920069498672,8.881784197001254e-18,22,6,3,0.0649335969985,22,13,32,28,7,5,23
60,25.0,32,14,4,3.29527178104088,4525.0,2,2.443164736173564,5.551115123125783e-17,23,10,4,0.0810925888154999,25,18,53,29,6,5,24
67,25.0,27,22,5,2.94027211311168,2925.0,1,2.276371376851249,8.215650382226157e-17,20,11,3,-0.054763552919,28,31,49,30,13,3,14
48,1400.0,21,22,2,2.8498924976410485,4275.0,5,2.2550266682046933,1.5543122344752193e-17,21,6,17,-0.1316788577675,23,35,54,30,14,6,15
45,4025.0,26,16,5,2.985626566701071,4525.0,6,2.680362838499421,6.88338275267597e-17,17,7,5,0.0297158680045,29,35,57,23,22,2,13
62,1100.0,32,14,6,2.981121018106508,4375.0,5,2.545007890775236,6.439293542825906e-17,11,9,4,0.0988151260574999,33,33,63,28,19,2,9
69,3300.0,31,14,4,3.043247562833295,1375.0,3,2.306461837745382,5.10702591327572e-17,11,9,4,-0.0776246207795,29,32,61,36,15,2,6
61,1125.0,27,18,4,3.131877727813469,4300.0,5,2.488694801959332,6.550315845288423e-17,15,8,7,-0.0051104079824999,26,25,50,37,22,4,14
57,1475.0,35,15,4,2.946291734092197,4700.0,4,2.1994671562486965,1.8318679906315084e-17,17,7,5,0.0565982825805,25,16,38,29,16,3,18
63,1475.0,39,12,5,2.87696133190836,525.0,4,2.1830338924621238,1.5543122344752193e-17,20,5,2,-0.003163804877,23,19,45,30,12,4,15
70,3375.0,37,15,5,3.0289400142086094,2875.0,4,2.321164078725593,1.0880185641326534e-16,16,5,3,-0.066052255993,22,35,42,24,19,5,13
57,1450.0,37,19,5,3.1416641642845917,4425.0,8,2.201054688862789,6.217248937900877e-17,18,7,4,-0.0090995086915,22,29,46,26,19,3,14
50,775.0,37,20,6,3.032639199559466,3600.0,3,2.1030211103512664,1.9984014443252817e-17,28,9,6,0.0926273759309999,17,34,46,24,14,3,11
54,1150.0,35,22,5,2.6432372600377008,1950.0,4,1.9983919042237563,9.15933995315754e-17,17,8,4,0.0138677979139999,26,34,44,29,7,5,11
46,25.0,38,19,3,2.276243499569359,2475.0,4,1.9498145830585216,5.773159728050814e-17,14,4,9,-0.0062237479275,28,28,50,31,2,4,11
57,1100.0,38,18,0,2.4192895143384523,4150.0,5,2.0585727133755998,1.1102230246251566e-17,23,5,10,-0.0062613884224999,19,29,40,30,8,6,7
60,3400.0,37,17,4,2.8370017020175387,4075.0,4,2.386264566439604,5.3290705182007506e-17,20,8,1,-0.094170690778,18,32,21,30,20,2,6
