5,x_mean,19,3,20,x_abs_diff,14,25,x_std,y_mean,8,z_abs_diff,21,11,27,1,15,26,23,mean_res_accel,6
51,0.0018143805225,4,22,6,1.2212453270876722e-17,43,42,1.41011747129747,-0.0326105137055,5,1.2212453270876722e-17,29,21,4,7,13,7,36,2.9690326984364166,41
32,0.0217437180365,2,21,22,2.4424906541753444e-17,46,18,1.6215156340096288,0.01050095048,6,2.4424906541753444e-17,24,19,3,14,22,7,45,2.925236161250916,42
29,-0.040192196565,3,35,41,2.942091015256665e-17,33,7,1.5391745565697508,-0.013510537834,3,2.942091015256665e-17,15,22,3,17,8,2,27,2.8738553923516394,34
43,0.04566689358,2,25,4,2.1094237467877975e-17,19,25,1.717007831472505,0.0150691678489999,6,2.1094237467877975e-17,34,29,2,6,11,7,44,3.035820710710866,37
40,-0.011465985346,3,31,7,1.6930901125533637e-17,30,38,1.916997569053603,0.0359435505064999,7,1.6930901125533637e-17,21,21,3,8,11,9,43,3.1729990173691287,31
25,-0.0062690800644999,4,25,3,5.10702591327572e-17,32,49,1.826819145117819,-0.0292148740509999,20,5.10702591327572e-17,28,18,2,6,10,4,46,3.0561460349743688,36
45,-0.0151031915899999,3,23,16,1.3322676295501878e-17,30,14,1.843552127963608,-0.041256014071,6,1.3322676295501878e-17,26,18,3,16,9,2,52,3.0359005861138324,27
42,-0.0359301007165,3,23,9,2.4424906541753444e-17,24,20,1.7855051153613144,-0.0179605817055,4,2.4424906541753444e-17,36,32,2,14,7,3,45,3.1150782513683613,33
29,0.071439534039,2,22,12,4.884981308350689e-17,20,22,1.71103432137854,0.0444637589195,20,4.884981308350689e-17,34,38,5,8,9,3,43,3.1359501390563618,30
39,-0.0092510460059999,2,25,3,4.5519144009631415e-17,22,42,1.7024733751078294,0.030939633607,23,4.5519144009631415e-17,27,35,5,7,9,9,41,3.129231902898601,27
21,-0.0175610805429999,4,18,3,9.992007221626408e-18,19,40,1.58878301015792,-0.0015212170609999,28,9.992007221626408e-18,23,32,2,5,5,7,39,2.951855041406469,43
51,0.023584149634,4,28,4,1.9984014443252817e-17,20,50,1.6377199709153856,-0.0224028566144999,0,1.9984014443252817e-17,27,33,3,12,11,8,39,2.843997753730396,38
49,-0.0503368595285,4,27,5,1.1102230246251566e-17,28,51,1.7493300809381216,-0.0145023038215,2,1.1102230246251566e-17,7,16,5,18,12,7,28,3.0156947662987728,37
43,0.0064527168544999,3,25,3,4.996003610813204e-18,53,46,1.7098658845743715,-0.0083623692275,3,4.996003610813204e-18,7,19,5,16,15,3,47,2.844183856156393,43
42,0.024438371709,3,32,6,9.992007221626408e-18,53,42,1.485994758906517,-0.0371007223875,1,9.992007221626408e-18,23,22,1,15,19,10,48,2.6419504363862147,26
43,0.0278592364089999,2,29,6,1.4432899320127036e-17,22,34,1.2596649398714674,0.0072151543594999,7,1.4432899320127036e-17,26,41,6,5,11,10,38,2.6275523945655594,30
33,-0.00683437923,2,28,7,2.220446049250313e-18,25,33,1.3447437762883747,0.0500290970285,7,2.220446049250313e-18,31,38,6,10,11,7,39,2.6261473179781047,32
32,-0.0439095228435,2,20,16,2.220446049250313e-17,26,7,1.388899627664986,0.0162568782169999,27,2.220446049250313e-17,29,26,6,15,15,5,69,2.858288458345626,27
39,0.0318735113465,2,16,18,3.4416913763379846e-17,17,7,1.2777426546309134,-0.022503527064,22,3.4416913763379846e-17,24,21,2,9,13,6,69,2.871599845625336,28
42,-0.0179859977074999,6,14,23,3.1086244689504386e-17,29,26,1.240262790861152,0.005010241045,24,3.1086244689504386e-17,22,13,3,11,17,3,48,2.7513896420148765,29
23,-0.0215506519289999,6,9,33,4.4061976289810904e-17,44,9,1.2351962195166868,-0.0158431794999999,32,4.4061976289810904e-17,22,13,2,10,16,2,47,2.882606055895045,40
24,0.045093280747,5,4,35,1.6028844918025698e-17,32,9,1.2321609712496566,0.0107620754569999,31,1.6028844918025698e-17,19,16,3,11,20,3,43,2.945127329330545,50
25,-0.013945506609,5,10,24,1.2490009027033013e-17,36,27,1.346226304107478,0.0244164945574999,28,1.2490009027033013e-17,18,17,4,9,22,2,49,2.904041203391486,50
47,-0.008992831311,5,15,22,4.0523140398818207e-17,36,23,1.4328533323454555,-0.026267863271,6,4.0523140398818207e-17,18,17,2,16,14,4,53,2.86596543889711,39
42,-0.0230212453269999,3,17,20,3.774758283725533e-17,31,23,1.408939304577196,0.0032977337944999,5,3.774758283725533e-17,23,15,2,18,16,5,54,2.7360589366040773,34
44,-0.0217374558705,2,20,7,2.8727020762175923e-17,19,48,1.4815685881897551,0.0015541816214999,2,2.8727020762175923e-17,28,22,4,14,16,6,30,2.9037839727881347,35
45,0.0545575603859999,2,17,8,2.997602166487923e-17,18,48,1.4941079787272975,-0.0083987706839999,4,2.997602166487923e-17,28,27,7,14,15,10,26,3.182273850515056,37
47,-0.0043074293079999,2,17,7,3.9968028886505634e-17,43,48,1.478658474225364,0.0369940547315,4,3.9968028886505634e-17,23,18,7,15,18,10,30,3.0516107520768,39
47,-0.021347092863,5,22,4,4.440892098500626e-18,45,49,1.6527704883086214,0.0049301459565,7,4.440892098500626e-18,22,14,4,11,26,6,38,2.89832408466084,35
37,0.03792703434,1,27,2,9.436895709313833e-18,48,55,1.7935884679708485,-0.0362481868874999,13,9.436895709313833e-18,25,15,5,13,9,4,37,2.944735345129352,26
29,-0.0460714188309999,2,30,13,6.522560269672795e-17,39,27,1.732947226043593,-0.002427188521,10,6.522560269672795e-17,31,16,1,11,9,5,50,2.999229480186837,24
26,-0.024910457938,2,20,16,1.1657341758564145e-17,29,25,1.6387869826718289,-0.0053721128535,31,1.1657341758564145e-17,33,16,3,8,11,3,53,3.037869046491754,27
22,0.05951963955,5,17,3,1.7763568394002505e-17,32,40,1.5747177420191425,-0.0300971516659999,32,1.7763568394002505e-17,28,22,2,9,11,4,34,3.056790945092948,29
21,0.0361479279985,7,15,2,5.35682609381638e-17,27,44,1.5412316027801036,0.0430883461285,28,5.35682609381638e-17,26,23,1,9,14,7,35,3.027548917989039,35
30,-0.0244782685295,2,29,4,5.551115123125783e-17,23,19,1.672137645995895,0.0423378820634999,17,5.551115123125783e-17,38,36,3,7,9,3,56,3.0073958387957744,41
