4,11,15,25,y_mean,x_std,y_std,z_abs_diff,z_std,x_abs_diff,14,19,0,2,5,x_tm_peaks,y_tm_peaks,16,12,22,9
19,37,4,50,-0.0565778739415,3.3365461401794256,2.262504218600471,0.0,3.5395822435066804,0.0,22,8,11,16,21,25.0,3575.0,8,49,12,15
16,33,5,43,-0.007428613612,3.474773604817962,2.118297197139626,1.1990408665951691e-16,3.657898857739938,1.1990408665951691e-16,31,5,5,16,28,3475.0,3500.0,9,45,13,14
14,39,8,38,-0.0588583103795,3.5513798580082754,2.1114150783076258,9.547918011776346e-17,4.027096144663168,9.547918011776346e-17,23,2,8,13,28,25.0,75.0,3,59,11,15
16,10,18,46,0.0814940194124999,3.459218006760327,2.42018727916053,1.3322676295501878e-17,4.223026801449227,1.3322676295501878e-17,38,6,9,10,19,3425.0,2375.0,7,38,14,22
17,11,23,48,0.1132765893185,3.448980293744679,2.405447253270752,1.3684366140243044e-16,3.892162160597448,1.3684366140243044e-16,35,5,9,15,20,25.0,4625.0,5,34,14,17
20,34,19,47,-0.0719363127734999,3.6038048265977305,2.013749339748669,1.1990408665951691e-16,3.7579667881576144,1.1990408665951691e-16,23,6,12,19,18,3425.0,3925.0,7,46,15,20
25,35,17,52,-0.0416046988859999,3.326954170832072,1.863355081812987,9.048317650695024e-17,3.4871087034037456,9.048317650695024e-17,24,3,7,16,21,25.0,2800.0,15,39,13,9
29,23,22,71,-0.0504081890239999,2.83697754650188,1.7872251296421782,5.10702591327572e-17,3.306841905857941,5.10702591327572e-17,21,5,5,12,33,25.0,2400.0,13,46,13,3
27,18,27,76,0.04126092112,2.988005676828673,1.8676406114292752,1.0658141036401501e-16,3.2501330627059297,1.0658141036401501e-16,23,6,6,14,38,25.0,25.0,12,38,17,3
17,24,18,47,-0.0139925714224999,3.3299503335582044,2.057790284431211,1.3322676295501878e-17,3.4655088003465777,1.3322676295501878e-17,34,5,12,18,29,25.0,3500.0,13,36,13,4
13,23,13,45,0.012726201339,3.30156815199385,2.143601832782324,3.3306690738754695e-17,3.75028902561704,3.3306690738754695e-17,38,8,9,16,24,3175.0,1200.0,9,38,11,13
15,34,9,40,0.1071842391494999,3.343599179526738,2.021245750746755,4.884981308350689e-17,3.5790402872216496,4.884981308350689e-17,23,7,9,17,23,1475.0,4700.0,6,42,10,16
21,39,7,35,-0.0153204493414999,3.091093929809804,2.04039539294697,5.3290705182007506e-17,3.3684304024482947,5.3290705182007506e-17,27,6,9,12,28,3525.0,25.0,8,39,13,11
23,38,8,34,-0.0650834687465,2.7687806580585206,2.0884060797589536,1.8873791418627666e-17,3.200512654036011,1.8873791418627666e-17,23,5,3,7,26,25.0,1150.0,9,44,12,5
28,44,10,36,-0.0587861371239999,2.7552461683134872,1.8624679787335785,3.9968028886505634e-17,3.113507317304816,3.9968028886505634e-17,27,2,2,12,30,25.0,1275.0,10,45,10,4
