y_tm_peaks,y_std,z_abs_diff,22,9,x_abs_diff,18,1,y_abs_diff,4,24,7,z_std,mean_res_accel,x_tm_peaks,z_mean,19,23,6,0,10
1000.0,2.4089202934153597,6.661338147750939e-18,14,6,6.661338147750939e-18,13,27,6.661338147750939e-18,20,63,26,4.514731927014282,6.240542458302907,950.0,-0.178168175482,5,16,23,10,10
3100.0,2.5478177282921246,8.826273045769995e-17,17,8,8.826273045769995e-17,18,25,8.826273045769995e-17,20,76,23,4.208897238026478,5.913338893301205,2850.0,0.0014518099865,4,16,31,6,12
1925.0,2.3070575352371856,1.1546319456101628e-16,12,6,1.1546319456101628e-16,16,26,1.1546319456101628e-16,25,78,20,4.040507655404872,5.596915332960856,975.0,0.113319659745,11,25,25,14,9
4100.0,2.195562173555859,2.1538326677728039e-16,8,4,2.1538326677728039e-16,16,20,2.1538326677728039e-16,26,70,23,3.966151382821237,5.640015316223318,3800.0,0.0499007178614999,4,22,24,32,13
1100.0,2.193691473277061,9.2148511043888e-17,7,2,9.2148511043888e-17,29,30,9.2148511043888e-17,26,71,16,3.8801381429517057,5.637020913175668,1925.0,0.0009899386704999,5,26,27,17,8
1250.0,2.3115493010304777,8.881784197001253e-17,9,3,8.881784197001253e-17,23,28,8.881784197001253e-17,28,73,16,4.046629414317206,5.813805066661389,950.0,-0.0841021482719999,11,16,27,17,8
25.0,2.479924808299479,1.8651746813702632e-16,11,5,1.8651746813702632e-16,16,30,1.8651746813702632e-16,25,76,27,3.95958645670069,5.887819167080463,2825.0,0.121105209011,4,12,20,14,11
4000.0,2.3248433298278828,1.3100631690576846e-16,12,7,1.3100631690576846e-16,12,27,1.3100631690576846e-16,23,79,27,4.08866135950355,5.868361682624602,950.0,0.0273115704885,4,18,24,11,13
25.0,2.257550881833221,1.7763568394002505e-17,9,6,1.7763568394002505e-17,29,20,1.7763568394002505e-17,21,78,27,4.1229193588714494,5.8675007310577465,925.0,-0.149334868494,11,19,17,27,10
3125.0,2.450047158073572,1.2434497875801754e-16,8,6,1.2434497875801754e-16,9,15,1.2434497875801754e-16,25,76,30,3.784863626212605,5.702433409549948,2850.0,0.073826362549,3,21,13,29,18
4925.0,2.3406807977471504,1.7763568394002506e-16,10,5,1.7763568394002506e-16,13,23,1.7763568394002506e-16,27,69,23,3.927169497928142,5.7146840380017725,1875.0,0.023344616354,2,22,23,24,13
4450.0,2.2900495375063983,9.325873406851316e-17,9,3,9.325873406851316e-17,12,24,9.325873406851316e-17,21,68,27,4.0269453547187535,5.699985889192818,2825.0,-0.1823467292925,2,28,30,12,15
4750.0,2.389170144699532,2.6645352591003762e-17,11,2,2.6645352591003762e-17,10,25,2.6645352591003762e-17,21,82,22,3.827122632836535,5.553192792887062,3775.0,0.0459816445365,3,24,32,11,17
3875.0,2.229956609071264,1.7763568394002506e-16,14,4,1.7763568394002506e-16,10,25,1.7763568394002506e-16,22,76,23,4.102400040307884,5.848477586438574,925.0,0.1085785980639999,2,20,23,19,13
