8,z_tm_peaks,2,20,12,17,5,7,27,x_abs_diff,z_mean,y_abs_diff,z_abs_diff,14,9,19,16,10,11,x_std,28
30,1550.0,16,1,46,8,19,43,8,3.802513859341162e-17,-0.0023360295184999,3.802513859341162e-17,3.802513859341162e-17,24,6,2,8,17,34,1.1018128014754616,7
13,4025.0,15,11,55,5,20,44,6,2.4424906541753444e-17,-0.0049729706104999,2.4424906541753444e-17,2.4424906541753444e-17,18,3,1,11,17,38,1.158110139016035,8
16,2925.0,18,6,62,2,22,51,7,2.0816681711721684e-18,-0.1062857700969999,2.0816681711721684e-18,2.0816681711721684e-18,18,3,1,10,18,32,1.1478897107561696,6
34,550.0,20,6,54,7,20,48,9,3.552713678800501e-17,-0.021064888593,3.552713678800501e-17,3.552713678800501e-17,28,6,3,8,15,24,1.209135193892725,8
25,25.0,17,10,57,5,24,45,8,2.775557561562892e-18,0.0010080220649999,2.775557561562892e-18,2.775557561562892e-18,21,7,2,9,14,35,1.208865017886444,8
38,3575.0,11,11,49,9,26,37,8,2.55351295663786e-17,-0.011945715425,2.55351295663786e-17,2.55351295663786e-17,23,9,7,5,16,36,1.1514786196165674,7
39,1000.0,8,2,48,9,22,38,6,8.881784197001254e-18,0.0125543826944999,8.881784197001254e-18,8.881784197001254e-18,24,7,5,7,8,28,1.2004424539500993,10
37,875.0,10,2,53,5,20,33,7,2.775557561562892e-17,0.0010538358634999,2.775557561562892e-17,2.775557561562892e-17,25,8,2,9,7,41,1.1614188261134055,8
9,3025.0,16,2,54,5,26,41,7,8.656270145124268e-18,-0.0053408229649999,8.656270145124268e-18,8.656270145124268e-18,25,5,2,4,7,37,1.0559758801272772,9
7,25.0,12,1,50,2,35,42,14,5.8286708792820724e-18,0.001951789906,5.8286708792820724e-18,5.8286708792820724e-18,23,3,5,13,14,30,1.1655931486644624,9
5,3200.0,13,1,56,6,33,44,8,2.6645352591003762e-17,0.0130861744825,2.6645352591003762e-17,2.6645352591003762e-17,30,2,5,7,13,29,1.1796885145644382,8
33,2575.0,20,3,43,6,22,54,6,1.2212453270876722e-17,0.0021360334919999,1.2212453270876722e-17,1.2212453270876722e-17,26,4,5,10,17,46,1.1374865302033452,9
31,3150.0,16,2,43,5,17,46,7,7.771561172376098e-18,0.0582317497604999,7.771561172376098e-18,7.771561172376098e-18,18,3,5,12,20,44,1.1751248855688767,9
36,2525.0,9,2,38,6,24,34,9,1.9984014443252817e-17,0.0146790336714999,1.9984014443252817e-17,1.9984014443252817e-17,16,10,5,7,22,45,1.1192441171661496,8
39,2150.0,8,2,42,8,29,33,9,2.8310687127941486e-17,0.0208095084565,2.8310687127941486e-17,2.8310687127941486e-17,27,8,5,11,19,37,1.0972131266983198,9
36,4550.0,13,2,46,8,28,42,6,3.885780586188048e-17,0.005552568442,3.885780586188048e-17,3.885780586188048e-17,30,6,4,9,20,39,1.0574842892319694,11
30,2175.0,12,4,46,8,31,41,7,2.220446049250313e-18,0.0335247919405,2.220446049250313e-18,2.220446049250313e-18,25,4,2,11,19,42,1.1469307703349698,9
1,4625.0,17,7,52,7,45,14,9,1.1102230246251568e-18,0.0073699114245,1.1102230246251568e-18,1.1102230246251568e-18,18,1,2,6,21,48,1.343266953362739,7
1,3650.0,25,7,56,7,38,9,7,2.775557561562892e-17,0.0051204369484999,2.775557561562892e-17,2.775557561562892e-17,11,1,2,7,22,49,1.316873117665724,9
40,3525.0,18,9,38,8,19,48,9,3.663735981263017e-17,-0.000587298723,3.663735981263017e-17,3.663735981263017e-17,26,11,6,10,28,37,1.209669373030509,7
34,4125.0,10,12,30,5,24,47,13,2.206568261442499e-17,-0.0135751842149999,2.206568261442499e-17,2.206568261442499e-17,15,8,2,10,39,48,1.1069210417163888,5
19,3525.0,12,3,35,9,36,38,11,2.0729945537922847e-17,0.0033707895444999,2.0729945537922847e-17,2.0729945537922847e-17,14,2,2,7,32,55,1.090946713351722,9
20,2925.0,16,5,47,7,26,42,8,2.220446049250313e-17,-0.0040385796114999,2.220446049250313e-17,2.220446049250313e-17,28,2,4,11,10,33,1.1582031078472872,8
33,1500.0,13,4,47,8,21,49,10,4.440892098500626e-18,-0.0217474132215,4.440892098500626e-18,4.440892098500626e-18,34,7,4,7,12,30,1.1879627137350497,4
41,4050.0,14,2,49,6,24,41,16,3.552713678800501e-17,-0.083217794443,3.552713678800501e-17,3.552713678800501e-17,31,5,5,5,9,33,1.1941168335652936,6
56,4475.0,13,1,59,6,23,31,16,2.220446049250313e-17,-0.0106679799349999,2.220446049250313e-17,2.220446049250313e-17,19,8,2,7,7,34,1.1290015440646897,6
19,550.0,19,10,58,8,16,54,7,6.661338147750939e-18,-0.0162326064114999,6.661338147750939e-18,6.661338147750939e-18,22,4,3,6,13,23,1.1231536488417897,4
12,3000.0,20,3,65,5,19,46,6,4.6629367034256567e-17,-0.0008172329699999,4.6629367034256567e-17,4.6629367034256567e-17,14,6,2,8,11,35,1.2020794492717828,9
12,4150.0,20,5,59,8,32,35,10,3.552713678800501e-17,-0.0013083324825,3.552713678800501e-17,3.552713678800501e-17,20,5,2,8,10,43,1.1864380306035271,11
26,3875.0,14,5,45,6,19,43,14,9.992007221626408e-18,-0.001212891609,9.992007221626408e-18,9.992007221626408e-18,31,9,6,12,14,39,1.129061194163148,8
8,550.0,13,2,48,5,28,45,14,2.997602166487923e-17,-0.011386937992,2.997602166487923e-17,2.997602166487923e-17,25,3,4,12,20,35,1.1461052298369865,7
6,2975.0,19,19,49,8,20,53,10,5.551115123125783e-17,0.0029121816589999,5.551115123125783e-17,5.551115123125783e-17,16,3,2,7,19,42,1.1930999271201608,4
6,175.0,18,12,51,8,13,45,9,9.992007221626408e-18,0.0327442736939999,9.992007221626408e-18,9.992007221626408e-18,13,1,3,7,16,44,1.2480883807590577,7
7,1975.0,24,11,45,9,11,56,11,2.220446049250313e-17,0.0130047662744999,2.220446049250313e-17,2.220446049250313e-17,20,5,3,8,12,34,1.3404081977168922,7
11,4625.0,20,14,55,4,14,47,9,3.9968028886505634e-17,-0.004511375887,3.9968028886505634e-17,3.9968028886505634e-17,21,5,4,8,16,41,1.3210815707993464,6
31,4525.0,14,5,43,6,18,48,7,3.3306690738754695e-18,-0.0207971786815,3.3306690738754695e-18,3.3306690738754695e-18,12,5,2,6,22,60,1.1862580641041418,8
33,2125.0,10,3,56,5,17,52,8,1.3322676295501878e-17,-0.0464985544585,1.3322676295501878e-17,1.3322676295501878e-17,34,10,5,8,10,25,1.2125826682615213,6
23,4575.0,19,16,59,7,18,55,9,2.7200464103316335e-17,0.006846153666,2.7200464103316335e-17,2.7200464103316335e-17,14,6,2,10,18,30,1.2636980341049926,8
16,3000.0,17,15,58,8,19,55,10,7.216449660063518e-18,0.0538247844335,7.216449660063518e-18,7.216449660063518e-18,21,5,2,8,14,36,1.2587563112417317,7
5,4575.0,20,8,54,7,24,30,10,4.218847493575595e-17,0.0151806594414999,4.218847493575595e-17,4.218847493575595e-17,25,1,4,8,12,39,1.3160298267211257,5
7,2575.0,23,8,54,4,23,35,10,2.6645352591003762e-17,-0.0040704206164999,2.6645352591003762e-17,2.6645352591003762e-17,17,1,4,8,15,38,1.306650336611562,6
43,4550.0,9,1,41,9,25,37,13,1.665334536937735e-18,-0.0070888868799999,1.665334536937735e-18,1.665334536937735e-18,30,7,3,10,5,26,1.1788776645124,8
30,4125.0,9,3,50,11,31,47,11,2.1649348980190556e-17,0.0094967519969999,2.1649348980190556e-17,2.1649348980190556e-17,33,8,3,12,5,26,1.1091520198598857,10
32,3525.0,9,2,45,10,23,42,9,1.3322676295501878e-17,-0.007410493799,1.3322676295501878e-17,1.3322676295501878e-17,27,15,7,10,11,31,1.1703448379489538,11
41,4575.0,12,20,39,7,24,40,10,3.608224830031759e-17,0.0055408273679999,3.608224830031759e-17,3.608224830031759e-17,37,15,6,8,11,31,1.1563165275796656,9
