18,0,z_std,23,12,26,6,x_tm_peaks,17,22,14,25,20,21,10,15,27,x_abs_diff,x_mean,z_tm_peaks,x_std
10,8,3.075073389218182,30,45,6,28,2425.0,2,34,23,27,25,24,13,14,4,8.770761894538737e-17,0.08579651515,3325.0,2.2972316059122035
5,9,3.083179057646652,43,45,8,31,2775.0,10,18,17,47,6,24,18,14,6,2.6645352591003762e-17,0.0479449083449999,2175.0,2.367196359316746
4,9,2.9969723600572697,32,47,20,30,25.0,9,16,14,56,9,21,22,12,3,4.1078251911130785e-17,-0.073780055254,1075.0,2.426063271802135
3,7,3.024397056354555,34,39,9,26,1625.0,8,18,25,61,9,30,18,12,4,8.881784197001254e-18,-0.006391178739,3300.0,2.3509351414854587
5,6,3.0627725507330794,46,49,2,26,900.0,6,13,22,57,10,30,22,13,8,4.884981308350689e-17,0.043035074408,4425.0,2.29801170348852
4,6,2.8411530264468507,47,51,4,33,900.0,7,14,14,58,7,27,18,16,6,6.328271240363392e-17,0.002896760363,3325.0,2.207359183722777
5,6,2.7527858047611127,44,59,9,29,525.0,6,15,19,52,15,23,13,11,7,7.632783294297952e-18,-0.0268635034304999,3325.0,2.1149130067969986
5,6,3.0430516669753085,41,45,22,26,1100.0,9,14,19,39,15,23,9,17,7,1.1102230246251566e-17,-0.0049345044719999,4450.0,2.179875739281523
9,3,2.9409235248197487,42,40,22,34,1100.0,10,15,16,35,14,21,11,23,4,2.997602166487923e-17,0.0461568642269999,1100.0,1.9599799294215865
11,7,2.6925283642448035,32,41,31,33,2550.0,11,14,23,35,13,15,13,17,14,4.218847493575595e-17,0.0046331305495,4500.0,1.806662692585198
6,6,2.7492613157339,43,41,14,27,25.0,9,13,34,48,13,18,6,15,6,6.328271240363392e-17,-0.0527318995519999,4475.0,1.82393038355308
7,2,2.7753435404458995,42,50,11,36,25.0,5,15,24,43,11,27,13,12,5,4.6074255521944e-17,-0.0207739363139999,3375.0,1.7590661675122454
6,3,3.064155240742405,39,53,13,33,25.0,7,14,26,43,18,21,10,12,6,4.912736883966318e-17,0.0227647663204999,3375.0,1.7396751330516234
6,4,2.955533631212964,41,56,10,28,1150.0,7,12,26,46,18,15,9,12,7,3.552713678800501e-17,-0.0213115536765,4500.0,1.7164379299427868
4,2,2.7204557712610264,36,53,8,29,1125.0,10,19,32,50,20,12,10,13,5,5.662137425588297e-17,0.02912294022,3800.0,1.5854240905381696
9,6,2.8310513782409976,29,37,20,28,1825.0,4,17,39,48,17,17,4,18,5,2.220446049250313e-18,0.0149880241235,4650.0,1.601480072790215
5,7,3.008400168736546,32,44,4,31,3600.0,6,23,27,48,14,25,7,14,7,2.2759572004815708e-17,-0.030756093217,3325.0,1.7075922121276952
6,2,2.975505713250274,39,49,13,35,875.0,5,17,13,53,10,20,8,20,5,4.440892098500626e-18,-0.0180763590549999,3300.0,1.6696957050029673
5,2,2.7484543938159054,37,33,14,37,25.0,7,11,18,60,11,13,14,21,6,0.0,0.0176776446545,25.0,1.6745627287620186
2,11,2.9616035161703707,37,49,4,44,675.0,5,14,24,58,15,20,22,15,5,5.592748486549225e-17,0.0260640491599999,1100.0,1.9131128161085575
1,15,3.109183454369156,29,53,2,37,2200.0,5,28,15,46,15,27,18,8,5,3.663735981263017e-17,-0.0324503507309999,4375.0,2.0677732061158967
0,5,2.9758515862163506,39,58,1,42,25.0,3,28,15,35,13,23,13,8,4,1.3322676295501878e-17,-0.0146524882919999,4375.0,2.018042570359879
2,7,2.842160370271748,41,51,3,39,25.0,2,23,18,49,11,24,25,11,2,3.774758283725533e-17,0.0024172927445,625.0,2.09223704110583
4,6,2.9458542012815707,30,42,3,28,1325.0,3,28,19,28,27,19,33,8,1,7.271960811294776e-17,-0.005813542498,2200.0,2.0882226591494915
5,3,3.161731260638324,31,31,7,36,900.0,5,24,27,59,8,27,29,11,1,6.994405055138485e-17,0.0053243206204999,4425.0,1.9299311349297816
0,3,3.0027249090500328,33,44,5,34,1100.0,6,19,15,65,6,23,33,4,2,2.997602166487923e-17,0.0423980535234999,3300.0,1.7223055210252642
2,6,2.83567730881618,30,55,12,24,425.0,3,15,13,73,18,13,21,7,4,5.908901840045999e-17,-0.009603910886,2175.0,1.781378198136874
4,8,3.103874344163496,26,39,10,34,1125.0,4,19,19,73,10,21,12,9,7,1.9984014443252817e-17,-0.0112277885574999,2200.0,2.0083003533019035
4,6,3.100959383012722,35,37,11,26,4225.0,2,18,14,62,9,21,39,13,6,5.551115123125783e-17,0.0086640915374999,2225.0,2.033670523426893
2,3,2.863545548124349,30,56,6,22,2225.0,3,29,18,56,24,14,35,8,1,1.7763568394002505e-17,0.030642650546,2200.0,1.990282465983984
3,6,2.8769106890448857,39,51,8,31,225.0,3,17,17,71,15,19,24,11,4,2.220446049250313e-17,-0.0075514536305,2200.0,1.938508975582984
2,5,3.2439703857231668,36,30,19,24,2650.0,2,17,20,63,12,18,17,12,6,5.662137425588297e-17,-0.031637684848,4425.0,1.9016318645295045
1,2,3.323285461098332,39,39,12,29,425.0,2,21,23,59,16,13,27,10,9,1.1102230246251566e-17,0.0043730247394999,1100.0,1.8982212930949236
7,2,2.95454828898449,42,48,8,31,200.0,2,23,17,64,13,12,38,9,7,3.885780586188048e-18,0.0230148152505,3350.0,1.8302043921038924
4,4,2.952131347281869,34,55,1,26,2025.0,3,23,15,68,15,18,44,7,6,2.55351295663786e-17,-0.0182392638019999,3325.0,1.9495706022478496
3,6,3.3096711853305054,27,38,5,23,3125.0,3,24,28,61,19,16,12,10,6,3.3306690738754695e-17,-0.0201925122284999,4450.0,2.0286310246460646
1,2,3.210494520792718,32,49,7,33,675.0,5,23,22,54,18,17,17,11,4,1.8873791418627666e-17,0.0233160986694999,4450.0,1.8365183782572585
1,3,2.9333576647757,45,63,22,34,2450.0,7,13,20,51,13,16,14,11,5,1.1102230246251566e-17,0.0151806972159999,3350.0,1.7976921369746683
4,4,2.863115672035228,39,62,18,33,3400.0,4,16,19,56,8,20,12,12,4,3.1086244689504386e-17,-0.055180811786,3375.0,1.9105863313208629
4,4,2.9359132843572846,28,58,3,26,225.0,5,28,28,37,26,19,10,10,4,3.885780586188048e-17,-0.052406512609,1125.0,2.025762630567879
4,3,3.011416058077837,23,62,6,36,1125.0,6,40,28,25,20,25,13,10,5,7.938094626069869e-17,0.05236849574,3350.0,2.190528123124337
