2,8,y_std,7,6,y_abs_diff,20,14,22,23,12,26,0,24,z_std,3,4,x_std,19,y_mean,1
30,0,1.0483263847989936,1,0,1.1102230246251566e-17,9,2,14,30,0,24,2,40,1.5578129532257008,112,36,0.985567726186018,5,-0.023020267379,8
6,0,1.4787225298506192,5,16,3.608224830031759e-17,12,29,24,24,1,19,1,37,1.9548120090039416,25,74,1.389861439375781,3,-0.010091248311,2
4,7,1.3093941694246396,47,73,1.9984014443252817e-17,16,47,19,27,5,19,1,34,1.8550211427189605,7,13,1.291994959907426,3,0.041839036011,1
3,44,0.9584147724603134,48,44,6.661338147750939e-18,9,41,12,11,5,46,4,24,1.5948348484837287,4,16,0.973566929545406,7,0.0198526102294999,4
3,31,0.8495161169997193,45,51,9.436895709313833e-18,6,35,13,11,11,40,2,27,1.5423676907679154,4,24,0.8474422157922767,4,0.0017409672505,3
3,29,0.885315660839009,46,50,3.885780586188048e-18,9,52,12,13,15,30,2,28,1.5659920372513525,7,22,0.8052920937146772,5,-0.0178070573094999,3
5,31,0.8681286463813952,51,51,3.053113317719181e-17,8,52,10,14,30,40,3,27,1.4486549897951708,9,19,0.7308996889519974,5,-0.0220692079045,1
11,21,0.7745103474449156,31,51,3.3306690738754695e-18,5,48,9,15,21,35,1,33,1.3126459443836862,16,14,0.7006792465065644,7,0.0133809447745,4
10,24,0.8128954796748841,36,43,8.049116928532384e-18,3,47,14,15,8,24,2,36,1.318703175772319,15,19,0.7410492624936538,12,0.013288380499,2
7,28,0.8010872734833747,59,44,1.4432899320127036e-17,1,43,17,16,10,25,2,33,1.4235682603900357,9,11,0.8182787359147509,9,-0.0175347130089999,4
7,20,0.8130621919075792,48,54,7.216449660063518e-18,4,35,16,16,18,29,4,33,1.572462068961186,12,11,0.8668789082601506,7,-0.047451939136,3
6,23,0.8334231215279261,41,56,1.1102230246251566e-17,4,24,18,18,7,26,5,34,1.6218630191685646,11,16,0.908529589479214,10,-0.016356999837,3
4,38,0.799600915414801,47,40,1.609823385706477e-17,6,12,13,29,6,28,5,37,1.5414704158943575,8,17,0.9835179838023372,8,0.0290963764214999,5
