15,z_tm_peaks,25,9,0,18,10,23,4,1,11,21,y_abs_diff,z_abs_diff,x_abs_diff,3,17,y_tm_peaks,x_tm_peaks,19,27
6,1975.0,30,1,5,2,9,37,47,14,29,23,6.88338275267597e-17,6.88338275267597e-17,6.88338275267597e-17,35,4,4300.0,2175.0,2,3
2,3050.0,2,3,10,5,15,45,49,18,35,21,3.1086244689504386e-17,3.1086244689504386e-17,3.1086244689504386e-17,31,3,2150.0,25.0,2,3
5,2275.0,16,5,4,4,20,46,39,1,59,28,3.9412917374193055e-17,3.9412917374193055e-17,3.9412917374193055e-17,22,4,3750.0,2225.0,3,4
5,4350.0,19,4,4,2,33,43,48,0,79,10,1.3322676295501878e-17,1.3322676295501878e-17,1.3322676295501878e-17,25,3,2375.0,2225.0,4,5
5,4225.0,6,2,13,2,7,77,38,26,49,26,4.996003610813205e-17,4.996003610813205e-17,4.996003610813205e-17,28,3,1275.0,1175.0,4,2
7,2725.0,2,1,10,4,12,73,39,26,36,24,4.440892098500626e-17,4.440892098500626e-17,4.440892098500626e-17,31,4,1175.0,25.0,2,3
6,1700.0,3,1,3,2,14,72,26,18,38,19,6.716849298982197e-17,6.716849298982197e-17,6.716849298982197e-17,31,5,3400.0,25.0,2,5
9,1100.0,2,7,3,5,16,52,33,12,44,22,2.4424906541753444e-17,2.4424906541753444e-17,2.4424906541753444e-17,33,4,4425.0,25.0,3,3
14,1100.0,3,5,4,3,9,63,35,10,36,30,4.440892098500626e-17,4.440892098500626e-17,4.440892098500626e-17,35,2,1125.0,2225.0,5,2
15,4925.0,4,3,5,2,9,66,29,12,33,20,7.549516567451065e-17,7.549516567451065e-17,7.549516567451065e-17,30,4,4500.0,3275.0,5,3
16,4600.0,2,6,3,3,9,57,21,16,28,21,1.5543122344752193e-17,1.5543122344752193e-17,1.5543122344752193e-17,32,3,2250.0,25.0,4,3
10,4400.0,6,5,19,3,15,45,32,19,25,39,3.4972025275692425e-17,3.4972025275692425e-17,3.4972025275692425e-17,23,5,3275.0,600.0,3,3
10,4175.0,10,4,13,3,16,54,37,22,22,27,2.6645352591003762e-17,2.6645352591003762e-17,2.6645352591003762e-17,33,5,3275.0,975.0,3,3
12,3725.0,4,4,11,4,10,69,49,23,20,22,5.886784115727295e-17,5.886784115727295e-17,5.886784115727295e-17,31,3,3800.0,975.0,1,1
23,2750.0,2,4,7,5,5,51,51,16,12,35,2.6645352591003762e-17,2.6645352591003762e-17,2.6645352591003762e-17,29,1,1700.0,25.0,3,2
21,4400.0,6,1,7,6,5,57,37,15,18,28,4.884981308350689e-17,4.884981308350689e-17,4.884981308350689e-17,47,2,3300.0,2200.0,4,4
6,4775.0,5,1,2,6,8,61,41,18,14,16,5.10702591327572e-17,5.10702591327572e-17,5.10702591327572e-17,46,3,3100.0,1125.0,3,2
6,1350.0,21,4,12,4,18,40,30,14,32,18,3.9968028886505634e-17,3.9968028886505634e-17,3.9968028886505634e-17,27,3,2225.0,2200.0,2,5
10,3850.0,10,5,7,3,12,53,30,17,25,18,2.997602166487923e-17,2.997602166487923e-17,2.997602166487923e-17,39,2,2525.0,2075.0,6,2
12,25.0,7,4,7,8,14,60,29,18,18,18,4.440892098500626e-18,4.440892098500626e-18,4.440892098500626e-18,51,1,3075.0,2075.0,2,2
5,2350.0,8,4,4,3,16,53,46,10,22,16,2.220446049250313e-17,2.220446049250313e-17,2.220446049250313e-17,29,4,3850.0,3275.0,3,2
7,4300.0,13,4,4,6,15,54,33,12,24,17,4.440892098500626e-17,4.440892098500626e-17,4.440892098500626e-17,33,4,1125.0,1075.0,1,4
6,1050.0,27,4,11,5,12,44,21,16,27,21,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,29,3,4350.0,1650.0,3,5
6,4875.0,26,8,12,1,13,30,24,19,30,22,5.551115123125783e-18,5.551115123125783e-18,5.551115123125783e-18,27,5,3300.0,1650.0,5,3
