12,26,6,14,x_abs_diff,mean_res_accel,21,25,x_std,27,y_tm_peaks,22,20,x_tm_peaks,z_mean,16,18,2,8,4,15
39,19,25,29,9.943434964299057e-17,6.396320166589783,27,36,4.46688485196842,9,3200.0,21,6,1025.0,-0.0080274850904999,16,11,15,22,35,26
36,15,31,22,8.43769498715119e-17,6.412156068632235,20,35,4.642734188615689,8,1150.0,16,15,3100.0,0.2088601493435,17,11,13,22,24,16
24,21,33,56,1.1879386363489176e-16,6.79048722181815,18,45,4.878740706098108,10,4225.0,14,14,2025.0,-0.0259373860915,18,13,19,19,21,23
10,21,33,55,6.217248937900877e-17,6.767464201638389,23,54,4.806936926024672,10,2200.0,13,10,2025.0,0.0038069506985,16,15,21,12,24,44
11,21,44,51,3.7192471324942746e-17,6.328038520797208,25,49,4.598075713771527,3,3375.0,15,11,25.0,-0.1323726764245,11,10,20,11,28,55
28,23,39,47,6.661338147750939e-18,6.338455941211118,25,48,4.582423821548757,4,125.0,17,8,1050.0,-0.042525258372,11,9,12,15,23,33
36,21,40,34,8.881784197001254e-18,6.265514835980125,21,46,4.71715707905911,3,4300.0,16,7,25.0,0.2383335001509999,10,7,17,6,27,14
43,16,33,31,1.1990408665951691e-16,6.111728497881786,19,48,4.601643603502134,4,3300.0,17,12,25.0,-0.0101037980534999,8,5,19,7,30,17
31,15,41,48,1.3322676295501878e-17,6.282803772759146,19,42,4.522649040033519,9,4300.0,16,15,2100.0,-0.0989120233939998,13,9,15,21,18,26
15,18,47,53,1.0547118733938988e-16,6.408795684173993,19,44,4.665609089494848,9,1175.0,14,17,3100.0,-0.082755012107,14,14,19,13,23,29
19,11,37,50,4.329869796038111e-17,6.354894607296805,22,43,4.465642013645975,3,3850.0,16,17,25.0,0.0424042762075,16,17,16,13,22,33
33,11,29,37,6.661338147750939e-17,6.329759536036939,17,26,4.312253477449658,0,1050.0,18,24,1075.0,0.078382951952,16,6,8,28,21,18
30,16,30,55,1.0658141036401501e-16,6.263179256499017,20,34,4.482602637219547,4,1050.0,14,20,3200.0,-0.0450187064279999,15,9,11,35,10,15
37,21,38,39,1.0769163338864017e-16,6.329268779353164,20,38,4.469930011866603,6,2125.0,20,14,2125.0,0.007244902439,13,15,14,14,17,15
34,18,34,37,1.0658141036401501e-16,5.965849378207416,18,36,4.228759408626943,4,4300.0,20,12,2125.0,0.00547746079,13,14,16,8,29,13
41,14,38,49,8.881784197001254e-18,5.776998856451002,20,35,4.0930116478855325,3,2150.0,15,19,25.0,-0.0189212955695,12,4,16,30,17,12
39,24,40,39,2.6645352591003762e-17,6.079266015344948,17,32,4.205735474511801,6,25.0,18,23,25.0,0.05302753064,10,8,16,19,20,16
33,19,45,25,1.2878587085651815e-16,6.242057223029466,20,36,4.466209640110598,9,2150.0,15,12,2100.0,-0.0105624747485,10,15,18,13,15,15
31,19,50,36,1.376676550535194e-16,6.30150754379503,19,41,4.577740548614094,8,1125.0,18,13,1050.0,-0.141982520665,16,12,18,8,24,15
39,20,35,37,4.884981308350689e-17,6.233657295472027,24,53,4.499510865280445,8,1175.0,17,8,1050.0,0.0344648491169999,17,4,14,7,32,17
36,6,31,44,1.0658141036401501e-16,5.914259204670223,16,29,4.3422876196096745,3,25.0,13,24,1050.0,0.1483812986645,16,10,20,10,36,24
45,7,32,49,7.549516567451065e-17,5.789035425009477,14,32,4.296109996151305,3,1050.0,14,26,25.0,-0.1397876126915,11,9,14,5,27,25
51,7,31,25,8.43769498715119e-17,6.236964893870221,16,37,4.538855167725396,2,1050.0,19,29,2125.0,-0.0419873822105,16,6,15,4,28,14
39,40,32,32,0.0,6.232940690915548,3,54,4.64384667277197,9,2250.0,24,4,25.0,0.2121231298795,13,11,12,11,21,17
55,25,35,36,1.5543122344752193e-17,6.049039083823942,13,59,4.480027262847811,8,3425.0,22,4,25.0,-0.1747613740624999,11,7,21,13,28,13
41,6,25,23,1.687538997430238e-16,6.114731133583436,22,36,4.496177450395451,3,125.0,16,19,4325.0,-0.0698312934755001,13,3,21,16,27,12
36,5,35,23,2.844946500601964e-18,5.8583246675459,14,35,4.446729272585426,3,1075.0,16,20,1075.0,0.2031505245175,13,2,16,10,21,13
40,6,32,31,1.3322676295501878e-17,5.674636169459965,16,34,4.201954966189539,2,3250.0,15,22,25.0,-0.1219159551504999,6,6,16,5,25,12
49,12,27,37,2.1316282072803002e-16,5.880424852005365,18,32,4.186304002427006,4,25.0,14,24,25.0,-0.0549929042419999,14,5,18,8,30,9
62,14,40,22,1.5543122344752193e-17,5.972791874662581,18,29,4.195995867468743,3,4275.0,14,24,2150.0,0.1402202375964999,13,4,16,13,27,17
58,17,53,19,1.27675647831893e-17,6.017283228063259,20,25,4.195360852856184,1,3300.0,20,26,2125.0,-0.0964600134049999,14,3,12,24,13,11
48,20,47,10,1.0658141036401501e-16,6.275086058784626,19,27,4.354082474385218,7,2200.0,18,23,3225.0,-0.0190798948835,12,3,14,23,14,15
56,20,41,11,4.4964032497318837e-17,5.99566847613325,16,28,4.353820034640108,9,25.0,14,18,3175.0,0.144812966584,6,3,11,34,16,19
22,9,34,35,8.43769498715119e-17,5.588810066578652,20,39,4.117726966633848,5,1075.0,18,12,25.0,-0.0119595695875001,17,4,15,24,22,37
16,12,38,45,3.774758283725533e-17,5.214318525283678,23,30,3.5547667302852126,3,25.0,20,11,1125.0,-0.0952941562185,24,11,13,18,31,31
49,15,45,32,9.325873406851316e-17,5.233352082083835,19,26,3.4190245255612743,2,50.0,20,17,2225.0,0.0048216477714999,12,3,6,15,31,15
33,23,46,51,7.771561172376094e-17,5.767225450109464,19,33,3.859667567091453,4,1075.0,11,11,2225.0,0.1071719051695,17,3,9,19,21,27
31,16,41,47,2.6645352591003762e-17,5.953833437407765,16,39,4.045395211156878,2,1125.0,15,12,1875.0,0.0203269867144999,19,4,12,31,11,19
40,4,41,25,1.1324274851176594e-16,5.945148697936014,16,38,4.021143205526549,2,2325.0,20,21,25.0,-0.034189011566,12,1,10,28,22,16
33,18,30,32,7.577272143066692e-17,5.908958017913655,16,34,4.179534279514402,4,1075.0,17,18,1050.0,-0.029036837144,14,8,16,11,24,15
39,14,38,36,1.5987211554602254e-16,5.877570988475184,13,42,4.37279588545188,4,3200.0,17,14,1050.0,0.092912499061,17,6,17,10,25,13
38,9,34,32,1.021405182655144e-16,5.891372072807558,16,40,4.179319370607116,3,2200.0,17,18,3225.0,0.008040273812,15,3,12,17,26,13
46,15,37,39,5.995204332975846e-17,5.921782648923122,18,32,4.137438023639992,3,3175.0,18,25,25.0,-0.1052126115804998,12,4,14,6,25,22
44,28,47,36,1.7763568394002505e-17,5.680965568885544,20,22,4.158760489847864,12,4475.0,11,15,25.0,0.0993575948265,8,3,13,7,17,25
32,25,51,35,6.550315845288423e-17,5.629081476109056,19,28,4.074347334485471,9,3300.0,14,18,25.0,-0.1370184958514999,8,3,9,15,15,17
37,23,51,24,1.3322676295501878e-16,5.821775087479674,14,28,4.0734417653637305,12,3250.0,17,21,2175.0,-0.0752172616579999,12,3,15,9,16,13
18,20,51,58,6.217248937900877e-17,6.025711603664571,10,32,4.319566013694903,14,25.0,16,19,3175.0,0.2121029286710002,11,6,20,8,20,31
3,17,42,49,5.995204332975846e-17,6.266321715452075,13,35,4.706115238481206,7,25.0,15,23,2075.0,-0.0559381152045,31,7,20,19,21,58
52,19,40,13,1.2212453270876723e-16,6.106382097469468,16,34,4.661661009283346,6,1075.0,14,21,1050.0,-0.0813971367389999,12,3,19,21,16,16
47,14,39,34,1.1102230246251566e-17,5.789747918991794,16,34,4.295706741812404,1,4375.0,11,18,1050.0,0.1119392569469999,14,9,14,13,19,10
43,12,39,38,1.6431300764452314e-16,5.924471492178327,17,34,4.239038245519463,1,25.0,15,23,2175.0,-0.0482488123179999,11,8,7,33,17,11
34,7,40,34,1.0658141036401501e-16,5.856486980170384,20,34,4.070275594183952,4,3400.0,20,21,1125.0,-0.1003961005034999,13,6,8,27,12,21
