window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
11,0.0494255669678916,0.04259218142747013,-0.07051588700874968,5.969615671834898,4.596668092332895,2.4901089989444443,3.9011153946768684,2.6308971667043535,-10.223577162724109,-5.857592296638029,-8.25342586984775,1.177690629211059,9.553737342575891,7.104801479961971,11.17681597825225,12.16116627748474,10.565900218870711,3.101228460271427,7.611836906452737,21.27896558559489,36,37,31,0,10,18,13,16,23,37,36,28,16,3,3,5,30,53,50,21,7,15,11,5,18,18,11,33,48,44,16,5,3,4,12,29,27,28,21,23,28,18,9,5,21
12,0.07448440899489159,0.07300090601397011,-0.018792404930749584,5.9662575103429925,4.39466370572164,2.465763996754096,4.146932094767946,2.6467165520533866,-10.223577162724109,-3.58029095633803,-8.25342586984775,1.177690629211059,9.48502045907589,7.104801479961971,11.20847222205225,12.595685879697589,9.659308506785187,3.0426606099837956,8.59869947654977,21.300668593318747,36,35,27,0,10,12,18,14,26,32,43,27,14,4,13,48,52,27,20,3,10,15,9,3,19,20,13,23,52,44,14,4,4,7,11,35,21,34,21,29,22,18,5,4,21
13,0.0684971140098916,0.03527907022897017,0.10337945211275044,5.804153522180773,4.296971765913223,2.512016806924542,3.9583679532791747,2.602171654286842,-10.07827989232411,-3.68880849433803,-7.693577328247749,0.1336552827755042,8.664360659675891,6.9810585434619705,11.20847222205225,12.595685879697589,9.234329105841537,3.1557365255337992,7.83968208233335,20.229747713708676,39,34,31,0,9,9,20,15,22,36,33,26,25,5,18,43,47,27,21,8,10,14,9,3,21,16,14,32,56,37,10,3,5,6,2,20,37,31,32,23,27,16,8,4,21
14,-0.13787629633360832,-0.16611361539902986,0.01594566727925037,5.860267664175517,4.486658948192187,2.2634972065794288,4.037223926733613,2.6938496489246955,-10.07827989232411,-4.028736117938029,-9.64435651204775,0.1336552827755042,8.664360659675891,6.9810585434619705,10.563126288252251,12.157863290412749,10.074559195241841,2.575506668706908,8.149715649447678,20.79978151339643,36,35,32,0,10,13,18,16,23,30,37,22,27,4,11,38,48,42,25,9,9,10,4,4,3,22,16,12,43,57,31,5,2,9,2,17,39,25,32,23,26,15,13,8,21
15,-0.10826148345910833,0.02698164514247018,-0.05437752524374973,6.077674097838065,4.647510342786862,2.4443785899168904,4.092411878605693,2.720194311993754,-10.34651075962411,-4.028736117938029,-9.64435651204775,0.9569684956086476,9.495547152975892,6.973512596061971,10.52154977175225,12.157863290412749,10.805536467555822,2.9878573500093393,8.375395949702305,22.16878976726744,39,36,31,0,14,14,15,11,28,31,42,28,11,6,10,33,49,47,21,4,9,11,12,4,3,23,19,12,42,53,29,9,1,9,5,29,28,32,22,28,20,12,16,8,21
16,0.04071552389489174,0.0664260437519702,0.0057705172712504285,6.071606879637783,4.750977245324224,2.464265251054473,3.8644863387411545,2.592361094955607,-10.34651075962411,-4.61780521363803,-7.55300247284775,1.4810471071049545,9.495547152975892,6.867280501361971,10.944683902252251,12.03325339419583,11.286721269737289,3.038507823421556,7.467143980593291,21.79237307375214,38,42,33,0,14,14,14,12,26,34,38,26,17,5,5,25,31,58,33,10,9,11,13,5,23,16,15,30,49,45,11,3,2,6,14,30,24,29,26,22,24,10,16,5,21
17,0.08104988228039162,0.04107635240197017,0.010043953948750427,6.026692853559897,4.576531206680954,2.2722225678744583,4.13560206408059,2.6264364062576484,-10.231248632324109,-4.61780521363803,-7.784932991847749,1.250185660300484,8.44195655757589,6.84946277686197,11.50554468575225,12.33623235214823,10.475603484571145,2.582341332342324,8.551652656719286,21.609597473632775,38,45,33,0,10,11,16,19,20,25,39,22,28,10,4,16,44,48,42,14,7,13,8,4,25,17,14,27,59,31,12,6,3,6,13,27,27,27,31,21,28,13,7,6,21
18,0.10323152060589169,0.0153002466689702,0.03297057154975037,5.802299342955846,4.406410847894251,2.3494712603005263,4.002232732253086,2.7017843815251865,-10.94908122932411,-4.6431637944380295,-7.784932991847749,1.1428772285675735,8.44195655757589,8.05469707536197,11.50554468575225,12.33623235214823,9.713556653643371,2.7601246502631374,8.009476950853166,20.48315825475967,36,37,31,0,5,11,15,18,16,31,43,25,28,8,8,13,64,48,31,8,11,11,5,1,23,17,9,37,59,28,13,5,3,6,18,31,24,26,29,26,21,11,7,7,21
19,-0.05771238788210832,-0.14104266641752988,-0.08222928569024962,5.825135813907789,4.450266714253255,2.336433083178246,3.9493676170649867,2.638006086668684,-11.23227488452411,-4.6431637944380295,-7.89977202444775,1.1428772285675735,8.470786958775891,8.05469707536197,11.06391593765225,12.390753731671133,9.904102273852757,2.7394062929599863,7.802133115073349,20.445641681886105,33,37,29,0,7,9,17,16,15,37,40,25,28,6,9,25,54,48,29,11,10,9,4,1,21,21,7,38,48,41,11,3,4,6,17,31,23,25,32,31,18,9,7,7,21
20,-0.10392849400560829,0.020053507377470164,-0.039457562048749575,6.082049596958434,4.422723740079077,2.56275602321783,4.202380319400778,2.6095281065453704,-11.23227488452411,-5.475188673438029,-8.07158740744775,1.238516696283841,8.470786958775891,9.255106612661969,11.06391593765225,12.390753731671133,9.785643206462671,3.2840602888487047,8.830778624044912,21.900482119356266,35,33,33,0,7,10,16,17,15,40,32,31,27,5,5,20,54,48,29,23,9,8,2,2,20,21,13,30,45,41,14,4,5,7,13,29,22,24,34,32,19,13,6,8,21
