window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,0.04812828653289167,0.07001052831197015,0.003886227396250326,4.756116315834754,3.706505226698146,2.0226230293415766,4.120275896676127,3.4917687320535316,-11.95168226412411,-7.033006576838029,-8.77707550694775,0.05949439327171992,10.900032244275891,6.634084474461971,16.55956953585225,17.51571498626172,6.870248663752631,2.047952696448707,8.488344283746816,17.406545643948164,40,47,37,0,4,4,9,13,38,78,31,16,3,4,2,3,10,15,45,82,23,13,4,3,12,21,38,73,31,10,8,4,2,1,45,40,42,31,14,13,8,3,2,2,7
1,0.045937385368891644,-0.03904998568152987,0.08162739020325041,5.789631412864129,4.6938046886678615,2.159664689786537,4.00791240616739,3.0413454525828243,-11.95168226412411,-5.603974947238029,-8.74008206724775,0.9455301437547464,11.913700257075892,6.634084474461971,11.67568914675225,14.787274456048307,11.016956349367463,2.332838236846253,8.03501244317093,21.384807029384646,33,38,33,0,6,10,15,22,40,45,38,14,3,7,3,7,22,42,63,32,12,7,8,4,12,14,17,36,62,31,9,6,9,4,22,39,36,33,22,20,7,13,6,2,7
2,-0.08647710066960837,-0.09185650324652986,0.028255977255750336,5.524320453745646,4.831772780935021,1.9813233027982398,3.6559634808788566,3.183761461074432,-11.189953936124109,-3.58056153013803,-8.12613100704775,1.0931303517973754,11.913700257075892,7.624624889061971,11.67568914675225,14.787274456048307,11.676753247762411,1.9670398237000024,6.68343368688526,20.32722675834765,31,34,35,0,9,13,21,22,30,43,43,11,1,7,17,34,68,34,23,7,7,6,2,2,14,12,20,29,81,27,5,4,2,6,33,42,31,30,23,15,4,12,8,2,7
3,-0.16055467515160846,-0.05024426552452988,0.007048068898250414,5.4450083057919585,4.639777070142897,1.9805303770490332,3.8237509365764497,3.2328531632398616,-11.59309744302411,-3.72210616563803,-7.32189988674775,1.0931303517973754,11.42204830427589,7.624624889061971,11.52392993865225,14.089686655043904,10.776654532168415,1.9625125303160436,7.310560450122238,20.049727512606708,35,38,38,0,9,10,17,22,31,46,39,17,3,6,11,27,76,31,30,10,4,6,3,2,20,14,22,44,56,27,2,5,3,7,34,40,35,24,19,18,7,8,8,7,7
4,0.02366061423689154,0.06804809476547015,-0.023579066185749595,5.65978837983111,4.538679774888067,2.2801744100644896,3.9929845385057234,3.1169338779953164,-11.59309744302411,-4.9480386218380294,-10.32494856204775,0.8377952947776451,10.36153153787589,7.32990015176197,11.812838563152251,13.766914015307398,10.300086961822023,2.6019129417570794,7.972240748553979,20.874240652133075,35,36,35,0,10,4,18,20,24,42,45,24,6,7,3,13,40,58,42,18,8,7,7,4,2,14,23,17,67,46,16,2,6,7,18,44,30,33,18,20,9,13,11,4,7
5,0.12854009505039157,0.07888670742147018,-0.019929458318749628,5.419294345725148,4.375375676553692,2.467695203396724,3.6374358023827797,3.0197289266827494,-11.525339333124109,-4.9480386218380294,-10.32494856204775,0.8107424132597721,10.36153153787589,7.32990015176197,11.812838563152251,13.563017462353706,9.580217433506617,3.047871364737499,6.6156681998824585,19.243756998126592,34,35,37,0,8,3,17,21,27,44,40,30,3,7,4,16,50,42,41,16,11,8,5,7,2,11,20,18,80,43,14,3,2,7,19,43,31,36,22,17,5,12,11,4,7
6,-0.09426929308860833,-0.045237265292029864,0.06254627615975032,5.18814390029408,4.532086450143738,2.0959737911886567,3.349839190935148,3.0417666488974118,-12.11696689212411,-4.107990345038029,-7.6522814481477495,0.8107424132597721,10.85435159827589,7.239601271261971,11.03302012495225,13.536107418482818,10.274347145597941,2.1975762717604277,5.612667320893252,18.08459073825161,35,33,38,0,7,8,12,23,27,50,36,29,2,6,7,32,50,36,37,16,12,6,1,3,11,11,18,43,71,31,3,4,1,7,29,37,37,31,20,15,7,9,9,6,7
7,-0.031716536626608366,-0.04396371295452984,-0.11770514279924964,5.200726294836016,4.504678052228527,1.9542954419618517,3.4053558126859524,2.9456887977672155,-12.11696689212411,-3.5394303044380298,-7.6522814481477495,0.9754522606683165,10.85435159827589,7.6254338961619705,10.72289919405225,13.536107418482818,10.146565146462484,1.910601741264809,5.8051513558176975,17.86231824354499,32,34,35,0,8,8,10,23,22,49,48,25,3,4,14,40,52,41,27,9,10,4,2,1,12,17,20,34,65,37,3,3,3,6,32,37,35,31,22,10,11,10,8,4,7
8,0.16971719440789163,0.003673763796470164,-0.05530160919524947,5.411617330028292,4.446177903407806,2.1916712424990865,3.7132777344615877,3.0177186550658885,-11.681405648124109,-6.329125944138029,-8.43794143454775,0.9754522606683165,10.906431302475891,7.6254338961619705,10.54693512515225,12.995618613745945,9.898650937414763,2.4017181658689575,6.895744900613881,19.196114003897602,30,31,31,0,8,7,14,21,19,54,49,18,7,3,2,6,13,55,60,32,15,10,5,2,7,19,18,26,68,37,11,2,3,9,27,40,28,25,22,24,9,7,9,9,7
9,-0.05661548721160839,0.0648730159904702,0.11485882070475043,5.710703639734614,4.6673037961051165,2.2983066050626477,4.152741029020306,3.423399821746198,-12.663875444324109,-6.329125944138029,-11.861302303547749,0.7840931148326946,10.906431302475891,6.65635836706197,13.74954724995225,15.600514376418399,10.89346501926472,2.643210879539146,8.629225301401165,22.165901200205035,33,32,39,0,6,6,17,20,23,50,41,22,9,6,1,7,10,47,54,28,28,13,7,5,3,11,12,23,81,42,12,5,9,2,35,38,32,27,23,11,15,12,4,3,7
