window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,-0.03595921955310832,-0.028521478216529873,-0.02687204896674961,2.9026119594445707,1.9165977343031055,1.6052485525691564,2.1405187611770127,1.5523088667232026,-7.044432865724108,-4.462766265238029,-6.36099103314775,0.3348719479329039,3.633097760375892,5.645342110961971,7.71894491475225,7.862445067859518,1.837319970303333,1.2888181951225144,2.2912713369832214,5.417409502409067,33,42,34,0,2,3,5,7,17,28,52,41,33,12,7,2,23,44,62,32,16,10,2,2,3,5,21,48,52,47,13,8,1,2,18,38,44,36,21,19,11,6,4,3,22
1,0.001906343301891692,-0.006460092340029819,-0.0852578884917496,3.2919591474976553,2.4959273312784322,1.592913585395672,2.257372046387354,1.741572489179311,-7.7097675522241085,-4.00459683033803,-6.36099103314775,0.10955627749784116,4.757815349475892,5.645342110961971,7.71894491475225,8.064321683412127,3.1148284385837313,1.2687077116655683,2.5514987316805526,6.935034881929845,38,50,44,0,4,5,10,7,18,35,44,46,20,11,4,11,33,48,54,26,13,6,3,2,5,7,24,29,69,43,12,6,3,2,9,30,43,29,24,29,13,13,5,5,22
2,0.04112586066139167,0.014347403598470207,-0.002102616134249584,3.365829058367227,2.6962999387707147,1.4663147019501555,2.2722804476345684,1.8045683564007868,-7.772747601724109,-4.28399169083803,-6.5330674310477495,0.10955627749784116,6.555061312775892,4.956694430361971,5.81516668815225,8.40745991587148,3.63586234811505,1.0751423265725955,2.5816314268484812,7.2926361015361225,39,40,45,0,6,7,7,18,31,40,55,22,12,2,6,2,18,40,61,32,26,10,2,3,4,6,13,19,30,74,28,8,10,8,12,36,35,28,29,26,15,10,3,6,22
3,-0.021593355751608305,0.033428456907970146,0.0461476389692504,3.2646915982595788,2.5987193889424836,1.578675618928407,2.152471888870203,1.795604776174492,-7.772747601724109,-5.63444890123803,-6.5330674310477495,0.31753144214200946,6.555061312775892,5.080298071961971,5.6912070044522505,8.40745991587148,3.3769043677391046,1.2466670857651176,2.3176324184794463,6.941203871983667,33,37,43,0,7,5,4,18,34,53,48,19,9,3,1,6,2,19,58,61,34,11,5,3,1,7,12,20,25,74,34,12,7,8,19,34,37,34,24,22,16,4,4,6,22
4,-0.020960227235108306,-0.01863199953702996,0.03442668349625041,3.1499646292166337,2.5683362311234825,1.599501288622484,1.9480632501404544,1.7405172532059319,-8.37685216262411,-5.63444890123803,-5.13752923464775,0.3198144705057913,5.211545514975891,5.080298071961971,5.6912070044522505,8.42694466927237,3.2983951636136624,1.2793757618558679,1.8980678115421707,6.475838737011698,30,33,40,0,7,2,6,7,21,31,58,43,14,11,1,4,3,29,63,42,37,12,7,2,6,11,12,24,69,34,25,10,4,5,20,35,44,26,24,26,14,3,4,4,22
5,-0.04736496794210837,-0.053707765634029896,0.04916796031675037,3.268057496037021,2.718056809999597,1.4382676699890609,2.145411152444911,1.8402666603379703,-8.690924762924109,-2.68642324763803,-5.3714586068477495,0.42729909136945443,4.734246498175891,4.02906488176197,6.76857446365225,8.865018631843652,3.6950381312866707,1.035749207312581,2.3026032506783545,7.033390589277603,28,28,38,0,7,2,6,9,18,18,50,58,18,14,7,32,43,31,30,17,21,9,5,5,6,15,16,20,80,38,10,5,9,1,21,45,38,23,25,26,8,7,3,4,22
6,-0.057177798299108344,-0.010761487961029883,0.033985493555750375,3.4218053039282217,2.766084741729481,1.5583369545807821,2.264220397783489,1.8713955910501556,-8.690924762924109,-4.46687507073803,-5.900966628947749,0.34353409541956426,4.949047220275892,4.35505618196197,6.76857446365225,8.865018631843652,3.8272470495234874,1.214264936817621,2.563924511755524,7.605436498096638,25,37,36,0,8,1,7,11,17,21,48,58,18,11,2,2,18,37,45,45,21,16,10,4,4,12,19,18,68,47,16,4,9,3,19,37,33,27,31,26,10,8,6,3,22
7,-0.011157060677608322,0.019854726444470096,-0.006301398949249592,3.598865280320204,2.900985884296997,1.7706909230422212,2.2779242248022817,1.9464663654107368,-9.40114626072411,-4.46687507073803,-6.82051067404775,0.34353409541956426,6.215697860575892,6.556421186861971,6.701945405552251,9.479977365755719,4.2079217904466955,1.567870277553149,2.5944892407848976,8.370281308784742,28,32,34,0,5,4,7,10,22,30,62,36,19,5,2,15,34,53,45,29,14,5,1,2,4,6,15,19,51,61,23,10,10,1,14,39,41,28,34,16,12,7,6,3,22
8,0.031187641140891665,0.025728987648970147,-0.02149292569524957,3.610158043549763,2.9491198138767953,1.7222569708211015,2.2338414782794036,1.9032551054541633,-9.40114626072411,-4.3061843913380295,-6.82051067404775,0.43008953665982247,6.215697860575892,6.556421186861971,5.09110761905225,9.479977365755719,4.349140172780316,1.4834155271736578,2.495254847968227,8.327810547922198,32,29,38,0,5,3,8,9,21,35,57,36,20,6,3,12,36,59,41,28,13,5,1,2,3,5,9,18,18,63,45,18,10,11,12,48,38,31,23,21,13,7,3,4,22
9,0.08507903620139165,0.007160593133970136,-0.0554214930947496,3.6623407630371485,2.9378361753999753,1.72035397108386,2.283039073354955,1.8440140952732833,-9.010908289124108,-4.3061843913380295,-5.8417093910477496,0.43008953665982247,5.297288072075892,4.796103242161971,7.36747933345225,9.011684597975359,4.319059917944852,1.4798345299590188,2.607669476181152,8.406563924085026,32,32,42,0,5,4,8,10,16,26,43,52,19,17,3,5,23,46,46,30,18,16,7,6,2,21,21,20,76,29,18,5,6,2,12,39,34,31,28,27,11,9,5,4,22
