window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,-0.02728789021160835,0.0030231803564701697,0.0073318060177503955,1.8558555937597716,1.2802091544684429,0.9285286946995304,1.7177838384945097,1.4172120063419813,-5.754417518224108,-2.84336215793803,-5.152477395747749,0.07738457927446953,3.6376399922758917,3.43343279326197,7.02115323025225,7.687473558214507,0.8198400540685026,0.43108733824994083,1.4754175355862058,2.7263449279046488,44,39,33,0,2,1,2,7,20,51,74,29,11,3,2,3,20,40,72,39,12,5,4,3,3,11,18,45,79,31,6,2,3,2,48,51,50,23,9,7,6,1,4,1,17
1,-0.018697384984608333,-0.01073981648052984,0.055962239909750355,2.813521057362861,1.7477550023601236,1.3204758041772853,2.5087125530435124,1.7831540986200187,-5.754417518224108,-2.84336215793803,-5.152477395747749,0.3841993938724663,8.02629322117589,6.77164422396197,8.94733645235225,9.42623096398877,1.5274985702400499,0.8718858465378421,3.1483852230469087,5.547769639824801,39,40,28,0,2,6,26,52,66,41,4,0,2,1,2,43,70,59,12,6,4,2,1,1,10,24,26,56,52,16,4,6,3,3,34,61,43,22,13,12,5,5,2,3,17
2,0.033160276987891694,-0.03085999154052983,-0.09115104008474964,2.976424480872157,1.7656280824166304,1.5739561004217157,2.6905612391936695,1.996286021126625,-4.003726832024109,-2.84666879353803,-5.44338624734775,0.31614259720433746,8.02629322117589,6.77164422396197,8.94733645235225,9.42623096398877,1.559271064694067,1.2391450725663085,3.623714146979957,6.422130284240332,31,30,29,0,9,23,52,48,51,10,2,3,1,1,4,41,89,43,7,3,4,3,2,4,13,23,27,53,56,11,2,6,4,5,30,58,39,26,16,9,7,7,2,6,17
3,0.06846303672639163,0.026421478089970182,-0.03011399997124965,3.2057635704417025,1.6927999974128054,1.7435806599457087,2.93205065523155,2.0571675816876627,-4.003726832024109,-2.84666879353803,-7.12182769744775,0.31614259720433746,5.040323635775891,7.665761818161971,10.159159928752251,10.290954808994725,1.4351295093192968,1.5203858061205853,4.298913948919013,7.2544292643588975,30,28,34,0,3,13,24,48,33,41,22,9,2,5,15,44,84,36,3,5,2,5,5,1,6,8,37,49,58,19,10,5,5,3,22,68,38,25,15,10,9,6,6,1,17
4,-0.03918872279110833,0.07351941939097018,0.07457226323175037,3.456216192827967,1.8645992716456312,1.7796308194848522,3.076752456655241,2.0438428239262043,-4.308825939224108,-2.64194057423803,-7.12182769744775,0.18583957027650283,5.634377701175891,7.665761818161971,10.159159928752251,10.290954808994725,1.7391330999077081,1.5862454793439553,4.73598335098878,8.061361930240446,31,34,42,0,8,12,32,40,40,32,21,9,2,4,22,63,55,34,10,3,3,5,3,2,6,15,27,44,52,34,8,7,5,2,15,54,42,27,28,10,11,7,4,2,17
5,-0.06337007589860834,-0.05088057084902986,0.03710970761025042,3.5153374047963917,1.9353153317679102,1.8171247656575804,2.981668957755265,1.8942339562026174,-4.308825939224108,-2.61484087053803,-5.54555444494775,0.18583957027650283,5.634377701175891,7.037519400561971,9.99572674885225,10.026859663215614,1.8747305999476653,1.6522656232280177,4.445863452020145,7.972859675195825,28,25,35,0,12,17,28,27,43,30,30,9,2,2,26,67,47,24,18,4,5,2,5,2,24,19,17,58,60,7,3,4,4,4,10,39,57,34,30,11,6,4,6,3,17
6,0.035870870293391706,-0.1037768859785298,-0.10098470059474966,3.560551500910438,1.8235914692317166,1.8391266517958351,3.0582634724669213,1.8454201244008186,-3.9888033634241085,-2.72629693943803,-5.78213632164775,0.5462455662363523,4.025354236275891,6.6201957811619705,10.380850976452251,10.39413041167178,1.66338628299515,1.6965782417045794,4.681586688389818,8.041551213089546,31,24,30,0,13,12,13,28,29,33,26,29,11,6,26,55,55,22,17,10,5,2,5,3,24,18,27,49,64,3,4,3,3,5,14,46,61,33,21,8,8,4,2,3,17
7,0.010038301830891645,0.08514508459197018,-0.05647540484824967,3.72855797101827,1.7038563791936254,1.9538617555921736,3.4137847780440667,2.117315331435694,-4.154757313024108,-2.72629693943803,-5.78213632164775,0.4067901210878333,3.484095264375892,6.79638616386197,10.66817050565225,10.756509895770577,1.4516136642112292,1.9124127226979528,5.828557991079078,9.192584377988261,35,31,35,0,9,10,8,15,39,38,33,20,19,9,19,52,58,30,12,15,2,2,4,6,27,24,21,49,57,5,3,3,5,6,20,36,55,34,19,15,10,4,2,5,17
8,-0.011607714562608335,0.10745194024997014,0.1000058133307504,3.757187538310423,1.8036020480940145,1.9216824210094088,3.5800118749382914,2.380662160612119,-5.021874447424108,-2.8582031034380297,-7.20235482314775,0.4067901210878333,5.934402805375892,6.79638616386197,11.27366583125225,11.343597450623072,1.626557543463147,1.8522046233400322,6.413243093699569,9.892005260502748,35,31,40,0,3,12,15,41,56,37,23,8,4,1,18,43,56,42,16,9,4,2,3,7,12,23,21,48,57,19,7,2,3,8,33,35,47,28,24,13,8,3,3,6,17
9,-0.017767232598608306,-0.056536678359029924,0.10167222451475035,3.642719365398641,1.9553758327741035,1.7711503686004024,3.388536378974404,2.2775188262591604,-5.021874447424108,-3.66712259173803,-7.59870958134775,0.49029131889137995,5.934402805375892,7.788400949961971,11.290894426552251,11.343597450623072,1.9119051609756168,1.5700850120966072,5.746258016435368,9.228248189507598,34,36,32,0,3,14,21,40,44,38,21,11,7,1,7,31,66,54,23,9,3,3,3,1,7,22,18,38,70,27,9,1,3,5,37,41,46,24,23,10,7,6,2,4,17
