window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,-0.010183229698108366,0.015027972174970157,-0.0052565326292496155,1.3657775402100085,0.9931108880043307,0.6319117096033221,1.350958432057917,1.1600341415936362,-4.779536291424108,-1.6434636109380298,-5.32834262864775,0.02524811588748611,1.9576996320758917,1.9712825499619702,4.41803046855225,5.7732587900385015,0.49318646701991725,0.19976912434074254,0.9125581581418345,1.6055137495024936,37,31,39,0,2,0,2,1,10,22,32,87,25,19,4,9,23,27,74,31,9,14,6,3,2,2,6,11,31,97,29,14,4,4,60,43,40,20,16,8,5,4,3,1,9
1,-0.013109897017108362,-0.02812617629552984,-0.1345952127637496,2.0504902134468757,1.380660403543407,1.1189503295559577,1.5888669985993582,1.223658463875634,-4.883988916724109,-4.01996671233803,-5.32834262864775,0.07377928217230284,3.823537823175892,3.9901447557619703,3.9795617943522505,6.407748167200067,0.9531975096562207,0.626420460903197,1.2713071052685256,2.8509250758279427,36,32,35,0,4,2,6,18,29,60,48,26,5,2,1,5,3,31,66,54,24,10,4,2,3,3,7,16,29,69,38,18,9,8,15,56,44,33,20,14,8,4,5,1,9
2,0.016728907403891644,-0.06021033777452984,-0.11702419577574963,2.8086139526766023,1.6877281149485208,1.4951729268975575,2.3526921679078474,1.6578347856753277,-4.902395137124108,-4.01996671233803,-8.593632440547749,0.34288723067874155,3.823537823175892,4.464494038361971,7.24335802735225,9.139263701276716,1.4243530231653079,1.1195836830511656,2.7744275496659445,5.318364255882419,34,38,31,0,6,4,9,22,20,51,41,30,13,4,1,12,16,44,57,29,20,12,6,3,1,4,8,15,35,81,35,14,3,4,24,63,40,30,13,15,8,4,2,1,9
3,-0.004459238912108349,-0.04690149124452987,0.06052783429625033,3.6896666270071456,2.198753645449436,1.6397644112537506,3.2171393410406406,2.0653265825118097,-6.383062814524108,-3.01782316073803,-8.593632440547749,0.34288723067874155,3.7350181205758917,5.91083789736197,9.81702915625225,10.127796832780659,2.4172687390944305,1.34551353714766,5.1768245791980005,8.939606855440092,25,39,31,0,3,9,7,15,19,24,30,38,45,10,15,27,57,49,19,13,10,4,3,3,1,17,15,19,64,55,12,6,7,4,12,53,41,26,20,22,13,7,2,4,9
4,-0.00032096868410831756,0.06999139193747012,0.1626952575452504,4.175145370554531,2.5397292904373834,1.948712823284507,3.4418930425844754,2.166532721299515,-6.607546268224108,-2.71290166993803,-6.72358660804775,0.8307858887748291,3.861464214075892,5.966078506461971,9.87581202985225,10.224824185880415,3.225112485863234,1.901190231289409,5.936548731709564,11.06285144886221,25,37,31,0,5,10,10,16,16,19,27,33,46,18,24,41,51,37,15,9,6,3,5,9,20,14,9,48,50,39,4,4,5,7,27,35,36,23,23,27,14,6,3,6,9
5,0.023908375639891746,0.10014316584447018,0.008137829167750375,4.30133732039731,2.6416993708798966,2.1223667359659375,3.4383987162750005,2.1942574153082983,-6.607546268224108,-2.72279899033803,-6.966855388747749,0.514423517845455,4.165868560275892,7.23749135406197,10.62657392075225,11.076671618816212,3.4895735882664907,2.257234607800028,5.911325978172563,11.658134174239086,25,35,32,0,6,14,9,11,17,18,27,49,35,14,40,43,43,36,9,7,6,8,6,2,21,14,11,49,58,32,3,3,4,5,20,33,42,21,32,26,15,5,4,2,9
6,-0.03413084703910827,0.008405348655970098,-0.04243340617824964,4.154050502734501,2.6494608346366606,2.018975605817409,3.3604792343008336,2.2661920648133997,-6.274379490624108,-3.13227858233803,-7.00315395004775,0.514423517845455,4.165868560275892,7.23749135406197,10.62657392075225,11.180136682201297,3.5104038144965997,2.0381665733858987,5.647310639063502,11.195881026946006,28,38,34,0,11,11,8,18,16,16,33,40,32,15,21,43,54,40,16,6,7,7,3,3,20,14,10,53,61,27,3,3,5,4,28,33,40,20,30,24,13,7,3,2,9
7,0.037086143942891676,-0.04241757917102983,-0.009988103746249583,4.056447501713803,2.5941377508136974,2.0122122095125983,3.265329291901563,2.23370367148605,-6.409539217424109,-3.13227858233803,-7.770361349947749,0.7222766323101004,4.086587013975891,6.40746661966197,10.55450589715225,11.180136682201297,3.3654630261346483,2.0253986135671496,5.331237573383401,10.72209921308521,27,38,32,0,7,12,7,17,19,18,30,35,41,14,21,39,48,41,20,9,5,7,4,6,9,21,8,44,61,40,6,2,4,5,31,39,43,14,29,22,9,9,2,2,9
8,0.024889722471891716,-0.05817278821552988,0.03867992888025038,4.10505526098708,2.594031255396764,1.9527539839679844,3.3925254651161847,2.2815556798057592,-6.409539217424109,-3.10639733343803,-7.770361349947749,0.7490123716787888,4.086587013975891,5.960067359761971,9.77492167925225,10.173575389881359,3.3648088261300186,1.908316097595801,5.755362584179985,11.028487507905801,25,37,29,0,8,9,10,16,19,20,30,34,37,17,20,35,48,41,26,6,7,2,9,6,13,17,8,18,63,60,8,4,2,7,28,40,37,14,22,30,10,9,5,5,9
9,-0.07805114143110838,-0.00937240189902986,0.053943996072750376,4.094544227251166,2.591401607436047,1.8965273891248224,3.358803481975271,2.1994400668452934,-6.073183066324108,-3.51776646563803,-7.4800884817477495,0.6204174811743646,3.9354940964758915,5.50838891666197,9.77492167925225,10.173575389881359,3.360727135850411,1.7984519898089857,5.642235392620747,10.801414518280142,26,35,29,0,9,10,14,15,16,21,34,25,36,20,10,23,35,54,37,12,10,6,4,9,16,15,8,25,59,57,7,4,3,6,23,36,38,21,25,28,10,12,3,4,9
