window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,0.021681427957891644,0.0003404576509701229,-0.056094097576249606,2.1283385443927156,1.3873852164762037,1.223984910922107,1.7141921273353815,1.35470411490673,-3.9646979823241084,-2.94001989613803,-6.270634092547749,0.04327539230791473,3.7560023563758915,4.266247567961971,5.653165198352251,6.747084678403582,0.9626539116075088,0.7490695890382052,1.4708005986007493,3.182524099246462,41,30,31,0,3,6,11,25,44,59,24,13,9,6,9,12,30,46,53,24,14,10,0,2,2,5,9,17,46,70,35,12,2,2,35,30,38,37,33,11,4,7,3,2,13
1,-0.0006620620301083291,0.06495413507047011,0.0753909243302504,2.8244839429701263,1.6514680145297251,1.5088828543915174,2.167277148810464,1.3165705588427998,-4.030330920624109,-4.6547048984380295,-6.270634092547749,0.24125279300434632,3.7560023563758915,4.266247567961971,5.653165198352251,6.747084678403582,1.363673520670441,1.140473253969723,2.3513870156136916,4.855533790253856,40,28,27,0,8,9,7,22,50,39,27,20,7,11,4,2,14,23,37,45,47,21,5,2,2,9,9,26,38,39,48,17,5,7,7,27,37,39,39,16,13,14,5,3,13
2,-0.02879318764860837,0.03783889535947012,0.04426442785825035,2.814783702633048,1.4120595519697179,1.5567256858878156,2.3262314144702705,1.3819813709678432,-4.030330920624109,-4.6547048984380295,-5.58775925324775,0.5360634030980015,3.6763439907758917,3.0647238799619703,7.3572379374522505,7.611274959289488,0.997370612981944,1.2124133215524566,2.706655966620987,4.916439901155386,46,29,22,0,6,6,5,23,53,52,25,17,6,7,5,5,7,14,17,31,47,49,17,8,7,10,29,47,29,52,12,6,6,2,22,38,46,38,19,15,12,6,3,1,13
3,-0.009187074899108371,-0.08175303731652987,-0.07555287957374959,2.9623700405821625,1.0701170861962988,1.6566055118656604,2.631023149606663,1.4312984159873525,-3.530563272724108,-4.3673880578380295,-5.94089178224775,0.424450107998212,3.3720570210758916,2.93760114636197,7.3572379374522505,7.611274959289488,0.5726174902572291,1.3755126905270822,3.4639955256890245,5.412125706473338,52,29,18,0,2,1,11,27,55,62,21,11,8,2,9,8,12,10,14,28,52,42,15,10,10,10,25,46,23,48,25,3,5,5,11,36,50,37,24,18,10,8,4,2,13
4,0.020124000580891623,0.004666617648970131,0.02561950166475037,2.9965474644756136,1.0339253632497813,1.617632347246469,2.7202088208041464,1.4515710458465243,-2.093022483024108,-4.512210135738029,-5.94089178224775,0.424450107998212,2.8427467218758915,3.70377290976197,7.022622459152251,7.247242072111866,0.534703316085286,1.3083780940892011,3.7000961938231156,5.543177603997603,48,30,19,0,14,16,21,30,52,32,18,5,6,6,8,9,6,16,14,56,58,19,12,2,10,11,16,47,28,36,35,3,6,8,9,34,44,32,33,16,14,8,5,5,13
5,0.01655662201889165,0.05073406407747016,0.07811171640525033,2.902821775150593,1.042183971978338,1.5811336130826024,2.60763447547886,1.4030195082449568,-2.3230735860241083,-4.512210135738029,-5.74925823884775,0.39843958509864713,2.9565203936758917,3.70377290976197,6.98161285325225,7.229577424870223,0.5432107765906106,1.2512787238387308,3.402929498972843,5.197418999402179,51,27,21,0,10,15,12,43,51,32,20,7,5,5,6,8,8,18,12,62,49,21,11,5,10,10,19,45,30,34,36,2,7,7,10,32,44,39,32,15,13,6,5,4,13
6,-0.006779446905608376,-0.07331642803152989,-0.06650429918124967,2.892603110773587,1.0341118902477893,1.6413526858563716,2.5605000705228016,1.4008133269423368,-2.781515839324108,-4.34349447023803,-5.74925823884775,0.39843958509864713,2.9565203936758917,3.84636999296197,7.35879407565225,7.478322974372448,0.5347166812261005,1.3497069689936136,3.2802917164784318,5.164715366698148,54,27,24,0,5,11,10,30,54,43,27,12,2,6,8,9,14,16,17,69,39,15,7,6,10,14,23,43,32,43,20,4,8,3,16,28,47,41,24,19,14,6,2,3,13
7,-0.0015421061316083717,0.02598150426197012,-0.04174440161524966,2.92173279370741,0.9424687759669687,1.6411356517607882,2.6552253999077986,1.44834147885243,-2.781515839324108,-4.530471405538029,-5.73278727584775,0.5295927379775726,2.2421778218758917,4.286679681061971,7.35879407565225,7.478322974372448,0.4441248858819988,1.347000633022012,3.525982259690872,5.317107778594881,48,30,23,0,3,7,10,17,30,51,45,19,13,5,8,8,12,13,31,70,35,13,6,4,9,15,25,42,33,40,18,7,7,4,24,28,42,37,26,18,13,7,2,3,13
8,-0.01337570244760836,0.023429237497470102,0.0796033518187504,2.932325986545024,0.9634636283828915,1.624789448010004,2.6704101412192536,1.4518340389821467,-2.5455923697241083,-4.54245976783803,-5.73278727584775,0.7865509898192758,2.6070031593758918,4.286679681061971,7.70927218345225,7.958497410376464,0.4642205363163469,1.320244839767183,3.5687135079737042,5.353178884057237,45,29,19,0,5,9,16,26,42,47,31,14,5,5,11,3,13,14,23,77,38,11,7,3,11,12,26,45,27,43,20,6,5,5,34,34,50,27,23,14,7,6,4,1,13
9,0.002762939601891642,-0.06668171161552984,-0.036138761912249615,3.0616277701745633,1.1232783780386844,1.6048933711983238,2.775910880115458,1.4748944888827173,-3.2957181256241084,-4.54245976783803,-5.845945618647749,0.5757215415285915,2.6070031593758918,3.51078082156197,7.70927218345225,7.958497410376464,0.6308809742022304,1.2900645917901494,3.853493612227961,5.774439178220339,44,29,21,0,1,8,11,17,36,43,36,28,14,6,6,8,16,11,12,51,61,21,7,7,12,17,20,44,29,39,26,3,5,5,18,35,44,36,28,19,8,7,3,2,13
