window,x_mean,y_mean,z_mean,rv_mean,x_std,y_std,z_std,rv_std,x_min,y_min,z_min,rv_min,x_max,y_max,z_max,rv_max,x_rms,y_rms,z_rms,rv_rms,x_signal_changes,y_signal_changes,z_signal_changes,rv_signal_changes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,user
0,0.03338717459939161,0.012151423764470162,0.007004405546750382,1.4436905108457645,0.9216531935275938,0.7757903481556895,1.5566110604976107,1.3384328142319384,-3.3305722045241084,-2.79728832083803,-4.71994186974775,0.018842604866867455,3.2621489620758917,2.70216872506197,5.62762751855225,5.971622484931258,0.4252796562836715,0.30099916069551474,1.2115435276802797,1.9378223446594647,38,42,45,0,4,2,4,16,53,90,17,9,1,4,2,5,5,19,46,90,21,6,2,4,2,7,18,28,96,19,14,11,1,4,73,37,25,20,15,15,5,5,2,3,20
1,0.008675553006391671,0.03775259568947016,0.03799828844625039,2.4251521044232907,1.5073389822871937,1.2077695647982738,2.0976986521865215,1.5008995398087606,-4.895311908324108,-3.3136694690380297,-5.059652388947749,0.031684660112861904,3.2621489620758917,4.53623748676197,7.39959584365225,7.453340701430731,1.13607303637128,0.7300662900671522,2.200891752654999,4.0670310790934305,32,43,33,0,1,5,8,18,22,38,43,37,19,9,4,10,21,38,74,30,12,8,0,3,3,14,39,36,60,25,10,6,6,1,35,25,29,46,28,18,12,4,2,1,20
2,0.012093134881891697,0.029499169913970124,-0.026060950668249597,2.955410992028385,1.8234537142240956,1.3176111666853931,2.3580049000725465,1.3742311412357993,-4.895311908324108,-3.3136694690380297,-5.059652388947749,0.3517184409317261,3.0813361280758915,4.77391103526197,7.76591627785225,7.827183257957706,1.6625648459144613,0.8684846937998284,2.780433140957935,5.311482680672226,29,32,30,0,3,9,12,18,22,15,27,44,36,14,2,9,34,63,48,21,10,6,4,3,7,21,34,39,57,24,5,5,5,3,21,17,45,46,35,19,10,3,2,2,20
3,-0.04163728586660833,-0.006991729620529903,-0.03316329250924956,3.039069058331119,1.9872729499058943,1.2684959413032038,2.4452758672478785,1.5181078380658986,-6.654526504124108,-2.11573143143803,-6.0221259142477495,0.2852613489140601,3.0813361280758915,4.77391103526197,7.85620483975225,7.972805466824132,1.975493720501006,0.8045654186928937,2.9902369354574576,5.770296074651359,30,33,29,0,2,0,9,15,14,23,24,40,58,15,15,45,56,41,22,2,8,4,4,3,3,14,35,24,64,42,6,1,7,4,22,13,41,50,35,21,4,8,3,3,20
4,-0.043135838957608266,-0.016379313319029865,0.014097502200250332,2.9845893636017995,1.9332610802011956,1.364149099043773,2.378434900680674,1.5329408984592992,-6.654526504124108,-2.11573143143803,-6.0221259142477495,0.2852613489140601,3.0234709111758917,5.461634877961971,7.85620483975225,7.972805466824132,1.8696795524116343,0.9305855231633704,2.8285756581720887,5.628840733747088,29,34,31,0,2,1,5,15,14,24,24,43,55,17,14,60,70,27,10,4,3,6,3,3,2,10,38,24,68,41,3,3,6,5,17,19,53,44,32,14,8,5,3,5,20
5,0.043108745903391664,-0.015789445479029877,0.002836857802250359,2.9400353703159605,1.826599527256237,1.4363107544408409,2.3684189695988076,1.5385612017290005,-5.598773064324108,-1.94521502183803,-4.960264294247749,0.29876877068667723,3.0234709111758917,5.461634877961971,8.62820141335225,8.722240380179983,1.6691620984730349,1.0316189449554771,2.8047082316588337,5.5054892750873465,30,28,31,0,2,6,7,13,19,18,32,50,34,19,22,68,60,19,14,1,4,3,6,3,8,28,28,60,51,11,3,3,3,5,19,33,52,43,28,10,6,4,4,1,20
6,0.01458928366989165,-0.027103622048529875,0.04834832390775036,2.946113530167509,1.833427196442916,1.373396022521768,2.389163799958482,1.5097932519659656,-5.598773064324108,-2.11732782283803,-4.960264294247749,0.29876877068667723,2.9193193327758915,5.035166931361971,8.62820141335225,8.722240380179983,1.6808340659272658,0.9434756205033813,2.8552206117283703,5.479530298159021,29,30,31,0,1,8,9,7,20,21,31,46,42,15,13,59,56,38,12,5,4,4,5,4,9,27,25,64,45,17,2,2,6,3,20,27,58,39,34,9,4,4,3,2,20
7,-0.04251341954110834,-0.06740788685652987,0.0325513710212503,2.997116559393553,1.800007176434921,1.4395010647877766,2.419000449531917,1.479342915213996,-4.6088757352241085,-2.11732782283803,-4.22535934994775,0.4113679970572441,2.832022976075892,5.63165711346197,8.27247434155225,8.364630248497768,1.6209166130291477,1.0383535693678025,2.926311383295491,5.58558156569244,28,30,39,0,3,12,10,20,17,16,28,46,34,14,24,63,54,34,7,4,3,3,5,3,23,22,23,64,39,17,1,1,5,5,19,25,57,40,36,10,4,2,4,3,20
8,-0.013805742008108322,-0.03642497639102984,-0.05574910256324952,3.047654410151032,1.792355055761179,1.5302462401688952,2.4490974898802347,1.5062193241830424,-4.903020904024109,-2.07118347513803,-4.22535934994775,0.5074459171995476,3.368028363775892,6.56708671566197,8.27247434155225,8.364630248497768,1.6063636222125248,1.1714901672280629,3.000593238687133,5.778447028127726,27,29,35,0,2,10,13,18,20,22,41,43,22,9,29,80,49,18,6,6,4,3,4,1,24,27,25,61,36,15,1,1,7,3,23,25,51,44,32,9,6,3,4,3,20
9,0.039355732861891674,0.01809155386347022,-0.12046503282424956,3.040459281955041,1.7376202103255372,1.5262878215957505,2.458828006326365,1.4719745348732154,-4.903020904024109,-2.07118347513803,-4.01653069054775,0.5074459171995476,3.368028363775892,6.56708671566197,7.885572152452251,7.908051130754088,1.5104364345204297,1.1649409093363488,3.0301734944141185,5.705550838270894,27,25,30,0,3,7,14,13,26,18,41,49,23,6,26,73,63,14,5,8,2,3,4,2,29,31,22,55,36,11,4,3,2,7,19,26,47,43,34,14,5,3,3,6,20
