user,FFT 5 FNMR,FFT full FNMR,Nickel FNMR,Kwapisz FNMR,Raw FNMR,Raw Resultant FNMR,Raw Means FNMR
0,0.19491525423728817,0.19491525423728817,0.2457627118644068,0.18312453942520265,0.38983050847457623,0.35593220338983056,0.5677966101694916
1,0.5508474576271186,0.5508474576271186,0.6016949152542372,0.08769344141488578,0.4915254237288136,0.5,0.4915254237288136
2,0.3305084745762712,0.3305084745762712,0.008474576271186418,0.03316138540899042,0.288135593220339,0.3728813559322034,0.4576271186440678
3,0.016949152542372836,0.016949152542372836,0.05084745762711862,0.06484893146647015,0.34745762711864403,0.3813559322033898,0.44067796610169496
4,0.6779661016949152,0.6779661016949152,0.8135593220338984,0.12527634487840825,0.7627118644067796,0.576271186440678,0.5932203389830508
5,0.6694915254237288,0.6694915254237288,0.34745762711864403,0.10869565217391304,0.5169491525423728,0.44067796610169496,0.5677966101694916
6,0.8305084745762712,0.8305084745762712,0.6355932203389831,0.02984524686809138,0.5084745762711864,0.6271186440677966,0.5847457627118644
7,0.3813559322033898,0.3813559322033898,0.30508474576271183,0.13817243920412675,0.31355932203389836,0.288135593220339,0.39830508474576276
8,0.06779661016949157,0.06779661016949157,0.8220338983050848,0.1260132645541636,0.38983050847457623,0.22033898305084743,0.5508474576271186
9,0.14406779661016944,0.14406779661016944,0.10169491525423724,0.1584377302873987,0.288135593220339,0.5423728813559322,0.4915254237288136
10,0.3220338983050848,0.3220338983050848,0.2457627118644068,0.026529108327192335,0.23728813559322037,0.2796610169491526,0.4661016949152542
11,0.14406779661016944,0.14406779661016944,0.025423728813559365,0.11753868828297716,0.2627118644067796,0.18644067796610164,0.5
12,0.2542372881355932,0.2542372881355932,0.10169491525423724,0.05563743551952837,0.22881355932203384,0.35593220338983056,0.38983050847457623
13,0.4067796610169492,0.4067796610169492,0.2542372881355932,0.05342667649226234,0.2796610169491526,0.44067796610169496,0.423728813559322
14,0.5084745762711864,0.5084745762711864,0.4152542372881356,0.03831982313927782,0.3389830508474576,0.3728813559322034,0.44067796610169496
15,0.771186440677966,0.771186440677966,0.9745762711864406,0.10611643330876934,0.47457627118644063,0.47457627118644063,0.6016949152542372
16,0.15254237288135597,0.15254237288135597,0.8050847457627118,0.1271186440677966,0.5423728813559322,0.5423728813559322,0.728813559322034
17,0.2796610169491526,0.2796610169491526,0.4067796610169492,0.13301400147383935,0.38983050847457623,0.4576271186440678,0.4491525423728814
18,0.0847457627118644,0.0847457627118644,0.03389830508474578,0.0578481945467944,0.15254237288135597,0.09322033898305082,0.30508474576271183
19,0.4491525423728814,0.4491525423728814,1.0,0.050478997789240976,0.7457627118644068,0.6864406779661016,0.38983050847457623
20,0.576271186440678,0.576271186440678,0.6016949152542372,0.08032424465733234,0.5508474576271186,0.2627118644067796,0.5254237288135593
21,0.3305084745762712,0.3305084745762712,0.38983050847457623,0.07111274871039057,0.2966101694915254,0.2457627118644068,0.3728813559322034
22,0.17796610169491522,0.17796610169491522,0.6779661016949152,0.06521739130434782,0.6355932203389831,0.4152542372881356,0.4152542372881356
23,0.34745762711864403,0.34745762711864403,0.7457627118644068,0.04716285924834193,0.39830508474576276,0.4576271186440678,0.47457627118644063
